,pre,post,sections,pixels
2762,PHAL,PHCL,26,0.0
5990,VB08,VA10,25,0.0
4221,R2AL,R4AL,23,0.0
4706,R4BR,R3AR,21,0.0
3832,PVX,AVAR,21,0.0
5801,VA10,VB08,20,0.0
3074,PQR,DB06,18,0.0
4874,R6AL,R5AL,18,0.0
4661,R4BL,R3AL,17,0.0
4286,R2BL,R3AL,17,0.0
5972,VB07,VA10,15,0.0
4250,R2AR,R4AR,15,0.0
3847,PVX,DB06,14,0.0
91,AS11,VD13,12,0.0
4576,R4AL,R2AL,12,0.0
4333,R2BR,R3AR,12,0.0
2589,PDC,DD06,12,0.0
2629,PDC,VD13,12,0.0
2859,PHBR,PCAR,11,0.0
5260,R8AR,PVNR,10,0.0
162,AVAR,DB06,10,0.0
4469,R3BL,R1AL,10,0.0
4473,R3BL,R3AL,9,0.0
3226,PVDL,PVZ,9,0.0
5468,R9BL,PVCL,8,0.0
3213,PVDL,AVG,8,0.0
4119,R1BL,R1AL,8,0.0
970,CP06,PCBL,7,0.0
2468,PDA,DD06,7,0.0
2462,PDA,AS11,7,0.0
2877,PHBR,R9AR,6,0.0
4163,R1BR,PVPR,6,0.0
2923,PHCL,R1AL,6,0.0
4737,R5AL,R5BL,6,0.0
3238,PVDR,DVA,5,0.0
5979,VB08,CP04,5,0.0
4834,R5BR,R2AR,5,0.0
1303,DA08,VD13,5,0.0
2594,PDC,PDA,5,0.0
4738,R5AL,R6AL,5,0.0
5576,SPCR,PDB,5,0.0
4791,R5BL,R5AL,5,0.0
4574,R4AL,R1AL,5,0.0
1560,DVB,EF2,5,0.0
2628,PDC,VD12,4,0.0
2475,PDA,PDC,4,0.0
5800,VA10,VB07,4,0.0
255,AVDL,DA07,4,0.0
5010,R7AL,R3AL,4,0.0
336,AVG,DVF,4,0.0
5521,R9BR,R4BL,4,0.0
368,AVG,PVZ,4,0.0
382,AVG,SPDL,4,0.0
3249,PVDR,PVR,4,0.0
5618,SPDL,PVPL,4,0.0
3266,PVDR,VB06,4,0.0
5974,VB07,VB08,3,0.0
4173,R1BR,R2BR,3,0.0
327,AVG,CP06,3,0.0
427,AVKR,PVPR,3,0.0
5017,R7AL,R7AL,3,0.0
3112,PQR,VB09,3,0.0
1563,DVB,HOB,3,0.0
3001,PHDL,CP01,3,0.0
2998,PHCR,SPDR,3,0.0
