,bam-2,C27B7.7,cam-1,casy-1,cdh-12,cdh-3,cdh-4,cdh-5,clr-1,dma-1,egl-15,fmi-1,glit-1,him-4,hmr-1,igcm-1,igcm-2,igcm-3,igdb-1,igeg-1,igeg-2,iglr-1,iglr-3,lad-2,lat-1,lat-2,let-4,lron-10,lron-11,lron-12,lron-13,lron-14,lron-15,lron-5,lron-6,lron-7,madd-4,mig-6,ncam-1,nlg-1,nlr-1,nrx-1,oig-1,oig-2,oig-3,oig-4,oig-5,oig-8,pan-1,ptp-3,ptp-4,pxn-1,pxn-2,rig-1,rig-3,rig-4,rig-5,rig-6,sax-3,sax-7,slt-1,syg-1,syg-2,ten-1,tol-1,unc-40,unc-5,unc-52,unc-6,ver-3,wrk-1,Y37E11AL.6,zig-1,zig-10,zig-2,zig-3,zig-4,zig-5,zig-6,zig-7,zig-8,zig-9,cdh-1,cdh-10,cdh-7,cdh-8,cdh-9,dig-1,egg-6,fshr-1,igcm-4,igdb-2,igdb-3,iglr-2,itx-1,lron-1,lron-2,lron-3,lron-4,lron-8,lron-9,oig-6,oig-7,sma-10,sym-1,T07H6.4,ver-1,ver-4
bam-2,-34869319201.242065,197556011905.68372,117769231521.70618,-122499041671.65874,-10331371176.946486,94254295890.84814,0.0,0.0,0.0,283566446754.36835,0.0,42063894274.089966,0.0,0.0,1996809247.3570251,-101023044189.20569,0.0,24664372969.113235,0.0,-170340978831.37955,0.0,-162330399279.48642,-28031199712.064743,0.0,222751605129.77502,0.0,0.0,-20834843964.408813,103503585920.72751,0.0,46542921693.62438,-47918872056.501465,0.0,-51922277951.787476,-118599663202.64166,-6377525733.950439,-72072763147.49628,0.0,-200875143341.01343,-10909891839.97467,102495370593.72874,66207722332.64548,-42888715759.78021,-147658597693.84268,0.0,144869509650.5539,-178271017928.5799,118877469559.94847,38912820632.56094,-55307119489.42241,-53989782788.31899,181131611309.8791,-132930406031.23865,-104300790760.54065,-9960210136.003551,-143990165994.04254,-21655678761.9906,160234399121.7511,-29742217062.31552,27106981395.201263,0.0,65759724171.9718,0.0,-18597825546.041504,146529433530.50433,-38912820617.601746,0.0,0.0,-10430922823.074524,0.0,37810776328.901184,-9235115209.285767,60540315169.90436,-5192863465.979553,19359670346.46269,-39295432047.792145,183424844178.75137,-65691375139.96741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27B7.7,55959178268.58024,-12512381128.291826,88849997777.67503,-33188876304.079247,14680411867.825083,7296738057.568757,0.0,0.0,0.0,76451261484.22151,0.0,-41369793015.2376,0.0,0.0,71883123543.833,-64948347105.7012,0.0,-7876642674.809944,0.0,1055185502.9012047,0.0,45866203322.31754,-63444779023.13299,0.0,29884991434.014336,0.0,0.0,-18246779010.46214,98041826789.30391,0.0,-41493044456.42336,59247464202.29872,0.0,-86259452455.56471,-148455586822.04694,-4618793582.396206,-60738654943.67464,0.0,-80248254945.4979,21643140647.188206,23877439878.70846,79297013103.95615,12398886935.79734,3851123843.6979513,0.0,15545128293.756132,33964318308.166656,81360529474.89937,10111952721.106176,-43862650786.23958,-14701903051.878841,-7725153982.54904,-1210417993.424054,-4015507558.8614807,150716247997.13446,97738333463.71619,-65738975605.91418,43922263003.6396,-40345237628.202965,120853360295.9176,0.0,193299647548.0578,0.0,73404992819.26448,-17670143618.915745,1538527792.890871,0.0,0.0,-24882950633.863552,0.0,111077912560.12099,-68723879749.07156,-108938706689.32043,62856378579.29636,-28453441751.404858,-151924764181.3454,-171417218184.38235,-68884617738.10858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cam-1,34178805964.46169,-8043616212.701614,-34067309735.17427,21145627055.543865,26582578314.661438,-117119489834.47269,0.0,0.0,0.0,54053692516.59099,0.0,-38985455467.046745,0.0,0.0,-9495376907.354025,-27350780522.67752,0.0,-91517212188.95515,0.0,79812744416.32916,0.0,67932714331.68831,-16403954432.459314,0.0,-52125797331.0462,0.0,0.0,52997197174.44562,123079392038.26817,0.0,7455112538.484235,-95567889763.25005,0.0,48551741310.39005,-428616513.4277568,3811751530.7982044,26955193377.303062,0.0,-4802980486.544341,-5692495659.312866,25691965558.856304,-25713590213.473755,-23401203015.082455,25341599347.325066,0.0,-29864677127.71414,-26712566980.531853,50783149127.795616,-3370650892.0165787,2994323986.5181413,70988892371.48027,-34227553551.124634,67192985314.93344,17606843462.607445,72002746368.36661,115045516395.43922,8611677628.83435,-10881230821.319864,7969934332.893272,-17863771067.31086,0.0,-808580856.7704391,0.0,62920855871.28962,-38731384468.44937,3370650882.9777145,0.0,0.0,-15703956234.979229,0.0,28936458103.29734,-59155973753.090454,7885343916.152624,20402080473.35861,23697459699.283615,24849691190.940662,-105012171944.06909,83221614849.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casy-1,-69526166524.309,22718016180.21344,6558783187.3617325,-9278984279.728678,-24120654137.537006,48024352866.056854,0.0,0.0,0.0,-116138132345.61253,0.0,24436774030.877903,0.0,0.0,6686577862.355499,71291397524.3797,0.0,76118207099.29817,0.0,-25215805781.17878,0.0,-49742081686.02941,-2939402736.8696465,0.0,41946586704.1863,0.0,0.0,-30463875398.793236,-109384693341.0985,0.0,-14583568914.427547,154632643047.61746,0.0,-30683843379.795853,58036075945.05927,-5362603605.570844,-11778368099.149166,0.0,58385569773.45174,-13087806840.34587,113291901400.69476,-25253924135.49602,-4263715581.237896,8500530223.879029,0.0,-4151336103.2400618,57742374091.56235,2787898937.2769938,1.76348876953125,-52593695128.21414,-19558726637.02129,38232571466.18005,21847439870.75032,-12218387016.541391,25258885027.124107,-79800869792.07126,5354965451.128941,10837540270.830662,-253412080.0732956,-13593587570.338531,0.0,-1797070508.520752,0.0,1183341873.1065273,15546184063.444548,-2.8553314208984375,0.0,0.0,40818587580.26117,0.0,-50832533409.45374,31431198681.867935,-33801849083.094086,3992954498.8034267,-108848975441.55827,-23476763405.62341,30318462489.258495,-19722686654.250164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-12,9223163152.745655,119362488701.34409,-9464342792.542961,13901869796.649948,-0.7701125144958496,11224292214.604366,0.0,0.0,0.0,-95336342221.72252,0.0,-2.5499467849731445,0.0,0.0,-7.405361175537109,-28102396097.039944,0.0,82011864719.65585,0.0,0.0,0.0,50131916635.21836,-13901869790.587492,0.0,32860033836.2761,0.0,0.0,-5612146105.043813,-7640955158.971291,0.0,3.0635976791381836,-6860730386.120613,0.0,6950934909.651098,-4732171394.503265,12.2725510597229,33169288995.960533,0.0,49801027533.232796,-28736577634.45793,57446106926.70804,12.13904094696045,-91599688170.24591,-77725434974.24977,0.0,4303127638.901823,17727959323.797894,94282187373.286,3.8611984252929688,-10.93469762802124,18392260134.9448,-55324049840.839516,-39823476650.59812,0.6465044021606445,-7.838033437728882,112731121057.6444,9464342790.48243,3280005555.412999,-6.92347526550293,22492155246.903072,0.0,-13246799304.817184,0.0,1.4048328399658203,-66338577994.09825,-11650480379.080399,0.0,0.0,44458594482.150154,0.0,-47424693533.59834,-50484688641.636284,-17727959321.64538,25261110182.678238,-31946803258.166973,56204792199.63911,-32839685652.395786,-5612146103.753326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-3,-128589350870.11446,18264882291.810947,66610856779.72114,-39797293083.71648,62786314201.96161,30394131845.506523,0.0,0.0,0.0,111000615994.66418,0.0,-18370064208.967884,0.0,0.0,-92505436188.30202,-6981844430.422059,0.0,-36323037856.94608,0.0,213860897602.66562,0.0,246633320009.1673,8163943423.166906,0.0,177374968280.39322,0.0,0.0,49366268904.1703,-17068163974.758907,0.0,-31633349687.67121,326594829298.33435,0.0,-28661430740.130238,192293654376.09457,-7.028868198394775,71068428388.73102,0.0,120703419786.43794,-87655901007.4482,62810927558.84983,3777403097.997013,-124907399471.91063,-191414068302.986,0.0,-93654037928.03342,53447969574.6156,-111272019367.49782,5.628196716308594,75336680525.29668,174557332339.35587,-38993242009.037384,-9372591615.67147,9185032099.1698,44896635171.62599,-42750413123.50801,-135403925644.25972,-13751755564.73841,53549048647.14866,-11466617209.46231,0.0,9772757645.005148,0.0,53088718667.83839,42874015599.1515,-1.0199203491210938,0.0,0.0,241425682817.87567,0.0,-168711401166.28323,-22681114930.802223,-112163345543.85905,120356680586.62738,21061236871.33314,-83434576009.18985,-246903385875.29214,55057564396.19054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dma-1,12475532366.25932,-102941851469.27312,29216507493.02418,-51817174233.87218,-22258422568.036125,-50966149242.43402,0.0,0.0,0.0,-36570546927.048935,0.0,-14575486935.363869,0.0,0.0,46768401429.87519,0.0,0.0,0.0,0.0,-1891621438.8138747,0.0,-117685224180.22932,65011659607.74557,0.0,39614609131.660194,0.0,0.0,56913628842.52927,84989383208.69098,0.0,15579254423.163149,-127151073984.56313,0.0,173488055257.35327,0.0,2394737085.269876,-53238750175.179085,0.0,91364070382.71715,16718076573.592045,72174961306.85622,-89326034518.60074,78398467610.48564,-38521347494.266556,0.0,-1891621438.8138747,15721291451.294224,-36570546927.048935,25430217074.807373,-24477457282.743465,-22394464661.43818,-54241781336.18681,0.0,96356172445.50381,95636590387.54507,-26590453051.67956,29266317501.731937,325482828795.21375,-187630027765.88922,85594410976.20331,0.0,-60160170821.574104,0.0,5426420511.346203,10545960421.759893,4567528070.551844,0.0,0.0,-135333693294.68562,0.0,-3833818138.825542,154236705376.15887,-169030606555.3009,-88886617277.76251,0.0,-15524888349.718443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
