,bam-2,C27B7.7,cam-1,casy-1,cdh-12,cdh-3,cdh-4,cdh-5,clr-1,dma-1,egl-15,fmi-1,glit-1,him-4,hmr-1,igcm-1,igcm-2,igcm-3,igdb-1,igeg-1,igeg-2,iglr-1,iglr-3,lad-2,lat-1,lat-2,let-4,lron-10,lron-11,lron-12,lron-13,lron-14,lron-15,lron-5,lron-6,lron-7,madd-4,mig-6,ncam-1,nlg-1,nlr-1,nrx-1,oig-1,oig-2,oig-3,oig-4,oig-5,oig-8,pan-1,ptp-3,ptp-4,pxn-1,pxn-2,rig-1,rig-3,rig-4,rig-5,rig-6,sax-3,sax-7,slt-1,syg-1,syg-2,ten-1,tol-1,unc-40,unc-5,unc-52,unc-6,ver-3,wrk-1,Y37E11AL.6,zig-1,zig-10,zig-2,zig-3,zig-4,zig-5,zig-6,zig-7,zig-8,zig-9,cdh-1,cdh-10,cdh-7,cdh-8,cdh-9,dig-1,egg-6,fshr-1,igcm-4,igdb-2,igdb-3,iglr-2,itx-1,lron-1,lron-2,lron-3,lron-4,lron-8,lron-9,oig-6,oig-7,sma-10,sym-1,T07H6.4,ver-1,ver-4
bam-2,-814676902173.4205,-1098622436494.5529,-260118793290.33667,-1004718896544.0723,-218925991747.9528,-913957748385.2637,0.0,0.0,0.0,-1233988183371.92,0.0,-50864902089.96704,0.0,0.0,-2492819804183.269,-565531941104.8842,0.0,493102425586.41364,0.0,1343357379964.171,0.0,-488302628866.42834,-338806966821.22473,0.0,718970493512.5547,0.0,0.0,1066426948177.8673,-622245148159.637,0.0,1711439701.5348332,3237758202025.714,0.0,-187009136324.47058,-1288678636119.1995,3.536376953125,1032629430076.5093,0.0,595681954069.6757,985287245719.8065,323527525824.5587,-64310189201.95564,1178197706378.3086,1307225775333.4595,0.0,7736675494.209503,-1625672107475.3867,-1137148262683.2397,-338462104285.87744,-92992015299.62318,630221204855.8528,415282775442.66833,-1086163325505.5093,803610666274.0112,437851983499.4346,-363994248760.1921,-800122405711.6833,-803610666272.6896,1211633666318.2656,-68738367143.79283,0.0,1387641951231.1665,0.0,711724140283.6816,1004718896546.6003,281466710379.8884,0.0,0.0,898020624635.8284,0.0,-2263209343535.3486,-249120994802.83453,-28497696952.28711,-985910736381.5974,-1288678636119.1995,-472953264081.1291,293291100164.9024,-56995393902.61987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27B7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cam-1,38151238143.39263,-9074969115.6514,-59883196042.29638,-17289610149.23084,6254381750.420591,-12715605276.724936,0.0,0.0,0.0,0.0,0.0,-45519897335.79817,0.0,0.0,-38140427281.35478,-109779618815.5449,0.0,-9074969115.6514,0.0,-14274176262.42743,0.0,42523380042.449394,-81101287647.31079,0.0,50784425505.766884,0.0,0.0,90322914442.30296,-24952453001.894577,0.0,0.0,10987381774.194155,0.0,26104514108.466137,-113790164327.87485,4561367128.383642,33101183144.398434,0.0,-24686226625.349945,17496050567.177574,0.0,6706590260.879912,-9128020063.00462,-20989844752.29706,0.0,6650840567.732765,-8385218887.775122,-63474092657.09526,-45668966716.42513,-13601087679.773691,-18012271600.739876,64004314758.113785,-18149938231.3028,96387524601.81113,0.0,1469649093.8450108,13981138333.451185,35928393904.5841,97485237539.08395,38999681660.13149,0.0,-59259247457.32142,0.0,-71848880022.77063,5517121146.099676,45668966708.19322,0.0,0.0,-113789847015.804,0.0,18640684657.37604,145607028015.68097,-91160536785.36339,14971589717.282286,-6562961310.197651,-4073115319.49619,-13125922620.395302,64592066129.44996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casy-1,-873310483004.13,113518618905.51956,306509975781.1105,-716068090484.2693,196882064456.42926,-269781310852.94824,0.0,0.0,0.0,0.0,0.0,723870196621.7681,0.0,0.0,1082894352020.4874,-185469527871.16287,0.0,-72523275211.93442,0.0,-883275633990.9788,0.0,-5073015928.265428,57695724013.44494,0.0,175342142164.52365,0.0,0.0,370393438753.13477,-105711068961.16527,0.0,113697695264.35367,1026222081369.5981,0.0,-626053622912.6782,-36187539332.33958,-8498723465.770586,-141277786326.75708,0.0,-423713406839.8991,-240703516537.18494,0.0,265175695122.62454,-228799527861.14044,236109288495.9235,0.0,499942202478.9474,3497806197.009188,579671327233.1884,-1023748660950.644,-322186972707.93243,183279368527.87823,-162972617560.72577,417680934776.8885,65432113861.95408,-488576906386.60254,753220384198.9734,472967709736.5342,3772714789195.7637,-757942641615.0334,96056766305.82298,0.0,-324109906915.9446,0.0,24848886745.192196,564826617006.2466,1792590865054.9521,0.0,0.0,100086329300.10356,0.0,726328717654.4312,-415110304866.8635,-589337012095.8384,624094151057.0564,-36187539332.33958,372874649575.5262,-40342364545.892166,-148835027824.37836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-3,410325752795.769,-27140857969.36341,115946199287.98723,-176537650996.76566,-54885846983.688934,25398018157.172737,0.0,0.0,0.0,-86871875721.07607,0.0,-151504342902.30978,0.0,0.0,-409627991263.6012,491511843294.1432,0.0,-83706123612.03197,0.0,-19843580388.614857,0.0,100039496141.16463,-16566668509.807953,0.0,-13337824900.363523,0.0,0.0,213368678347.19724,-129870722708.54161,0.0,-98132168546.61632,-35046277329.75235,0.0,-389833182901.09485,38096009135.04128,26724987519.334324,-209268098951.03055,0.0,-59086465967.33632,313603384866.05804,-40871139249.918106,-72412460981.68205,111609408779.21957,-231228626123.2079,0.0,-85163924093.08844,-153524313777.58633,219303520539.3353,81597081884.7304,-75668647759.32423,-269250339715.93265,103605310058.41644,64326530862.27909,-7033357078.566575,41406851721.32268,-114957671246.82219,2493336736.7290163,-324969077526.55133,385640782261.3374,-148766340283.8044,0.0,128344228001.21886,0.0,82732122391.07732,151541885165.22684,-170425496244.67566,0.0,0.0,-198897811544.1022,0.0,216909854001.97766,90662703438.537,80895132951.11581,403135630858.4007,-31215336431.964767,-52260536724.19657,-62430672863.929535,-117512054230.5408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdh-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dma-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
