,bam-2,C27B7.7,cam-1,casy-1,cdh-12,cdh-3,cdh-4,cdh-5,clr-1,dma-1,egl-15,fmi-1,glit-1,him-4,hmr-1,igcm-1,igcm-2,igcm-3,igdb-1,igeg-1,igeg-2,iglr-1,iglr-3,lad-2,lat-1,lat-2,let-4,lron-10,lron-11,lron-12,lron-13,lron-14,lron-15,lron-5,lron-6,lron-7,madd-4,mig-6,ncam-1,nlg-1,nlr-1,nrx-1,oig-1,oig-2,oig-3,oig-4,oig-5,oig-8,pan-1,ptp-3,ptp-4,pxn-1,pxn-2,rig-1,rig-3,rig-4,rig-5,rig-6,sax-3,sax-7,slt-1,syg-1,syg-2,ten-1,tol-1,unc-40,unc-5,unc-52,unc-6,ver-3,wrk-1,Y37E11AL.6,zig-1,zig-10,zig-2,zig-3,zig-4,zig-5,zig-6,zig-7,zig-8,zig-9,cdh-1,cdh-10,cdh-7,cdh-8,cdh-9,dig-1,egg-6,fshr-1,igcm-4,igdb-2,igdb-3,iglr-2,itx-1,lron-1,lron-2,lron-3,lron-4,lron-8,lron-9,oig-6,oig-7,sma-10,sym-1,T07H6.4,ver-1,ver-4
bam-2,2478529763491.517,52375316198.598145,-166981653710.74652,-8916027510686.152,8231507604973.877,-8408054912026.851,278854023232.60834,6817386957653.748,-4483784063515.145,6011818726541.4,-1420135346891.2295,-872746959943.7365,3185746474605.0757,2072394131791.7625,-1223619328048.567,-4515292810064.874,878683027314.1172,-3834997955376.0723,3138494997716.1772,-998152649604.0999,1695523056086.9722,3019264237431.549,213977308029.48273,15172717141876.139,933400590942.7051,-2403342457721.5938,-991360357772.5161,-2731978904239.014,1635875173088.6519,-756602191302.6826,4750254485300.847,-1576935231193.005,2054606088225.7861,782307815937.6471,-2723490590388.3945,11541786003988.006,10228938561954.182,-21917051779336.637,16826964171187.822,916794091373.1091,-147484901084.48907,7530782292893.575,-920418371380.5891,-156918544639.39557,23640620861655.344,491234816337.5303,590684859759.2035,-11306330543782.33,-11537735938025.604,-3310333015251.3145,-1027469491364.5652,-1955886285592.5234,-1238837244264.5781,3780166682805.586,-763797195392.4457,-1341110086719.3772,-3059308600010.034,-365706182027.3694,-445777021992.94556,-1720645730933.1611,-846318895488.2446,891579206500.2904,-733036385219.4604,-872757681732.9509,1200304235761.355,-791755058369.1659,-213573322245.1239,-1040689649884.7454,997331712645.3369,-852027825899.2924,7866368682716.871,-146071343947.3462,-4679210228963.232,13400786458322.654,-328658313572.8309,-736025646286.5383,-12778130732241.271,-29403308992.268677,230855728742.25024,-2939064505079.703,-864454148635.0236,7368601035096.357,400996114649.06946,-1613506166644.4146,-4602110220892.947,-135706767791.29285,120810874916.60779,-8734903798906.818,-1123327817427.6826,-37011025319.72131,-2230036754420.194,1453517037553.0967,-21031414086541.37,8170402130847.912,-4514777342968.848,4860696729323.841,-830745943047.8961,-2310097127160.1377,-2150370241748.1582,-2393630249002.386,-2045358516981.8506,332029806252.723,6072025374106.929,-3864832068655.0493,-1359220073467.3062,1650011944059.1035,1676793014600.2393,-1578260246657.5266
C27B7.7,-160690102231.74905,3340602094280.7925,-1831139887562.4744,3465604474.4079285,-1775629285424.3699,-2050109779959.4795,-1863163142044.3103,-1483401069507.0247,1783914750712.9778,-3036513621213.805,413382318132.4178,1096758492762.6561,491626825669.6978,-86870744817.97995,728060197783.6733,-484821227852.58905,738880344275.6427,1984067275224.6162,-579183072305.8494,482750934176.60126,1350918323846.727,-877330346325.4515,-1615969485106.7883,410363267734.59924,-215547502457.31284,-144404554765.62888,282676290900.21313,-881714162220.6437,758365343000.5121,-966354509313.2727,922119233341.8925,919344544236.8075,440015719835.29407,1738523825991.1365,122272490917.47159,-2690544057330.7524,55558333707.61008,-951422272668.398,2147053281200.204,1573920753077.0154,400926704218.7862,19530572573.31534,-971664896410.0876,-64387862958.07218,739760190156.0406,2065323683816.4658,523377295743.87744,465171493952.5277,-1254410869872.7422,1336120563431.9734,300275730682.18555,1032689559943.4916,-2121417899485.8533,-1024029732407.1526,403721294074.5699,1508490461351.0845,-831159846350.2446,853740856368.7799,-808609798710.6244,-1908721182942.559,392320430857.9997,374161317782.384,-2390917859129.2837,164431125876.06226,409926632082.4316,-54279526419.1788,-108968597776.89658,-520766922969.85785,427642471381.30585,643574462376.6956,-1454811750116.9639,548361135157.819,-123570860148.41818,440934225909.52954,528004526191.8554,497615205592.4086,1027435710176.1227,96472175882.42503,37539237582.31682,343842622046.106,299915126764.99396,1380281992703.0217,600846138021.9818,1019703368511.4481,-244608767631.03403,-762709765071.3201,268706647255.65585,1917946274289.9573,-1020650022237.4254,-437118902491.2467,42745579159.665634,8129481958.225597,-159088780383.72476,663573940578.8845,1054122551481.6802,1053851240709.209,-1202029800862.0356,-311055910752.8469,-782467727274.2175,-300725860166.9613,-1083430206263.6079,-2371465314892.286,33235859983.589214,-631585216454.7468,476968305471.3155,-1691354509474.1736,1126729984418.8987,-970318728550.3994
cam-1,825474240948.3943,-304176148718.13086,1516540070168.601,-978003384489.8943,-2014636128651.5474,448789195251.87915,-1438060522774.7605,-157889930955.62643,343448208032.9172,-2754101360925.714,-1989608596183.144,-461129396867.05817,899554652374.2412,-502384499825.1063,1098711634010.6204,-416681699029.35394,-1588614073605.985,31056059633.420807,-1700758011685.0479,-801210628633.1362,-1282673240502.9822,-1246911111169.3928,1156998479674.387,-1244840092981.7542,-1820017881303.5256,-1689157413255.2834,33255145745709.32,-1829592533825.543,2836465037558.313,-3547040324409.7305,-4770383055866.51,-2873060360179.1406,-673153452969.4921,-1174176635810.115,-1270288648310.1016,-570226606988.0591,-1916623580739.0552,-2924930643160.0713,-681161152082.3418,-1313583530636.2495,-2469254298832.7627,-1976625157449.6758,-345900275903.0158,-1544524527244.625,455064837219.4538,67053327692.542046,1333299068195.1123,-1068383775426.2179,-568386517138.451,1081050300157.447,895686487984.394,1795355298297.4365,-1041330727680.8093,-1034862689069.9714,1534833398610.6938,-1567616828208.6367,-826658813256.7612,1772778397119.6826,2549687295277.2056,916222523858.9683,1098984631356.9625,-298364047288.4936,-819416586883.2506,-2708364490409.521,-578370149811.5051,2279188002324.599,2253520216304.8154,56845512883.45519,21419380673.27002,486275429933.7909,4976348632081.581,-905523327685.0723,-1388556990414.5198,-665115849980.6787,-909210177777.4325,3422436333094.1685,310741446410.26874,-98138655800.35736,-1504628757718.4138,493209998436.78326,-904095001251.0875,-267262325091.75626,-1052354193090.4187,-171124835211.92996,467639589518.33093,-439924309312.02734,-1303224455603.6921,107109767648.92474,-184190400972.8936,-851833557606.5848,-1650835766875.0928,21991958983305.004,-198102104815.9246,-7113419689284.743,-2938245812723.6924,1820138765718.7551,-857217620967.1593,-307489515614.5249,-1318564185998.2678,-1630797625951.556,34679686941.733765,-722882026562.5895,-532755293735.9398,-571008249867.4366,-1078253123332.7385,-967407555138.2648,-216545658198.74094,-1101870036692.2107
casy-1,1055336332857.2756,-172061109474.4447,1307167512916.8599,941298324138.4332,1073822780881.1569,1629649444635.9219,-2323461596235.746,1029080233545.9482,1022495961589.694,897418865134.5853,52542676444.39172,1913697658678.1897,1251672304907.5588,1070243136308.8357,-983281490177.6354,1789868976710.9949,-555064871211.7069,171500068952.39154,233988238726.15356,1478713463454.0261,-982415544390.0885,382487362589.0885,-281389230042.235,1107058275827.691,-957787181401.4346,242012715468.19995,1215099643360.3684,639714867047.6957,-915486859224.1578,677934689348.0194,862324560297.1405,218080795447.69998,-1206898751653.4226,1607565590405.8213,-1069881568045.4307,-220568198449.58408,-380270870951.678,-95377394697.0543,499784034903.88495,-722222349377.1887,1632295962746.965,-92562233153.93909,936493857325.9288,1333735099854.6716,440085190757.79346,-233496697423.18573,728613219972.4325,766202030376.1553,510810068881.2544,-5791623880020.843,-2342147421500.0884,-579036167622.6052,163486418752.68936,-372581880925.76855,1283346583099.8457,-377415585545.0752,1372504634024.9106,-1167871472619.3098,-2653082630559.742,-1728267293040.1965,-1004193401090.7389,423047957073.45715,-1355018320506.197,-972683399136.0754,1786243567228.8994,-872302923414.5049,-2148518261963.9873,547882604074.35645,-908539644097.6576,-2226712930995.799,116591662522.23901,380671034866.34906,64004148001.73418,83631742529.12465,-1945440709816.1316,-9024337108.761108,-946881485997.3591,-530266951504.1945,844922240799.2821,1098334310621.8706,-600837455624.9664,773519090637.0736,-776384654673.1656,568737846003.2499,602225957259.2151,-1334107137987.741,110539032983.67407,846010531294.3309,-875506104831.5612,-1419187194071.9343,203269389356.5171,386329558794.29443,216000771985.23944,-161460795671.67126,828655691972.2535,-1595446029656.4998,930652647293.1194,-1864299445990.1267,849538790641.1981,-847762338016.4386,573589519186.5897,-535164891330.6415,314248084374.3155,228343612418.89148,796742568295.2596,511493626041.0398,681005228339.139,829627896260.7904
cdh-12,193152988173.94812,-1305805875937.5159,45847360874.23967,485636813289.7604,-921058343437.3367,16597796120.281586,-709990376883.5819,-515152438638.12994,-805008006301.6132,1241136741848.2996,-912332216138.2897,315823568834.6469,-397498260135.1713,20166705485.679417,412183017277.85516,-142341084703.6145,-60278189596.30647,-587128732447.7565,-348092946117.9084,-1301021248416.0864,-569206787489.2495,408677867237.09656,-213367350562.52194,1863524796005.9456,-1090733717534.0417,-83812550942.62273,-1465913186259.8923,-1628408346974.6355,-410141956418.02563,-855513595893.9333,2740466409656.9897,1381083982623.0552,-44018918497.00589,-97602231493.98325,-115171465076.28767,-409698209950.69727,-343192417397.6364,-447758816548.62177,-706114630336.543,-324361840446.7484,-367930354918.9053,-494792800235.8586,-360117562311.64246,805263664300.1768,-57952000113.17543,-267210948618.30038,-606261198612.7086,-124622156104.70097,125767025933.47603,-730256411440.5359,322041625913.3355,-301792130953.82166,-515786173027.8307,-212260404742.13965,-352139722267.48975,-171368699708.56598,209004282828.66003,-485213939928.6325,-739393508752.0049,-43473886705.94763,655322681339.5082,-220705578103.5843,-17090596022.433651,-276128562101.7588,826166577832.7134,-451055309926.5206,254960925250.6959,-411477496392.0872,-679929081605.6631,1207775236112.096,-443523252110.8938,-281673166846.475,-523430476483.68353,-580647979725.2058,844161528666.7942,-525435509232.47626,-1259288644162.2927,-321019527721.3467,363533491007.45233,-226264801180.9984,2274935546303.976,-82875476483.91536,-1332783986195.59,-3683436501479.9478,3835432818563.7417,762283500056.9745,-1511381119480.8967,-1334056189545.45,452154640985.5191,-1808233499132.3928,651614498731.8927,133865588710.02715,-326639925699.8272,518164823999.21454,-1014946655752.6014,177989914544.97037,377553276788.3591,4776232158251.832,1462974041661.2424,623522520172.1003,1215259691889.8516,4052732132356.9385,107605486477.78014,151508587537.82315,1355530536451.9563,-114095206942.52888,-383587049460.8785,2771695900336.37
cdh-3,2100918159340.1274,690181432929.7268,-1393903310301.5447,-216143170283.55988,223636142636.50885,249460897227.5999,115548121387.60368,63480978090.58113,201248083158.78003,-893209373805.1183,-263199666058.66754,-171307791150.00003,-247271302839.64667,-768518319704.8259,-2342119209348.989,-494927909277.4282,366500611025.2558,278838291799.95703,394841231530.316,329315814227.4438,688103316216.2316,-765622240930.8619,-1575883856807.3696,455329192703.4676,235824307002.84314,873945149974.4492,435670477908.20294,-77202366909.06589,-577690884993.0178,-195213417499.27692,-775384282796.595,689927087048.9071,-249685745893.04755,-372136510185.4356,481591159755.7592,465722101150.37775,178293067279.35742,-1710704507679.4272,-42052612272.7843,-154069729126.3116,-453984513843.91437,937664286061.1075,-5325200260804.637,-1815171053818.5244,-1049328226009.1162,191187813666.663,443080979580.79736,640644758432.7263,-1831138310416.7134,228421478896.133,480071389906.3363,-375326120539.3314,124158369353.02481,52092313485.31302,724618470072.9485,753034578981.4678,1003876988250.9055,1354564281643.528,-2561237867643.5073,878149525565.9624,-1263734428111.522,-122767252395.81784,826872556198.0735,-915260988000.8933,-366709024466.2073,1025960486064.1892,1500894501461.003,484226106367.48785,-4495410961034.606,-768634386389.4792,475933783797.5895,-88768239594.15407,-17253109201.835335,-190092885519.78192,52744098134.44281,-421577078457.3915,107741430354.7691,-724404300863.4338,779333392315.9569,505565992243.059,-116576827316.22803,752291245858.9673,34398382809.700424,-1495252303923.422,470378341844.5158,133115343467.28734,352536199615.34906,-74185717896.93849,-221546328368.4895,276859929139.6398,602037622218.3718,8467162138567.162,641655889025.4569,3978369537306.3794,680933014525.3196,1048658081429.1028,345632165394.1418,-543588572027.8406,-1284259578089.0635,553682541654.1301,451125752731.03326,-404223465906.0279,-1113316179806.7449,399961247653.32074,-528500518970.62683,-878446760465.6699,-141635012882.92926,595765844161.1499
cdh-4,-252035443429.20157,-536864876936.1815,1158580467968.883,105186401460.91595,383230986512.2973,236454233231.71048,-396592543093.88715,368674892138.4818,-271182729675.375,284317628242.516,20508459362.939423,750057579450.0751,383013766129.1925,1001492678041.453,933016655169.7361,259708554298.39288,-73581752486.26837,260008007592.10535,247142304276.38367,-9627000714.150528,-251101784457.3227,75595435956.8563,-85717253785.06154,11450717124.375,-723354494029.0605,451315682357.17566,487184950211.8841,382235256596.3376,-34523975713.90563,-654576135334.7058,495571895592.68304,156374186571.08557,-253153090413.01608,294350106662.1357,-42880466718.50943,42371976972.223785,233569133198.43423,180360910905.6856,240282400393.75433,7919130551.281586,-305384112544.8252,-187863318000.27307,-123723875933.10358,231046950682.92606,-226610898425.07703,78365983784.35248,395299056841.58887,-165362873205.6207,140260026751.47635,-92674100249.3196,-133084765871.10997,-107639709428.98929,106490958609.34894,-300767161431.83075,-425560787659.5011,-476201867351.67944,-343849024754.3267,-566781480055.9208,283895677067.4836,-69843682375.93744,199842094015.89468,166702977391.87698,375456556947.71,-87712355435.5226,210225817189.38956,193000284136.08698,177347094088.71777,-386661915019.5791,80951478557.99231,94957353207.11801,-69828856775.88516,-504046669461.90735,-556191513551.8865,-109204962884.56776,-54233540010.23668,-62980469640.39476,685948053413.852,-74740403730.3822,107165317290.60416,273239826792.4485,-148145240887.13824,361631924461.9746,305139344549.88965,-122672713745.52719,-416415932942.8847,76724997888.06218,-330572743747.45557,-252465580367.0797,737854290291.813,-2842921281049.9443,-1187286116624.0503,4739506613263.239,989591371700.6069,-447018217774.0531,-666549606397.3479,459847536384.51416,-219394892442.4383,-562663861441.9836,-437674077314.11096,-981200983155.7798,-284236063928.26935,325284253266.2086,183438875340.46814,-119854671455.23828,251015858341.80566,110159920371.92642,415726342454.55615,222484118326.36084
cdh-5,-258227830466.40298,-362785156887.09625,-1212723912328.2207,-650307576420.6504,128103569913.49976,-884419497026.7296,822090298017.0212,-57133221462.37071,-653244921925.4412,-217100832277.37762,-402020647140.567,310320536643.6749,-685585744610.771,-816906157511.6909,-340197398702.83203,126326470809.77231,37439779847.11609,285136185388.83307,67293639038.01294,76758594329.13126,167278820962.2367,242841087490.14334,162577990613.90988,-637515792931.1558,-148760876443.69366,-242693487061.65344,-327010474934.8634,422571126579.3872,326305033056.27057,-381758729124.3955,770170003681.3419,1031190549796.8667,291886956903.4293,-408455122866.81714,609645821178.0464,389638925822.86975,-206917927644.23734,-164572087770.55768,-558889498504.0466,-287222709943.6256,160565805921.18655,998885636946.2002,606669319480.0531,-273267555695.57187,399416236057.2443,432182810078.9251,-246674446045.2765,-359172518321.25616,424629880219.8341,-151483090894.7932,68369364203.67244,-76753974069.02371,-17049689663.629517,-442038619533.99097,-236538648305.61145,480881233602.51025,132272560357.45853,-627260994303.1055,-111062823696.70923,-364243343869.8419,100948073643.97,-679950891289.4368,-388888561064.07404,-316565879604.69556,-976987034854.5464,-526764778570.48236,-296923633676.8181,279729261928.4195,-127906235982.8451,3408313197.2193604,783285237939.7512,-247624671896.30237,-277121908875.40686,46958383890.46735,-185747308728.2772,329289471982.5125,430913668840.4984,129614465949.39914,-498295214358.70374,60262563570.44275,-235452281386.42065,-374953827304.4375,-93502970996.09743,300186169199.6363,566583468235.202,50458832545.43198,51907187888.79479,-558789612987.8772,-91232149484.23682,359032542768.8386,-26345089284.054443,669305341078.0018,-47674451724.24675,-55048479866.512695,264865388792.0603,-39545043870.53598,19201784884.584106,-582956170387.3591,-588445571767.303,282246740627.70935,213103909395.02963,951161043538.9327,226915992105.62234,291205282739.2544,-1007784550416.8533,-111241867843.81177,-18651692678.292633,781694819889.4568
clr-1,424981501005.8998,931332372431.0046,-41693176290.24487,526147219891.2119,44078758095.75499,592634951914.041,-212274233147.23328,-186481228235.7273,144756638723.4886,-113655786337.08769,207548692413.06744,597779123702.3236,-414474592335.14856,-48468292689.68982,-286896346520.0716,206095400504.37634,-85967921446.69977,40184089702.61364,-203549905113.48944,392742215426.92346,-96131000674.47278,-548768241424.515,-194255052886.52704,-70553007609.72159,467807517606.5163,654615261044.718,9269487593.833069,274345171204.88556,-303686166666.56067,-8771224753.579407,503853473187.6683,-11375654575.010391,-334742745303.0165,-38240035596.24881,-116158290119.72406,95168859334.54697,175077067387.33878,119479686766.55649,-421851039601.17444,160508206075.36038,-133761973813.62259,-232223294381.36597,177180946700.6218,-198134287883.56613,202242804343.74588,37883850185.42676,41431847423.916794,-3669600025.641056,282945299241.71436,149859233802.8845,176563845035.1456,395226767194.58276,-18486347680.114807,-379545100713.2203,103205853448.2158,411389524128.78125,60735259789.33099,449614160649.3419,1189007692.0721436,151631466952.3814,-325890637434.2664,-26050034918.677826,-184660871451.7381,319178005946.5488,-281585062866.8853,-279901712808.8714,-285191332750.60645,-536629091490.91125,270816669757.3333,235038378853.5265,48359684191.59711,-226769881282.28357,-180925887411.61362,-18366276331.17191,7500226124.956982,-265301851033.72217,233800649553.17773,-243266183923.73868,8436846143.636536,-223454631648.19507,-1548695420.2462158,78845624753.90918,46449452233.90057,-104271708741.3511,108691428590.5579,-631009856434.8137,-406057017.39346313,80561661951.16644,-137517858594.6928,-153821341912.54602,-36609835812.435425,-97329833982.89276,38065878005.80151,-148803606552.33154,374819371784.2038,65522355825.23114,32899794677.79242,1933038834013.2314,98425422718.27429,237534732777.4356,172444404308.41956,-4012471589246.7383,3415939656374.631,3176782306554.4854,-735804853722.1194,460614553109.58453,-439334223824.6681,-129733115751.92676
dma-1,570131987969.0088,-343687935985.4094,-374706438011.5071,720753729306.5842,1516261413888.6216,806263166682.6497,1375020414961.3306,-161377820216.09756,-1848401398774.9753,-456599177891.9194,-1279686387241.5547,-1160915261135.284,-81042986007.42206,483346818224.4816,-282969605554.1225,137216189305.58624,-842853339492.3135,-400499112193.1985,470891746703.00836,631740436631.219,996072845983.5211,-538086211741.4415,64402677934.48189,282546543730.2907,608996166676.4423,330025249253.15594,-405242373995.28827,-490704083180.963,-432659088918.64496,-96092021592.95627,541063982776.3502,137614322898.98047,264483566960.49673,194164645825.06778,-18958418787.43842,-339412900733.71716,43171048621.49963,585248727139.6016,141434917335.78796,-388849602431.69824,-412074690824.2436,-277498007728.2291,44522790008.2113,-299702652020.99066,-636599706628.6886,-335007292043.0184,630221900997.4131,-83075934175.8213,117653488898.81747,55309957546.66644,-32125497226.543728,-309297794659.52344,425608028401.92114,-112629674239.36816,331879846688.8506,554811904342.8394,70332941245.0485,-348736520294.50525,663366846059.8138,85341640463.88992,205376069577.48563,-184278297380.50037,348578354547.1567,611659580047.9998,413734611193.61334,-1346324553863.4863,-309595739522.3304,-1192488154091.1584,799535825089.875,375273767048.77936,-1320506232057.989,439934190377.54877,-114759201309.98972,-298450693142.729,510700818571.0496,-395815219729.10547,292111440968.2933,130956189942.0139,622472164688.2721,472695383240.38385,1011438641079.2628,28853915100.69181,224377617134.1152,-361374997625.0246,-658318568605.3801,-35006678986.88432,210089965836.1422,-195079334116.70972,-201366064406.6471,1779082565194.8293,-44382677421.57605,177129248858.68054,-387464809220.12885,22754812845.059624,-964734984890.9926,68994189913.84218,-51482661972.56061,55658952561.3031,410573864142.71515,-1613848683510.6028,414699987996.53094,282857182032.32587,102942266537.53561,-57516240386.148865,-766923444823.2494,209363714031.4801,-898229041805.7476,115690695711.3605
