,bam-2,C27B7.7,cam-1,casy-1,cdh-12,cdh-3,cdh-4,cdh-5,clr-1,dma-1,egl-15,fmi-1,glit-1,him-4,hmr-1,igcm-1,igcm-2,igcm-3,igdb-1,igeg-1,igeg-2,iglr-1,iglr-3,lad-2,lat-1,lat-2,let-4,lron-10,lron-11,lron-12,lron-13,lron-14,lron-15,lron-5,lron-6,lron-7,madd-4,mig-6,ncam-1,nlg-1,nlr-1,nrx-1,oig-1,oig-2,oig-3,oig-4,oig-5,oig-8,pan-1,ptp-3,ptp-4,pxn-1,pxn-2,rig-1,rig-3,rig-4,rig-5,rig-6,sax-3,sax-7,slt-1,syg-1,syg-2,ten-1,tol-1,unc-40,unc-5,unc-52,unc-6,ver-3,wrk-1,Y37E11AL.6,zig-1,zig-10,zig-2,zig-3,zig-4,zig-5,zig-6,zig-7,zig-8,zig-9,cdh-1,cdh-10,cdh-7,cdh-8,cdh-9,dig-1,egg-6,fshr-1,igcm-4,igdb-2,igdb-3,iglr-2,itx-1,lron-1,lron-2,lron-3,lron-4,lron-8,lron-9,oig-6,oig-7,sma-10,sym-1,T07H6.4,ver-1,ver-4
bam-2,28.538686663006114,24.681701252375227,-25.84114978530885,-29.8188716169887,29.73899029792082,-29.760211280407997,26.35395426762341,29.550497370326447,-29.131488462868063,29.424748435425474,-27.981773297711694,-27.4949114996184,28.789707749424384,28.359725640282843,-27.832834245149865,-29.138491153422198,27.501690063584086,-28.975190017599274,28.774764500857316,-27.629172057076502,28.159012396819513,28.736034287643164,26.089135809100508,30.35052000609635,27.5621003035696,-28.507881575105536,-27.622343935625405,-28.636047335879248,28.123199051130044,-27.352103445391055,29.189219308392772,-28.086504352167477,28.351105260941253,27.38551412655986,-28.632935478793875,30.0769951314102,29.95624193312418,-30.71828606984469,30.4540037258752,27.544148738048758,-25.71699164195769,29.65002004250265,-27.548094155122012,-25.778992683706107,30.793987571304964,26.920188091433445,27.10454847991572,-30.05638390989282,-30.076644165214784,-28.828069909094044,-27.65812009077337,-28.301864549651057,-27.84519434938572,28.96078922056816,-27.361568139817557,-27.9245188098634,-28.74921005865367,-26.62509606660029,-26.823084713260997,-28.173720761260732,-27.464162070548273,27.51626011662975,-27.320461176372532,-27.49492378464928,27.813596170390383,-27.397517911191187,-26.08724604037615,-27.67090473420085,27.62834926234996,-27.47088502274863,29.693617659258912,-25.707360996474314,-29.174150457122426,30.22633451208277,-26.518284487465163,-27.32453080056621,-30.178756289097315,-24.104373055715122,26.1650588014557,-28.70911245109307,-27.485364102647026,29.628248985264747,26.7172175750516,-28.109430670336558,-29.15753605790527,-25.63376227572926,25.5174921425393,-29.798348046163344,-27.747316661310887,-24.33448168681702,-28.433039183067528,28.0050072786194,-30.67703834477777,29.731539244011195,-29.138376986624408,29.212202903509073,-27.445589860687875,-28.468310685967996,-28.39666114870672,-28.503832262097582,-28.346594203985177,26.528490579702755,29.43471333488451,-28.982939347775616,-27.937932175784916,28.131803642638538,28.14790416515334,-28.087344246590323
C27B7.7,-25.802743516204668,28.83717217441962,-28.23595977824521,21.966152905861964,-28.205176003025723,-28.348914458844796,-28.253296773249335,-28.025358587232176,28.209831363469814,-28.74173113810102,26.747638711466127,27.723380120534813,26.9209857812327,-25.18768715911932,27.313649570987817,-26.90704605756755,27.328401829055,28.316170033099713,-27.08488445159955,26.90276669336782,27.931805717007066,-27.50014943607347,-28.110956192870695,26.74030862322662,-26.09644715123556,-25.695884605605936,26.367568231486622,-27.505133761313303,27.354431089322638,-27.59679659070246,27.549940372469283,27.54692680115851,26.810076290118925,28.18405749321335,25.52951792316515,-28.62076454088798,24.74069936351907,-27.58122383108512,28.39511745109864,28.084590917182975,26.71704446504943,23.695246899035318,-27.602276825184823,-24.88819098891129,27.329591903266753,28.3563080776688,26.9835684476986,26.8656719787412,-27.85768715190101,27.92079142906123,26.427966991760695,27.663187738096045,-28.3831058015639,-27.6547666776782,26.723990610688357,28.042130572258106,-27.44608796751625,27.472893537810698,-27.418582312198165,-28.277454596020196,26.695344768484635,26.647952872333423,-28.5026984496236,25.825757631794165,26.739244034491584,-24.717412947099387,-25.41432558387863,-26.97856841386116,26.781553336191337,27.190303571937267,-28.0058976268186,27.030199912607927,-25.5400805948574,26.812161553672208,26.992370692948988,26.933092935767057,27.658087212187613,25.29252047089084,24.348652558423755,26.56344989558546,26.426765360792455,27.95330893676099,27.121604728758694,27.650532885744937,-26.222925904328267,-27.360143409327314,26.316886090838924,28.282276080678365,-27.651460816953517,-26.803471083113408,24.478531615512036,22.81876303870049,-25.792728250530924,27.220906124718997,27.683729832041582,27.683472418239784,-27.81503274446471,-26.46323851030798,-27.385718515410158,-26.429464923133242,-27.711153240770656,-28.494529156347387,24.22689524994659,-27.171498712554193,26.89071588007435,-28.156550808741986,27.750340734364624,-27.60089044060567
cam-1,27.439223895638502,-26.440872807116882,28.04745258652096,-27.608778967598855,-28.331459713706057,26.829819116114383,-27.994316462502194,-25.785163987685962,26.562302160044045,-28.644112320541645,-28.31895904998475,-26.856944527904933,27.525165647106324,-26.942631599365516,27.725159367484615,-26.755588455594314,-28.093883100231206,24.159059783561226,-28.162095156838156,-27.409389706542665,-27.879967485183027,-27.85169049794413,27.77685025011536,-27.85002819822409,-28.229867441861035,-28.15525094849687,31.135230630325886,-28.235114398877933,28.673579687727784,-28.897134660251332,-29.193447722817613,-28.686398905165202,-27.235239153927676,-27.791588282414057,-27.870265272708316,-27.069299674889912,-28.28158620220262,-28.704291884591093,-27.247064755456872,-27.903780037986998,-28.534937317679884,-28.312412040445704,-26.56941635052731,-28.065737229557477,26.843705745128705,24.928754075458112,27.91867748919644,-27.697168132206013,-27.066067512160448,27.708954184638554,27.52085628688829,28.216224056051853,-27.67152055700761,-27.665289866279515,28.059442955970308,-28.080577638228707,-27.440657887299576,28.203569147684878,28.566991838276238,27.543525102094872,27.725407807045666,-26.42158021305899,-27.43185844457245,-28.627366059561275,-27.083479898249507,28.45484035613091,28.44351465010624,24.763603124976974,23.787561988068553,26.91004102857592,29.23571753162851,-27.531778876152366,-27.959286187441897,-27.22322707292664,-27.535842123074016,28.861373791479938,26.462227041327722,-25.30964717075828,-28.039567311088344,26.924200880611778,-27.530200281696555,-26.311496503998654,-27.682050859025406,-25.86565915758556,26.87096372831185,-26.809868524769996,-27.895862659868246,25.397120011445317,-25.93923584742762,-27.47065698976962,-28.132302800979204,30.72169800171632,-26.01204841561176,-29.59300421307227,-28.70883385686645,28.229933859011172,-27.476957656759144,-26.451706828049197,-27.907564522630533,-28.120090352133495,24.26941996176304,-27.306511873678556,-27.001328044498837,-27.07066949460214,-27.7063633691386,-27.597885707040444,-26.101067254527223,-27.7280298856684
casy-1,27.68488063096785,-25.871115538302277,27.89888370832354,27.57052595512876,27.70224608990928,28.119386042976963,-28.47407925692329,27.659686542088636,27.653267775310038,27.52278855225818,24.684891560987275,28.280058433408783,27.85550161705299,27.698906968784666,-27.61416127436907,28.213163535733994,-27.042350828928456,25.867849505607087,26.1785366891869,28.02219354421037,-27.613280217086757,26.669961450684426,-26.36300470812326,27.732727411293563,-27.587891441388283,26.212256104979772,27.82584720035453,27.184288393788524,-27.54272184729784,27.242316791851678,27.4828975568105,26.108131452392108,-27.819075170228377,28.105742094966566,-27.698569074206738,-26.119472774033802,-26.66414965402644,-25.28110743446182,26.93744191186766,-27.305598891554627,28.121008705750995,-25.25114704609588,27.565408799626905,27.919004467882104,26.810234160476305,-26.17643377015742,27.314408865704927,27.364711719139173,26.959263672894178,-29.387433831061706,-28.48208932596335,-27.084630778237948,25.819995758100784,-26.643722665176163,27.88049230000022,-26.65661276617992,27.94765838666313,-27.78620395371402,-28.606743336682705,-28.178140457820493,-27.635205749215665,26.770751383262493,-27.93483609083759,-27.60332447988895,28.211135964912568,-27.494402589766537,-28.395799539992215,27.029326874803044,-27.535104360701965,-28.43154759198647,25.481943603351134,26.665201413558933,24.88221373073294,25.149688980295497,-28.29650965335594,-22.923190887914945,-27.576439775518885,-26.99664639877072,27.46251043734649,27.72481588500681,-27.121590278370817,27.374216187504445,-27.377913923328226,27.066685437318622,27.1238985561156,-27.919283373531176,25.428634535201034,27.463797644813607,-27.49806796161381,-27.98110542511824,26.037797977412396,26.679956621408877,26.09854781862993,-25.807528198881265,27.44307057646269,-28.09817445549057,27.559151948250314,-28.253906466280014,27.467959439924883,-27.465866171684578,27.07517985407498,-27.005840744450715,26.473448588532843,26.15411740342021,27.403797462676362,26.96060096095261,27.24683582051012,27.44424311945452
cdh-12,25.98674839668171,-27.897841495564386,24.54858347399747,26.90872688372305,-27.5487892191186,23.53253575965655,-27.288517253204823,-26.967728691167164,-27.414118060031807,27.847048802904666,-27.539270032771235,26.478449568138423,-26.70845639401278,23.727298838222968,26.744733304354735,-25.681492019300055,-24.822236177013927,-27.09850993843369,-26.575735367605336,-27.89417064769763,-27.067509627703185,26.73619307199373,-26.08628116768212,28.253490861924742,-27.717871721067947,-25.151848605804652,-28.01349949953579,-28.118624179436967,-26.73976917188512,-27.474967822488946,28.63914924434487,27.95388980141258,-24.50788534429689,-25.304166193771948,-25.46968785553518,-26.73868665231883,-26.561557110486415,-26.827520568477564,-27.283043427175517,-26.50512552109333,-26.63115950426699,-26.92740492650168,-26.609696377063596,27.4144355940298,-24.78288092060033,-26.311304253137326,-27.13057675096599,-25.548552245346787,25.557697031858396,-27.316661557964196,26.497946647158564,-26.433004309228576,-26.9689581231864,-26.08107968210075,-26.587293872045272,-25.86708321096458,26.065620580704422,-26.907855743876958,-27.329096104335488,-24.495426289175096,27.208393594539235,-26.120095424486824,-23.561794208973886,-26.34413239892674,27.440062258213462,-26.83485580734762,26.264376136052263,-26.74302016879316,-27.245254337921423,27.819801135308225,-26.818016065982125,-26.364013252930643,-26.98367005324885,-27.087410523298974,27.461609697906955,-26.987493297053927,-27.86156810933818,-26.494767792249,26.619137264496885,-26.1449718369712,28.45297283663517,-25.140605034864752,-27.918291093127436,-28.93486726428351,28.975303404500465,27.359584370759478,-28.044044997382024,-27.91924518363345,26.83729008434102,-28.223371517309896,27.202718964396507,25.620102064158463,-26.512124256489628,26.9735592216419,-27.645857171132423,25.90499272577355,26.6569775262427,29.194673100186662,28.011492494583724,27.158650720375096,27.825978908063256,29.030412370188266,25.401737472944617,25.743908143707365,27.935214033445444,-25.460299085417017,-26.67283241885628,28.650480487174917
cdh-3,28.37339558383906,27.26022034624837,-27.96312906452809,-26.0992068504457,26.13328620486323,26.24256801531673,25.472952915530342,24.874006140340065,26.027804228522854,-27.51808685148914,-26.29617876762271,-25.866727723729053,-26.233751962846533,-27.367730237903558,-28.482077280470076,-26.927677951085506,26.627266025462056,26.353897851451872,26.70174957555292,26.520283048945572,27.257204832524472,-27.36395472699087,-28.08583740972945,26.844286494744267,26.18635290287033,27.49628345316631,26.800152009932056,-25.069695952951008,-27.08230476151156,-25.99735924575203,-27.37662459217718,27.259851758010537,-26.243468947673005,-26.64252658676923,26.900361374783678,26.86685494372228,25.90669447872282,-28.167926394392374,-24.462187344450896,-25.76067112341764,-26.841328923930025,27.566657817903693,-29.30347143447973,-28.227200823732737,-27.679171290595157,25.976522099479467,26.817018388436786,27.185740941229138,-28.235958916953045,26.154458351007825,26.897200658760823,-26.651061139757758,25.54482375986261,24.67628324095039,27.308911105108674,27.347376985314074,27.63489060802925,27.93450095518492,-28.57151179959948,27.501082718548638,-27.865092285236056,-25.53355614279438,27.44091641634408,-27.542475094338656,-26.62783452166417,27.656650349327492,28.0370823806074,26.905817796493185,-29.134078205932095,-27.367881253068692,26.888544571832256,-25.20929476074015,-23.571258207766515,-25.97077866080507,24.688717719335894,-26.767268464710256,25.403000030097022,-27.308615500076964,27.381704765993746,26.948944415339362,-25.481816354544563,27.346389380942114,24.26127538887478,-28.033316073698128,26.87680319047366,25.61448183344421,26.588419147870326,-25.02983748741953,-26.123897561981057,26.346777544263034,27.123585775681832,29.76721651987589,27.187317998535164,29.011893187296305,27.246729774858984,27.678532445050333,26.568640940709063,-27.021458496242744,-27.88120346438477,27.03985732994436,26.83501196847219,-26.725233695416417,-27.738364226771143,26.71463349849444,-26.99330962422524,-27.501421139966133,-25.676519253763182,27.11311354789037
cdh-4,-26.252835563096337,-27.00901227397502,27.778216637162743,25.378999865215246,26.671903742279916,26.189020509160915,-26.706175250772358,26.633181041518057,-26.326058709846926,26.37335785945849,23.744103289824118,27.34341581313,26.67133676837719,27.6325126810335,27.56168888883457,26.282825894227013,-25.02166290376627,26.28397826591885,26.233230138348446,-22.98783756192428,-26.249124209645124,25.048661747368445,-25.174319970000113,23.161318195935205,-27.30716524880296,26.83543289247138,26.911909662495287,26.669302110956377,-24.26491986784817,-27.207253741481686,26.92897827724979,25.775517603936333,-26.257260243121177,26.40803573478561,-24.48168223794332,24.46975306021369,26.17674394388917,25.918225740972712,26.205080736864133,22.792547257868016,-26.444836206586096,-25.95898050344705,-25.541318112538836,26.16588677652542,-26.14650027981659,25.084655789847854,26.70290842131549,-25.831408127626283,25.666763870782923,-25.252354877269443,-25.61425209953172,-25.402055463330917,25.391325922805184,-26.429602252290696,-26.776673636470534,-26.889107692351583,-26.563468516455004,-27.063239669662988,26.371872673354435,-24.969525472974645,26.020793361731023,25.839479487322762,26.651408607576617,-25.197328609360685,26.071448109870992,25.985957498057918,25.901374632854008,-26.680816543560738,25.117115781980363,25.27669371414579,-24.969313182137835,-26.945934698869543,-27.04437852072244,-25.41649234688538,-24.716565373379314,-24.86609050956822,27.254067737918586,-25.037286662787157,25.397638500498203,26.33361573290724,-25.72145898683974,26.61389274824321,26.444034376598385,-25.53278578207072,-26.75495043650679,25.06349340992614,-26.52409257412954,-26.25454076099214,27.32701220342433,-28.67585325952253,-27.802691244316446,29.18695415618894,27.620557939009927,-26.82586518637614,-27.225380401998606,26.854160828847938,-26.114139104855848,-27.055948237832883,-26.80474035461013,-27.612043151323498,-26.373070940858085,26.507965262448685,25.93514734453782,-25.509545774582747,26.248781954727026,25.425198968526374,26.753293050104077,26.128121557696662
cdh-5,-26.277108096019823,-26.617076641690844,-27.82389011267007,-27.200711282408193,25.57610491363799,-27.508197331171473,27.43511607757156,-24.768651596371875,-27.205217967762295,-26.10362774743629,-26.719769285292685,26.46087158940015,-27.253539411439093,-27.428790062922445,-26.552791870502784,25.562135431118328,24.345999608386702,26.376232746553818,24.932331552607288,25.063931195374348,25.842927843753074,26.215673105415316,25.81442366582021,-27.180844886897482,-25.72560599764829,-26.21506511397342,-26.513258040770555,26.769623616508344,26.511098465055202,-26.66805464685942,27.369877111426682,27.661735124251727,26.399632430366655,-26.735647886868435,27.136144004468512,26.68848631600025,-26.055588066780448,-25.826614534689178,-27.04921761346609,-26.38352374461419,25.801969701226575,27.62990613151058,27.1312497011089,-26.33371720968152,26.713269908221683,26.792114507157716,-26.231335272000596,-26.60706866243325,26.774483756372206,-25.743739844411344,24.948190669482265,-25.063871001474173,-23.55939783896363,-26.814663089718472,-26.18937744930988,26.898886160976204,25.608130481850463,-27.164628549824275,-25.43336185740253,-26.621088008333395,25.337872099244535,-27.245286413816665,-26.686558664109246,-26.480797207280133,-27.607739218537322,-26.990019945374748,-26.41674081701936,26.357088050661115,-25.574563301049793,21.949483342283415,27.386762755156763,-26.235180016961937,-26.34772335055963,24.57252759727583,-25.947653031762478,26.520203054917292,26.789173602672182,25.58783023461547,-26.934458538251675,24.82197691156982,-26.184774103062043,-26.650068728147883,-25.261259048095557,26.427668683131184,27.06289024678198,24.644423643653706,24.672723112495856,-27.04903887608895,-25.23667318818196,26.60667886970754,-23.99454772963416,27.229506207116792,-24.587661488088774,-24.73148008604651,26.302487567051365,-24.400706210299802,23.678269074398134,-27.091377841032294,-27.100750272992897,26.366047492089166,26.08504572123714,27.580949226415896,26.147845707101887,26.397294294379304,-27.63877552306633,-25.434972657287815,-23.649202739147942,27.384730245426237
clr-1,26.775311477878557,27.559882056345575,-24.453603314237363,26.988846896248155,24.509243827522923,27.107844450964276,-26.081144828281364,-25.951596418072896,25.698319815722527,-25.45644029960564,26.05863181131994,27.116487164310126,-26.75027751250224,-24.6041756621208,-26.382386825520378,26.051605007778548,-25.17724005718199,24.41673697568844,-26.039177045737045,26.696419293203146,-25.288977688566053,-27.03094204255918,-25.992437838141708,-24.979630145232687,26.87132276109673,27.207313512283925,22.949993939250252,26.33765289943951,-26.439260658624395,-22.894742286211613,26.945551334946014,-23.15474134518363,-26.536628149297837,-24.367148855993424,-25.47821966787086,25.278918617401906,25.888492098999386,25.506412208651753,-26.767918101940868,25.80161090640487,-25.619327742555676,-26.17096522151164,25.90043734507339,-26.012210859386762,26.032734814223648,24.357790741741862,24.44731568349501,-22.023348508234662,26.368519427008405,25.732962249116834,25.896948376156324,26.702725531282024,-23.640298333364747,-26.66223926917997,25.35999140784484,26.742806349885736,24.829790252513238,26.831655631136087,20.89638492399674,25.744718854264868,-26.509827694038098,-23.983284945593173,-25.94178685250286,26.48901479647187,-26.363700416026855,-26.357704352809122,-26.376426134949753,-27.008572987950142,26.324707933539482,26.18301465202657,24.601932332307683,-26.1472016014025,-25.921353322545567,-23.63378201182505,22.738199007028438,-26.304134075200036,26.17773466422337,-26.21742208785996,22.855874396054716,-26.132474240006307,-21.16067874912197,25.090757660596644,24.561630509540397,-25.370265913274046,25.411778774151735,-27.170587319706062,-19.822004144635375,25.112288715123647,-25.647019626307944,-25.75905764845188,-24.323582779294814,-25.301371397669733,24.36258412739947,-25.72589319663455,26.649710071631915,24.905657231663376,24.216732253901682,28.290114405975306,25.312564968593247,26.193579693002015,25.87334072760576,-29.020428523798056,28.859473726703126,28.786889947166756,-27.324230776119002,26.85582741981645,-26.808526290253727,-25.588745221445322
dma-1,27.069133728809994,-26.562999919765478,-26.649408724374553,27.30356334765422,28.04726882488524,27.415676035692226,27.949489694181466,-25.80701416212533,-28.245342272691303,-26.847071770540968,-27.877636153872693,-27.780229828155655,-25.118245542301597,26.90400028307852,-26.368605327952938,25.644823543131125,-27.46005880530798,-26.715977386706296,26.877894067397623,27.171744445199415,27.627086230394188,-27.011284629142924,24.88842105202575,26.367109130529435,27.13507781018074,26.522435001368326,-26.727751179359938,-26.919107101142686,-26.793215931333442,-25.288572127550616,27.01680337640861,25.647720847864193,26.301044957620924,25.991972325896104,-23.665513933008537,-26.55048319943582,24.488435936733026,27.09530276841477,25.675105500064127,-26.686458479666108,-26.74447045827354,-26.349079590749398,24.51926703003821,-26.426056660148767,-27.179406890953405,-26.537418135827167,27.169337818121164,-25.143020896093105,25.49100960657866,24.736218793400116,-24.19291585791108,-26.45757038651025,26.776784638522248,-25.447371054693996,26.52803883279485,27.04189498215552,24.97650610702388,-26.57758251784971,27.220593986418873,25.16992833720595,26.04810862121474,-25.939712937664414,26.577128875583448,27.139441722947268,26.748490569456234,-27.928399442798035,-26.458533217334512,-27.80706312598339,27.40729717758471,26.65092164202667,-27.909036288140836,26.80989098534866,-25.466101868380335,-26.42187057403359,26.95904977344002,-26.70421332245568,26.400401213557632,25.598128676290514,27.156964748925308,26.881717007912172,27.642394830398633,24.08551152608997,26.136596260228405,-26.61318203071087,-27.21295479792716,-24.278804708427135,26.070801684666588,-25.9966721543967,-26.028390304555987,28.207118934549808,-24.51611508209429,25.90014552258024,-26.68289086670009,23.848042513598052,-27.595119273512516,24.957288133851087,-24.664510927206177,24.742508774349353,26.74082168666244,-28.109642928909523,26.7508211752538,26.368207950077792,25.357434148973464,-24.775333186368865,-27.365652822149997,26.067338834939687,-27.52369093041707,25.474186050551637
