,bam-2,C27B7.7,cam-1,casy-1,cdh-12,cdh-3,cdh-4,cdh-5,clr-1,dma-1,egl-15,fmi-1,glit-1,him-4,hmr-1,igcm-1,igcm-2,igcm-3,igdb-1,igeg-1,igeg-2,iglr-1,iglr-3,lad-2,lat-1,lat-2,let-4,lron-10,lron-11,lron-12,lron-13,lron-14,lron-15,lron-5,lron-6,lron-7,madd-4,mig-6,ncam-1,nlg-1,nlr-1,nrx-1,oig-1,oig-2,oig-3,oig-4,oig-5,oig-8,pan-1,ptp-3,ptp-4,pxn-1,pxn-2,rig-1,rig-3,rig-4,rig-5,rig-6,sax-3,sax-7,slt-1,syg-1,syg-2,ten-1,tol-1,unc-40,unc-5,unc-52,unc-6,ver-3,wrk-1,Y37E11AL.6,zig-1,zig-10,zig-2,zig-3,zig-4,zig-5,zig-6,zig-7,zig-8,zig-9,cdh-1,cdh-10,cdh-7,cdh-8,cdh-9,dig-1,egg-6,fshr-1,igcm-4,igdb-2,igdb-3,iglr-2,itx-1,lron-1,lron-2,lron-3,lron-4,lron-8,lron-9,oig-6,oig-7,sma-10,sym-1,T07H6.4,ver-1,ver-4
bam-2,26.8494047195268,27.4399847907414,30.1643243706694,-28.5433472932639,-29.8410950761411,-27.273569097346,-28.8977837129836,29.9997711429837,-26.6073744716957,29.8798231104393,22.9077681417022,27.0860897263124,29.6630376508732,28.7189119481139,-28.1468494599227,-27.9360001321707,-28.9367522946619,30.0067438628107,-28.658496555312,30.1577668484469,-29.1866881955529,-27.4315339909423,29.7021192270566,28.4015187136007,28.5080436403212,26.7521637683529,-29.3427118430694,29.8683481377615,-29.8149884613192,28.0271409415619,27.8586301527313,28.6556939936739,27.7708407027445,-27.1605193997503,-28.3005335807552,-29.0939419060261,29.0260049102319,30.1711931286649,-27.9325318527118,-26.4628712643902,27.4577326448684,29.324669064386,-24.6076315142537,27.5106490454951,28.5193772105853,-28.3042566629238,28.0507566685354,29.4453742277528,28.3087237876683,-28.0598081621042,24.6768601510105,-27.3938457490459,26.9699353859613,26.1291528192193,-26.1914035035595,27.5654347953386,28.7206772128222,-26.7988829416657,28.3458633895282,28.8815908412416,27.8918284489461,28.8565366127284,27.9174875024247,-26.8162236300381,-29.869435249116,-28.9723049756546,-27.7897886208279,-27.7483855462189,-30.5951541065985,-28.3072339680494,-29.4494820709926,-26.3542172916862,29.917308928568,-26.5479068832903,28.6311645227701,-28.0664954657883,-29.2806018515323,-28.2392618060375,26.1591145292607,-29.1529842762009,29.6357046607201,27.3540452073022,-30.122417212263,27.5680181252157,29.1341358119566,-28.8378943501961,-29.0508750159331,29.3422557955688,28.0041020421718,29.6996899035865,29.6933404847749,-30.2581979690304,-31.74671969365,28.886209032152,28.0500758442409,-30.2340932928278,-29.8725463446791,29.267780058275,-29.4150279735369,-28.8392942168017,27.1359347946641,28.4840969753401,26.6595236177538,24.4065747613689,29.5747995454687,28.4724536242474,27.9422688179858,-29.9462374424486
C27B7.7,29.2986589568755,-28.9036488124556,-27.0061230452037,25.7564823876448,-29.4232621859894,29.3737227303603,25.2439656570004,-27.815143358138,29.0892098088991,27.7997161962678,-26.9916471302192,-29.2254698947884,27.5244222335096,27.4491074300255,-28.2884709843583,-28.7982371873837,27.6495643107121,-28.269493968458,-27.890054460812,28.361821392245,28.3687717317163,27.8490877540991,-27.685655460233,29.4347662830399,-25.6621195285266,-25.0553427833573,-28.6758937580463,-28.2705411941685,28.0729629488188,-27.4499670522015,-27.6217575277933,-28.0485249279394,-29.118981297086,27.6730470935465,-27.145796488882,27.0107008151212,27.0490121391996,26.8566729257286,27.1261308382145,-28.0022136538974,25.6632899020281,27.6224514418719,28.1534379176202,-27.3567981159205,28.6265907895098,27.8889276268242,27.5157993227472,-28.9210361388934,26.8671975106485,28.1204948234286,25.4742366126258,-28.5931952687405,-27.8362786906044,27.984466267308,-26.2611187375163,-26.412287402109,26.8696068047659,-24.6859543054209,-25.7410329051668,-25.6346918052179,28.2843075868405,-25.9817865849815,-26.392942118984,24.3438657427237,25.2007359545106,-27.2086781174539,-25.8967768024415,27.0015825254931,27.092172863589,-27.5330615431726,27.1042860023335,28.3147492005052,27.388684071655,27.9521687812661,24.7980237514184,25.7086964255516,26.5030155002709,25.5814946036621,-27.9442209691817,27.3835740613953,26.640466881853,-27.9146686198273,-27.9894824141598,-28.438701539971,-25.861913103446,24.5605712395398,26.7781037178505,26.7517146092906,-28.3614984566839,27.9581008952993,28.1228451323367,27.6893588172415,29.0145837373997,-27.5957934372234,-25.7089583360904,-24.2036552250316,-27.3897719056849,28.8035625579135,28.7609794208322,-27.0375992075038,-24.4149123678628,25.7745490236946,-28.015914192753,-27.7162226518942,-25.7874053177659,-27.1616247555315,-27.2815821049438,29.1234509974905
cam-1,-28.5673022221771,-26.1537900896445,27.4526400762699,27.267084746271,28.0416858293828,-27.1423286305248,-27.8627958922578,-28.7416085607766,28.5726964930293,28.7281110934201,-28.1818168472964,-27.5381728031754,-28.2206553250206,26.2347956407194,28.4174060266938,27.5021955917817,-26.1609370363456,25.171327253259,27.8362087789484,26.8677530420389,27.184812160275,27.2357183598798,28.259411836933,-26.1739385197071,28.8919089721902,27.5816053540583,-31.8112216311902,-26.8941813935148,31.8708132547446,-31.63089100723,31.51340822343,-30.6383146831969,29.3012982186049,-28.5700371700241,-27.7063770585483,-28.71345507732,-26.0788775036174,-27.8855619157302,28.3045007144004,-23.8558357584945,28.7471083656449,26.2244025020177,24.7796829261176,28.0505169855546,26.742957057823,23.9258311467068,-24.9943894735969,27.0175583136719,27.0314769358665,26.0032807912736,27.6210264155238,25.0862152049782,26.13911134571,27.031271231307,26.9894767619397,26.4554245206564,26.1373266927934,27.5514306241053,28.1567894450548,-27.0379593580488,27.1067984486403,27.3697362748566,26.7840439616151,26.8591236921637,-24.8537517072205,27.1194860774185,26.1095736650592,27.5323693544893,27.436110502204,-25.2806898581896,25.9656820547375,26.5665445466593,27.0349055522737,-25.104534721182,-26.0933942907513,28.1693902440192,-27.034637193343,-26.3222603585442,26.9207259737331,25.3945156958114,25.8829651081742,23.9975668792975,25.5113015574743,23.9396222947016,26.5377877269766,-25.9978267907316,26.8884742845001,24.3735405611545,27.4064656771184,-25.7339029850131,25.8482892999163,-29.6960839926425,28.9794659695204,28.592680620514,-28.0201912918213,-29.2159717888677,26.2034242608067,26.4009797201134,27.4981685533509,26.4592317213368,27.3544307155988,-24.7720003854515,25.353724790089,25.5918457583491,26.0904230735456,-24.7450408645467,-25.9965573626937,-26.2712438470872
casy-1,-26.8063056203534,-26.6438072120016,26.3531293402756,-26.917621049095,-26.3828605568329,-26.7424276664706,-22.3564971115173,24.6545749697463,25.2598955109094,25.8928737053273,-25.910343822228,-25.9419407715581,-25.4678198711964,22.2979719173922,27.2151135981755,-25.1860291206314,-25.6890383184884,-26.5036245296948,-23.0153208411235,-26.0292499749859,25.268785714506,26.3088736570312,-27.2535746243403,26.2707605122609,24.001063119859,25.3372991445195,-24.4299819593578,-24.5196302500886,-27.0747291308652,25.984859758172,-26.762607215155,-25.264884894395,26.6159338810039,-26.7676639654368,26.2116543603665,-26.588791438947,25.9675713795859,25.4954247885451,-25.359359577348,-26.9630268759899,-24.833234665956,-26.7150353292665,-26.2695311855044,25.495064357155,-26.4019580456198,-24.817346145188,-26.5992420224439,24.4711637118481,-29.9952610351377,28.6828142446104,29.9074330816334,28.296067094809,-25.3811600403016,-27.7404997689559,26.5589389798456,-25.0522119041838,24.7508860487827,-27.3495519977739,-29.5185276638123,28.5343767788638,24.0666383654247,23.8559658455311,-23.9377611789575,25.4007683113518,-24.6106968778579,-26.7940749573646,26.0868000553092,-24.4899855828229,25.7993016478312,-25.9977610101368,-25.2353980330348,-24.7856084334157,25.6130359142459,25.5688656760536,-26.4889140379553,-25.6110247006867,-24.0158568446756,-26.5383377750811,-25.2304771285167,25.0883845318648,26.6646287982767,24.1492851604211,25.3153808507332,-25.0505028836381,-25.4470299200334,23.8917343428827,-24.2798106780767,-25.1665353828424,-25.4754286923716,-26.1241714792787,-26.402805075147,23.9939225789901,23.65143855806,25.6111067333947,-25.6817472740403,25.1701976698841,-24.949148315251,26.5709677333323,-26.610223676932,-24.0976175256967,-23.212640239976,-24.3893178795462,25.4504616239136,-26.2508014050219,25.0013748678602,-25.9512980549376,-24.3052211771119,-25.0851179041243
cdh-12,-25.517192847035,25.3552793604763,-25.4870118187127,-25.3670302043942,25.9869129233436,-25.0292704665724,-24.736286517897,-25.095727933723,-25.1096916658124,-25.3932200299998,25.0782816177919,-24.7323785696322,22.2283609892452,-23.6844757857858,-25.1286283710192,25.7503190227309,-24.889430463485,-24.3580594299401,-24.3227785364202,-25.1887580797019,24.1579060436062,-24.0064123552743,-25.0108308855852,26.8356138670384,-26.7309288096018,-25.6605019809427,-25.8873797093371,26.078710131753,-24.7333395523606,23.6536224246148,28.5968483601488,-26.3864411440552,-27.9835495225352,-26.07947998801,-24.1563969806463,24.6873430921695,-25.9813479443316,26.1876553616425,-25.4882293882211,26.5544978365175,21.825948266754,-25.4979602160117,-26.0665862684617,27.0957862842861,-24.8080733522928,-26.2128682442476,-24.1944868977501,-24.1326977204819,26.1177782743594,-24.5678720402268,-26.4791465195661,25.4539148086588,-25.151785901139,-24.3647340960201,-24.9824842951808,-21.7984616318718,-26.4429185774441,-23.1268543737923,-22.4482922363185,-24.3859279323066,27.0547894644115,26.3597329731844,-25.7782665436987,24.8863500586793,21.9163157024568,26.0036519116786,-24.6363067572244,-23.1974241060901,27.16120718201,26.7049790940916,26.6303616496054,23.1144358896147,-25.1017305320222,-25.3066284115117,-25.9494669839076,-24.359472112534,25.6276432302801,24.1055334821134,26.0741031353553,-26.2557078198766,-25.6989971319097,-25.5089503105472,-24.8730830598432,27.8166148947351,25.6263191923072,-26.3367703545563,-27.9489466366586,26.6033155689494,-26.9084588184384,-26.6943948689242,27.0888737450301,28.4948371555832,-27.0549632081268,27.0545605861615,-26.8742725380108,27.6485158571593,27.240157029273,27.6987289844914,-27.5900119731608,-27.8778028785677,26.9063549411676,27.5658362785413,-24.4748849531545,-27.6527028914998,25.9085660888908,26.6841529790977,24.7991361769838,26.4517373620848
cdh-3,-28.2419998684855,-27.2792844010969,-29.822190839102,29.8784357321348,25.7607743712576,26.0893100534346,26.0139570917818,26.5363232828865,26.0467853248368,-26.6705087934341,27.2213026692929,-25.5280846680025,26.1331042166559,26.5892174463389,26.333533312217,25.655671652329,25.7985029066088,26.7609046689784,26.7228220580311,-27.1113237374681,26.4328009820298,-26.1814036018012,26.3257644564052,26.3155178224596,25.5770229102028,25.7197310851793,25.6424483013477,26.1287230737589,-26.639988651663,25.916797923593,-26.5155001229347,-21.8708437111067,26.249250371552,26.3534905356322,-25.0879685916361,26.2057758079697,26.0959144857064,26.2468500196917,-25.9517634559476,24.5645085367997,26.8304988909957,-27.0336301350566,26.8416787103578,-27.6089037856163,26.7999090308027,24.3969224315272,26.9426345910214,-24.5639704960314,26.3396748803869,26.4471735358672,27.2725767001174,-25.8306045200176,25.8274410657546,-26.4758500729139,23.7732088848183,25.1745165401826,-24.5137146390599,-26.5685791496601,26.8922555583033,24.7826945955025,26.205418830079,26.0791054950577,26.458776491067,27.297838049595,-24.9101722236802,26.4138950634467,26.7676035232863,27.2502749331531,23.4754889038193,26.2874243908273,-26.9078863939905,24.2270640012611,-26.7221047242786,27.5785951350977,-24.2154294836696,26.82559879681,26.6362693134062,-25.4409955232529,26.6789550085991,26.3340133488545,26.6031406126176,26.5095077798113,26.0918676065634,26.0079904584817,26.2921610085384,26.841696395701,26.2567769297249,25.448975041043,26.7897040842434,26.547284503048,26.269453801638,-29.6113749534076,-26.4027833283853,-28.6448649788552,25.8028801474126,26.146329228323,26.3948749889514,25.4524764166852,26.6319760110781,24.8612814210481,26.1986210035486,26.3328954341674,26.3550524350133,26.0550506038487,26.1399485991346,26.1984246851727,25.1243709242774,26.6387274251473
cdh-4,-22.9479634843057,25.742367324926,24.5411953183907,-25.3951779905142,25.4817254759861,-25.6488894910719,24.3093218599911,-24.9930065707914,18.8038030095377,-26.1879563788921,22.7454351737644,24.9794159024779,24.0454527028513,-25.2729323795111,-25.088312416578,24.8980965166336,25.8861472713309,-25.0943584604834,24.2108000960325,-25.4961172172782,-23.9600981589737,-23.8917177197034,-25.2927800771578,25.1829606025801,-24.2012819917395,24.7004393205877,24.330933622597,-26.0671479117794,-27.1692361704709,-22.0486385126874,-26.950401663806,25.656551082277,25.4855737370904,24.0974642536179,25.7516293384605,-24.3230171162012,-24.0834146692524,24.5763630311021,-24.3133172278753,23.957117799316,-24.5492505626701,-25.1627422605307,-24.3907348177765,23.3720667203519,24.5842196299726,-24.758990784262,-24.8354370563506,-25.0171669763187,25.3746286659878,-22.8280850883921,-26.1061183712321,-25.1339663867613,-24.2103823103671,-25.3782267965171,-25.5729133848537,-25.3827708200294,-24.7617638700245,-24.5431434607042,25.4112442866399,-23.8206537705279,-24.2895330134365,-24.9733872987598,-23.0906453926718,25.182934495177,25.5459233567862,25.2925100887139,22.2369880247955,25.092563645827,25.3188960641585,-23.0854025366085,24.9731698223038,23.0496251156839,-25.7396710411573,-24.357955661364,-23.5106041525489,-22.4575495765507,-22.4556645749241,-23.754264870429,-23.1820716704341,-22.5113720096636,-23.0604333474375,21.5324017832917,22.6615051176916,22.0320230162759,22.621272955703,23.5062711937766,-20.3687063098095,-23.8853859256854,24.3948249986887,-24.1834399820587,-28.9341693864004,-25.5726723671993,-29.5196766594086,-27.5489014022098,-28.5353485171379,28.4496734674365,24.5815503136294,-23.641599787806,27.4085875311477,-25.5061722089574,26.0801610626794,-27.9532585347919,-27.3102176299817,25.2615865808214,-25.9545680031023,25.8912460176385,-25.5277420469319,-26.1260768995438
cdh-5,-25.9714070354771,-25.5169755566232,25.2462429898177,26.2285226647456,25.3155877421129,-24.4407646437463,-27.1307535629729,-24.9849912089239,22.681989459699,-25.0877325349073,-23.057692642838,25.9827104997039,26.4424527026948,24.9168500050445,-23.6485774345363,-23.0262950646554,-25.2793716720258,-25.4647904933657,-25.4535468787197,-25.6994580255089,-21.8574265403606,25.2342908566326,25.4808336930368,24.8287125461894,-25.0573233856328,23.4753734058237,-22.1689814649838,-25.2126888423212,-27.0336106353338,24.914336856064,-26.9913217008304,25.5801941686281,-24.0198459380238,23.9269255579295,24.1376822511729,24.4728288819962,-25.1083828614884,-21.9385879210241,-25.0503920596432,24.0725820134113,-22.2083164431629,-23.8708302611034,-21.7510699723304,-22.8160354884058,22.5132516276725,-21.5461251111575,-25.1935636220581,-24.3150438088479,-23.0041673810534,25.6363242229786,-25.4398022241282,-25.5346013995011,-22.14338131115,-24.6516986433801,-24.7402957132154,-23.3278893325185,-24.8074764674469,24.183965998705,23.7489332908928,-24.4322231799215,-23.9769584178364,-25.3151698441734,-25.3492004279188,-24.3657473314558,25.2354600708438,25.4760266211084,23.6806473127587,-24.1683276066782,25.9834225323927,24.777282186109,24.4125253381522,-23.7922784451683,-25.8212916789219,-24.6254942510126,22.4336247650036,23.7961957106775,-25.5508902086719,-24.3860064998133,25.3934243320047,-24.6977124380185,21.7557349583075,-24.7495562260207,-23.4723416010467,-25.5175239864896,-26.9553077680449,-22.4970734884669,24.3453591093844,23.6081602301331,23.8598995467215,-23.7545041194952,24.4609022623442,-20.909877103277,19.5005799262024,-24.2072119742993,-25.1612448012409,-24.6070934869292,24.2227328148242,-23.8982453040157,25.2681920265676,-22.6130660234642,-24.3656823728565,-26.1308276736068,-24.1105516870217,-25.2964455476952,25.1706352281416,-25.355318704896,-25.2822888931969,25.2238968225174
clr-1,25.2353189928991,25.1888798364076,-24.3171230901085,-26.456753402583,25.1848396667422,-25.5760111424248,24.0822105901566,-26.1388890593127,24.7001205703169,-25.5910394958828,21.9166229944008,24.8819645118492,21.4719334530622,-21.9240551158101,-23.7761747281426,-24.8714163889578,-26.8974406650159,-25.7773959064969,-24.8183396916032,-25.7164810481519,-24.1434432953731,26.6859208748684,-27.871147549979,-26.7756497458202,-26.6041728452201,26.2365609522398,25.2446086408185,25.6333126253874,-27.0546917013651,23.4105119127521,-27.1850824352822,25.941878057331,25.4406053779679,25.1973221261501,22.6079766523652,25.3909510459104,-24.0042965722411,25.5340334271262,-24.9931455740945,24.1977294277288,25.2498471839551,-23.6812931353488,-26.0906729778608,-23.2355165061309,-20.2809729865098,-24.6813127027582,-25.0552259421378,-24.8614424657612,23.4406402487509,-24.474205517291,-25.7986865844193,-22.8795247873249,22.1979318709026,-24.9273463306825,-24.1161192210088,-23.4567326105316,-24.4788189871822,24.1104188543241,24.7486871370207,-24.7016531746932,-25.0068123046383,-21.6408987954,21.9004695566041,24.8131462250714,25.4850561925358,-24.9136391978425,-23.785581616573,-23.3035029889781,25.7245364259827,-23.4147231560851,24.7060150931809,21.6093690404182,-25.44534458972,-24.7109191703353,22.7142621053913,-23.6162124930317,20.8026331777512,23.2727278846225,-21.3294644874895,20.5935206967936,21.2785154565729,20.0540846773477,-20.7137494415148,22.0888232464017,20.5505121775897,22.3965032222594,23.4971994167123,-22.1828284042872,-18.8051984065034,22.0813074412695,-19.3321369857817,22.8685034720418,23.1402686097807,-22.0549984367267,-20.6086075670891,21.1669031987005,-22.1104469017474,-18.1276008452817,-22.9761082814041,-24.9454418795535,21.846487977273,-23.2736072361316,25.1784497875158,24.6745972210971,24.0477359011266,-24.1639878738719,23.3982307551701,21.9135801393104
dma-1,-24.963187434687,25.6427343207216,-25.2960757470368,-24.450793024722,25.8263546021513,-23.3402285658331,-24.2092927303004,23.2258876895069,23.152398136001,-25.6315812313412,22.7007049886414,24.7383705032536,24.3912482608562,-24.6297946972931,-23.8965103243499,23.2546120960698,22.4771513728579,-25.3348776467778,18.5497818592451,-25.6808637318385,20.867135426051,24.3526919763898,-25.1968303898319,-23.1176262186025,-25.4889741213751,-21.1801812117734,-23.1789168481045,-24.8324933414799,-27.0648980152099,0,-26.9074052224625,25.7564216030837,0,24.0886991289047,23.9935052738528,24.8163213515972,-24.8608327482532,0,-23.2464323858358,24.2894195764717,-24.4380102550789,-24.5669575529472,-24.4556771570066,-22.8865451647675,0,-23.0053303778043,-24.8109383553068,-24.0748800949822,24.6291691290185,-24.5604562276721,-25.7608106916122,-21.1476327498841,-23.6774118315354,-24.6113716971678,-23.4511970051784,-23.6702009797431,-24.594477622229,24.3453548584673,24.6532506922558,-24.717380138172,0,-24.7667002312345,0,-22.0734069487564,25.4663588013185,22.9031211659119,0,0,25.7272062560111,0,24.8669720247812,-23.6207108578722,-25.6540965759334,-24.7453599639564,21.3395270627587,-23.2479671258849,22.3936751868512,23.6721499648114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
