,bam-2,C27B7.7,cam-1,casy-1,cdh-12,cdh-3,cdh-4,cdh-5,clr-1,dma-1,egl-15,fmi-1,glit-1,him-4,hmr-1,igcm-1,igcm-2,igcm-3,igdb-1,igeg-1,igeg-2,iglr-1,iglr-3,lad-2,lat-1,lat-2,let-4,lron-10,lron-11,lron-12,lron-13,lron-14,lron-15,lron-5,lron-6,lron-7,madd-4,mig-6,ncam-1,nlg-1,nlr-1,nrx-1,oig-1,oig-2,oig-3,oig-4,oig-5,oig-8,pan-1,ptp-3,ptp-4,pxn-1,pxn-2,rig-1,rig-3,rig-4,rig-5,rig-6,sax-3,sax-7,slt-1,syg-1,syg-2,ten-1,tol-1,unc-40,unc-5,unc-52,unc-6,ver-3,wrk-1,Y37E11AL.6,zig-1,zig-10,zig-2,zig-3,zig-4,zig-5,zig-6,zig-7,zig-8,zig-9,cdh-1,cdh-10,cdh-7,cdh-8,cdh-9,dig-1,egg-6,fshr-1,igcm-4,igdb-2,igdb-3,iglr-2,itx-1,lron-1,lron-2,lron-3,lron-4,lron-8,lron-9,oig-6,oig-7,sma-10,sym-1,T07H6.4,ver-1,ver-4
bam-2,26.849404719526753,27.43998479074144,30.164324370669362,-28.543347293263864,-29.841095076141094,-27.273569097346027,-28.897783712983575,29.999771142983686,-26.60737447169567,29.87982311043931,22.907768141702185,27.086089726312437,29.663037650873214,28.718911948113867,-28.146849459922674,-27.9360001321707,-28.936752294661872,30.006743862810737,-28.658496555311974,30.15776684844692,-29.18668819555294,-27.431533990942278,29.702119227056603,28.401518713600705,28.508043640321194,26.752163768352904,-29.342711843069438,29.86834813776145,-29.814988461319228,28.027140941561942,27.85863015273132,28.65569399367386,27.77084070274455,-27.160519399750324,-28.300533580755165,-29.093941906026146,29.026004910231862,30.17119312866488,-27.93253185271185,-26.462871264390213,27.457732644868376,29.324669064386022,-24.60763151425375,27.510649045495143,28.519377210585258,-28.304256662923756,28.050756668535428,29.445374227752808,28.308723787668278,-28.059808162104243,24.676860151010484,-27.39384574904586,26.969935385961314,26.129152819219325,-26.19140350355952,27.565434795338607,28.72067721282224,-26.798882941665745,28.345863389528162,28.881590841241596,27.89182844894613,28.856536612728377,27.91748750242467,-26.816223630038102,-29.869435249116048,-28.972304975654623,-27.78978862082786,-27.74838554621893,-30.59515410659848,-28.307233968049378,-29.449482070992605,-26.35421729168623,29.91730892856798,-26.547906883290295,28.631164522770103,-28.066495465788265,-29.280601851532307,-28.23926180603753,26.1591145292607,-29.152984276200915,29.635704660720094,27.35404520730216,-30.12241721226305,27.5680181252157,29.134135811956583,-28.837894350196056,-29.050875015933094,29.342255795568807,28.004102042171755,29.699689903586496,29.693340484774915,-30.258197969030434,-31.746719693649965,28.88620903215196,28.050075844240926,-30.234093292827804,-29.872546344679147,29.267780058274997,-29.415027973536944,-28.839294216801676,27.135934794664074,28.484096975340126,26.659523617753763,24.406574761368876,29.574799545468725,28.472453624247446,27.942268817985795,-29.946237442448588
C27B7.7,29.298658956875467,-28.903648812455568,-27.00612304520367,25.75648238764476,-29.42326218598941,29.373722730360328,25.24396565700043,-27.815143358137984,29.089209808899106,27.799716196267834,-26.99164713021922,-29.225469894788382,27.52442223350963,27.44910743002549,-28.288470984358298,-28.798237187383723,27.649564310712147,-28.269493968457958,-27.890054460811953,28.361821392245012,28.36877173171631,27.849087754099134,-27.685655460232994,29.434766283039874,-25.662119528526585,-25.055342783357254,-28.675893758046303,-28.270541194168494,28.07296294881877,-27.449967052201497,-27.621757527793324,-28.048524927939397,-29.118981297086005,27.673047093546543,-27.145796488881974,27.01070081512121,27.049012139199625,26.85667292572863,27.1261308382145,-28.0022136538974,25.663289902028087,27.622451441871892,28.153437917620234,-27.356798115920505,28.626590789509823,27.88892762682421,27.51579932274719,-28.921036138893374,26.86719751064849,28.120494823428608,25.474236612625784,-28.59319526874054,-27.836278690604374,27.984466267308,-26.261118737516277,-26.412287402108984,26.86960680476586,-24.68595430542095,-25.741032905166794,-25.634691805217898,28.284307586840477,-25.981786584981542,-26.392942118983985,24.34386574272372,25.20073595451056,-27.20867811745395,-25.896776802441536,27.00158252549312,27.092172863588964,-27.53306154317262,27.104286002333495,28.314749200505158,27.388684071655035,27.952168781266145,24.79802375141843,25.708696425551576,26.503015500270944,25.581494603662108,-27.94422096918172,27.383574061395258,26.640466881852955,-27.914668619827303,-27.989482414159827,-28.43870153997098,-25.861913103445964,24.560571239539783,26.778103717850453,26.751714609290612,-28.361498456683886,27.958100895299303,28.122845132336735,27.689358817241544,29.01458373739968,-27.595793437223374,-25.70895833609044,-24.203655225031618,-27.389771905684878,28.80356255791346,28.76097942083216,-27.037599207503757,-24.414912367862815,25.774549023694636,-28.015914192752977,-27.716222651894164,-25.787405317765952,-27.161624755531502,-27.28158210494383,29.123450997490536
cam-1,-28.567302222177105,-26.15379008964446,27.452640076269912,27.267084746271042,28.041685829382843,-27.14232863052476,-27.862795892257836,-28.74160856077662,28.572696493029337,28.72811109342013,-28.181816847296442,-27.538172803175435,-28.22065532502061,26.234795640719415,28.417406026693797,27.502195591781717,-26.160937036345555,25.17132725325899,27.836208778948382,26.867753042038935,27.18481216027503,27.235718359879847,28.25941183693303,-26.173938519707136,28.89190897219019,27.581605354058347,-31.81122163119023,-26.894181393514845,31.870813254744647,-31.63089100723002,31.51340822343,-30.638314683196885,29.301298218604863,-28.57003717002412,-27.70637705854826,-28.713455077320027,-26.078877503617367,-27.885561915730243,28.304500714400376,-23.855835758494507,28.747108365644916,26.224402502017686,24.77968292611763,28.05051698555464,26.742957057822963,23.925831146706805,-24.994389473596893,27.01755831367191,27.03147693586647,26.00328079127358,27.621026415523808,25.08621520497825,26.139111345710027,27.031271231307024,26.989476761939752,26.455424520656354,26.137326692793444,27.551430624105286,28.156789445054795,-27.03795935804881,27.10679844864032,27.369736274856557,26.784043961615094,26.85912369216372,-24.853751707220482,27.11948607741847,26.109573665059223,27.532369354489273,27.436110502204038,-25.28068985818962,25.96568205473745,26.56654454665933,27.034905552273717,-25.104534721182045,-26.093394290751313,28.169390244019233,-27.03463719334305,-26.322260358544206,26.92072597373307,25.39451569581136,25.882965108174176,23.99756687929754,25.511301557474322,23.939622294701604,26.537787726976557,-25.9978267907316,26.888474284500127,24.373540561154506,27.406465677118433,-25.733902985013092,25.848289299916264,-29.696083992642503,28.979465969520426,28.592680620513978,-28.020191291821305,-29.215971788867698,26.203424260806695,26.40097972011344,27.498168553350922,26.459231721336828,27.354430715598788,-24.77200038545154,25.353724790089043,25.59184575834908,26.090423073545566,-24.74504086454667,-25.996557362693714,-26.271243847087177
casy-1,-26.8063056203534,-26.64380721200161,26.353129340275615,-26.91762104909502,-26.38286055683295,-26.74242766647057,-22.356497111517275,24.6545749697463,25.259895510909374,25.892873705327276,-25.910343822227965,-25.9419407715581,-25.467819871196394,22.297971917392235,27.21511359817555,-25.18602912063143,-25.68903831848842,-26.50362452969479,-23.015320841123533,-26.029249974985937,25.268785714506,26.308873657031203,-27.253574624340295,26.2707605122609,24.001063119858983,25.337299144519452,-24.429981959357843,-24.51963025008865,-27.074729130865176,25.98485975817204,-26.762607215155043,-25.26488489439498,26.61593388100393,-26.76766396543681,26.211654360366477,-26.58879143894697,25.967571379585902,25.49542478854513,-25.359359577348016,-26.963026875989893,-24.833234665955995,-26.715035329266513,-26.269531185504363,25.495064357155023,-26.401958045619832,-24.817346145187983,-26.599242022443875,24.47116371184807,-29.99526103513767,28.68281424461037,29.907433081633414,28.29606709480897,-25.381160040301598,-27.740499768955882,26.558938979845646,-25.052211904183753,24.750886048782696,-27.349551997773887,-29.518527663812318,28.534376778863795,24.066638365424687,23.855965845531063,-23.937761178957476,25.400768311351786,-24.61069687785786,-26.794074957364597,26.08680005530919,-24.489985582822886,25.79930164783116,-25.997761010136838,-25.23539803303482,-24.785608433415703,25.613035914245884,25.56886567605363,-26.48891403795532,-25.61102470068667,-24.015856844675607,-26.53833777508109,-25.230477128516743,25.088384531864797,26.664628798276656,24.149285160421105,25.31538085073322,-25.050502883638128,-25.44702992003343,23.891734342882753,-24.27981067807672,-25.16653538284238,-25.47542869237161,-26.12417147927867,-26.40280507514705,23.993922578990066,23.65143855805999,25.6111067333947,-25.681747274040305,25.170197669884104,-24.94914831525097,26.5709677333323,-26.610223676932023,-24.0976175256967,-23.212640239975958,-24.389317879546184,25.45046162391355,-26.250801405021942,25.0013748678602,-25.951298054937652,-24.305221177111918,-25.085117904124342
cdh-12,-25.517192847035027,25.35527936047631,-25.487011818712745,-25.367030204394197,25.98691292334359,-25.02927046657238,-24.73628651789696,-25.095727933723044,-25.109691665812353,-25.393220029999764,25.078281617791898,-24.73237856963222,22.22836098924525,-23.68447578578581,-25.128628371019158,25.75031902273089,-24.889430463484974,-24.35805942994014,-24.322778536420167,-25.188758079701913,24.157906043606186,-24.00641235527427,-25.010830885585218,26.835613867038365,-26.730928809601796,-25.660501980942676,-25.88737970933707,26.078710131753024,-24.733339552360555,23.65362242461477,28.596848360148762,-26.386441144055187,-27.983549522535235,-26.079479988010004,-24.15639698064633,24.687343092169492,-25.981347944331574,26.18765536164255,-25.488229388221107,26.55449783651751,21.825948266754033,-25.497960216011744,-26.066586268461673,27.09578628428613,-24.808073352292762,-26.21286824424757,-24.19448689775012,-24.132697720481904,26.117778274359363,-24.567872040226792,-26.479146519566104,25.45391480865883,-25.151785901139018,-24.36473409602009,-24.982484295180786,-21.79846163187184,-26.442918577444072,-23.126854373792316,-22.448292236318498,-24.385927932306622,27.05478946441148,26.35973297318444,-25.778266543698674,24.88635005867933,21.916315702456767,26.003651911678645,-24.63630675722445,-23.197424106090125,27.16120718201,26.704979094091584,26.630361649605383,23.114435889614683,-25.101730532022177,-25.30662841151168,-25.94946698390757,-24.359472112533993,25.627643230280086,24.105533482113415,26.074103135355344,-26.255707819876633,-25.69899713190975,-25.508950310547235,-24.873083059843204,27.816614894735128,25.626319192307204,-26.336770354556254,-27.9489466366586,26.603315568949416,-26.908458818438383,-26.694394868924167,27.08887374503014,28.494837155583237,-27.054963208126843,27.054560586161543,-26.874272538010782,27.648515857159257,27.240157029272957,27.69872898449137,-27.59001197316084,-27.87780287856774,26.906354941167592,27.565836278541283,-24.47488495315446,-27.652702891499764,25.908566088890762,26.684152979097686,24.799136176983776,26.45173736208477
cdh-3,-28.24199986848548,-27.279284401096863,-29.822190839102,29.87843573213482,25.76077437125758,26.089310053434623,26.013957091781837,26.536323282886485,26.046785324836765,-26.670508793434077,27.221302669292882,-25.528084668002506,26.133104216655898,26.589217446338914,26.333533312217032,25.655671652329012,25.798502906608753,26.760904668978434,26.722822058031092,-27.11132373746805,26.432800982029775,-26.181403601801172,26.32576445640521,26.3155178224596,25.5770229102028,25.71973108517927,25.642448301347734,26.128723073758923,-26.639988651663018,25.916797923593,-26.515500122934654,-21.870843711106705,26.24925037155201,26.35349053563221,-25.087968591636148,26.205775807969733,26.095914485706352,26.246850019691706,-25.951763455947628,24.56450853679966,26.830498890995656,-27.033630135056637,26.841678710357776,-27.608903785616267,26.799909030802702,24.39692243152715,26.94263459102145,-24.563970496031384,26.33967488038686,26.447173535867208,27.272576700117433,-25.83060452001757,25.827441065754595,-26.475850072913946,23.773208884818334,25.17451654018258,-24.51371463905991,-26.568579149660128,26.8922555583033,24.782694595502523,26.20541883007904,26.079105495057707,26.458776491067,27.297838049595036,-24.910172223680235,26.413895063446713,26.76760352328628,27.250274933153094,23.47548890381932,26.28742439082728,-26.907886393990506,24.227064001261123,-26.72210472427856,27.57859513509765,-24.215429483669606,26.825598796809967,26.63626931340622,-25.4409955232529,26.678955008599065,26.334013348854494,26.603140612617647,26.509507779811262,26.091867606563365,26.00799045848171,26.29216100853844,26.841696395700964,26.25677692972492,25.448975041042978,26.789704084243358,26.547284503048044,26.269453801638008,-29.61137495340762,-26.40278332838533,-28.644864978855182,25.802880147412633,26.14632922832303,26.3948749889514,25.452476416685194,26.63197601107811,24.86128142104813,26.19862100354865,26.332895434167355,26.35505243501335,26.05505060384868,26.139948599134584,26.198424685172668,25.124370924277382,26.638727425147344
cdh-4,-22.94796348430575,25.742367324926047,24.541195318390713,-25.39517799051421,25.48172547598607,-25.64888949107188,24.309321859991137,-24.993006570791433,18.80380300953767,-26.18795637889206,22.74543517376439,24.97941590247787,24.04545270285133,-25.272932379511147,-25.088312416577985,24.898096516633636,25.886147271330934,-25.09435846048337,24.210800096032454,-25.496117217278154,-23.9600981589737,-23.891717719703394,-25.292780077157804,25.18296060258013,-24.201281991739535,24.7004393205877,24.330933622596998,-26.0671479117794,-27.169236170470903,-22.048638512687386,-26.95040166380602,25.656551082277048,25.48557373709037,24.097464253617865,25.751629338460468,-24.323017116201232,-24.083414669252438,24.57636303110208,-24.313317227875313,23.957117799316045,-24.549250562670096,-25.162742260530713,-24.390734817776462,23.372066720351857,24.584219629972626,-24.758990784262036,-24.835437056350592,-25.017166976318684,25.374628665987824,-22.828085088392093,-26.106118371232125,-25.13396638676126,-24.2103823103671,-25.3782267965171,-25.572913384853702,-25.38277082002945,-24.761763870024524,-24.543143460704236,25.411244286639853,-23.820653770527947,-24.289533013436518,-24.973387298759803,-23.09064539267184,25.182934495177037,25.545923356786172,25.29251008871387,22.236988024795508,25.09256364582696,25.318896064158494,-23.085402536608473,24.973169822303756,23.049625115683853,-25.73967104115733,-24.357955661364045,-23.51060415254887,-22.45754957655073,-22.455664574924054,-23.754264870429022,-23.18207167043411,-22.511372009663585,-23.060433347437534,21.532401783291732,22.66150511769164,22.032023016275932,22.621272955703027,23.506271193776573,-20.368706309809546,-23.88538592568544,24.394824998688684,-24.18343998205875,-28.934169386400413,-25.572672367199292,-29.5196766594086,-27.548901402209836,-28.535348517137948,28.449673467436526,24.581550313629364,-23.641599787806037,27.408587531147685,-25.50617220895736,26.080161062679366,-27.953258534791864,-27.310217629981715,25.261586580821394,-25.9545680031023,25.891246017638522,-25.527742046931888,-26.126076899543822
cdh-5,-25.971407035477142,-25.5169755566232,25.246242989817652,26.228522664745558,25.31558774211286,-24.440764643746267,-27.13075356297291,-24.98499120892388,22.681989459699043,-25.087732534907285,-23.057692642837953,25.982710499703945,26.4424527026948,24.91685000504453,-23.64857743453626,-23.02629506465538,-25.279371672025846,-25.464790493365687,-25.453546878719692,-25.699458025508928,-21.857426540360557,25.234290856632562,25.48083369303677,24.828712546189383,-25.057323385632838,23.475373405823657,-22.168981464983823,-25.21268884232119,-27.033610635333822,24.914336856064004,-26.99132170083044,25.580194168628125,-24.019845938023767,23.926925557929486,24.137682251172897,24.472828881996197,-25.108382861488362,-21.938587921024116,-25.050392059643176,24.072582013411267,-22.208316443162925,-23.870830261103414,-21.751069972330416,-22.816035488405806,22.513251627672453,-21.546125111157497,-25.19356362205806,-24.315043808847882,-23.004167381053414,25.636324222978562,-25.439802224128204,-25.53460139950111,-22.143381311150037,-24.651698643380133,-24.74029571321542,-23.327889332518524,-24.80747646744686,24.183965998705006,23.74893329089277,-24.43222317992146,-23.97695841783644,-25.31516984417338,-25.349200427918827,-24.365747331455804,25.235460070843843,25.476026621108442,23.68064731275866,-24.16832760667818,25.9834225323927,24.777282186109044,24.412525338152196,-23.792278445168332,-25.821291678921945,-24.625494251012576,22.43362476500358,23.79619571067753,-25.550890208671944,-24.38600649981334,25.39342433200468,-24.697712438018502,21.75573495830752,-24.749556226020676,-23.472341601046733,-25.51752398648963,-26.95530776804491,-22.497073488466896,24.345359109384393,23.60816023013309,23.859899546721515,-23.75450411949521,24.46090226234425,-20.909877103277015,19.500579926202395,-24.207211974299348,-25.1612448012409,-24.607093486929244,24.222732814824194,-23.898245304015703,25.268192026567625,-22.613066023464167,-24.365682372856515,-26.130827673606806,-24.110551687021687,-25.2964455476952,25.170635228141585,-25.355318704895996,-25.282288893196892,25.22389682251743
clr-1,25.235318992899092,25.18887983640756,-24.317123090108527,-26.456753402583047,25.1848396667422,-25.57601114242477,24.08221059015656,-26.138889059312703,24.70012057031686,-25.591039495882775,21.91662299440078,24.881964511849223,21.471933453062192,-21.924055115810113,-23.776174728142568,-24.871416388957797,-26.89744066501588,-25.777395906496864,-24.81833969160323,-25.716481048151905,-24.143443295373114,26.68592087486838,-27.87114754997899,-26.775649745820168,-26.60417284522006,26.236560952239774,25.244608640818463,25.63331262538742,-27.054691701365133,23.41051191275213,-27.185082435282197,25.941878057331042,25.440605377967938,25.19732212615008,22.60797665236521,25.39095104591044,-24.004296572241056,25.53403342712616,-24.993145574094527,24.19772942772877,25.249847183955126,-23.681293135348792,-26.090672977860773,-23.235516506130946,-20.280972986509852,-24.681312702758195,-25.05522594213778,-24.86144246576121,23.44064024875088,-24.47420551729098,-25.798686584419347,-22.879524787324883,22.197931870902554,-24.927346330682457,-24.116119221008823,-23.45673261053165,-24.478818987182205,24.11041885432413,24.74868713702073,-24.701653174693245,-25.006812304638306,-21.640898795400005,21.900469556604147,24.813146225071396,25.485056192535772,-24.91363919784247,-23.78558161657299,-23.303502988978114,25.724536425982656,-23.41472315608506,24.706015093180913,21.60936904041816,-25.445344589719973,-24.71091917033533,22.714262105391278,-23.616212493031696,20.802633177751222,23.272727884622462,-21.329464487489478,20.593520696793625,21.278515456572933,20.05408467734774,-20.713749441514764,22.08882324640167,20.550512177589656,22.396503222259362,23.497199416712267,-22.182828404287214,-18.80519840650338,22.08130744126948,-19.3321369857817,22.868503472041763,23.140268609780698,-22.054998436726702,-20.608607567089063,21.16690319870055,-22.110446901747412,-18.1276008452817,-22.976108281404116,-24.945441879553513,21.846487977272957,-23.273607236131628,25.178449787515824,24.674597221097088,24.04773590112661,-24.16398787387195,23.398230755170093,21.91358013931039
dma-1,-24.96318743468698,25.64273432072163,-25.296075747036852,-24.450793024721982,25.826354602151273,-23.340228565833083,-24.20929273030044,23.225887689506933,23.152398136000993,-25.631581231341237,22.700704988641384,24.738370503253556,24.391248260856237,-24.629794697293143,-23.89651032434986,23.254612096069827,22.477151372857932,-25.3348776467778,18.549781859245055,-25.680863731838524,20.867135426051036,24.352691976389853,-25.196830389831852,-23.117626218602496,-25.488974121375126,-21.180181211773412,-23.178916848104524,-24.832493341479854,-27.06489801520993,0.0,-26.90740522246247,25.756421603083655,0.0,24.088699128904732,23.993505273852776,24.816321351597246,-24.860832748253202,0.0,-23.24643238583575,24.289419576471676,-24.438010255078883,-24.566957552947244,-24.455677157006555,-22.886545164767483,0.0,-23.005330377804263,-24.8109383553068,-24.074880094982188,24.629169129018504,-24.560456227672088,-25.76081069161217,-21.147632749884117,-23.677411831535448,-24.6113716971678,-23.451197005178404,-23.67020097974315,-24.594477622228965,24.345354858467292,24.653250692255835,-24.71738013817201,0.0,-24.766700231234502,0.0,-22.073406948756386,25.466358801318467,22.903121165911926,0.0,0.0,25.727206256011105,0.0,24.86697202478119,-23.62071085787222,-25.654096575933387,-24.745359963956435,21.33952706275866,-23.247967125884855,22.39367518685123,23.67214996481137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
