,bam-2,C27B7.7,cam-1,casy-1,cdh-12,cdh-3,cdh-4,cdh-5,clr-1,dma-1,egl-15,fmi-1,glit-1,him-4,hmr-1,igcm-1,igcm-2,igcm-3,igdb-1,igeg-1,igeg-2,iglr-1,iglr-3,lad-2,lat-1,lat-2,let-4,lron-10,lron-11,lron-12,lron-13,lron-14,lron-15,lron-5,lron-6,lron-7,madd-4,mig-6,ncam-1,nlg-1,nlr-1,nrx-1,oig-1,oig-2,oig-3,oig-4,oig-5,oig-8,pan-1,ptp-3,ptp-4,pxn-1,pxn-2,rig-1,rig-3,rig-4,rig-5,rig-6,sax-3,sax-7,slt-1,syg-1,syg-2,ten-1,tol-1,unc-40,unc-5,unc-52,unc-6,ver-3,wrk-1,Y37E11AL.6,zig-1,zig-10,zig-2,zig-3,zig-4,zig-5,zig-6,zig-7,zig-8,zig-9,cdh-1,cdh-10,cdh-7,cdh-8,cdh-9,dig-1,egg-6,fshr-1,igcm-4,igdb-2,igdb-3,iglr-2,itx-1,lron-1,lron-2,lron-3,lron-4,lron-8,lron-9,oig-6,oig-7,sma-10,sym-1,T07H6.4,ver-1,ver-4
bam-2,457665644002.70917,826102579275.3958,12595042129542.398,-2490108234830.459,-9116390618294.857,-699456259040.3662,-3549343287915.1924,10684029186670.373,-359282373400.6604,9476376282508.691,8886224820.794922,579881567871.996,7629455921415.974,2968007440429.7114,-1675025424544.0898,-1356596536214.345,-3690386439546.2285,10758786255979.627,-2794003292866.882,12512720070246.637,-4738246258679.835,-819150767322.4049,7933530234118.729,2160841215872.3376,2403731987499.0586,415257135265.96277,-5538317349739.924,9368256644910.611,-8881472322916.66,1486047373451.124,1255594338282.7295,2786183888720.6104,1150066293017.6646,-624688773182.6355,-1953284793419.1182,-4318554717293.6943,4034909183587.9795,12681852223329.57,-1351899630113.5574,-310941697712.8453,840895005979.6174,5439286795243.566,-48636081702.380066,886590501229.2992,2431129817219.586,-1960570587592.9622,1521559130065.358,6137104872513.025,1969348291931.5693,-1535394031549.4995,52122374735.501434,-788852937206.391,516290478033.66345,222713675983.63892,-237018374250.50763,936518202466.6863,2973251386333.056,-435117933012.8749,2043864285477.3552,3492332060763.3726,1297977563920.8225,3405921371896.666,1331713403588.2148,-442728977147.9523,-9378446520843.455,-3823949770319.08,-1172065415534.07,-1124529167516.6262,-19377895140250.254,-1966416502670.653,-6162366988157.457,-278927378197.36945,9838348018187.113,-338539591241.2726,2718671676623.301,-1545696085803.4678,-5204797183510.735,-1837196356173.665,229487529954.53888,-4581210022443.963,7423744242465.51,758072759904.6033,-12078126583523.82,938940665583.0216,4495669931247.554,-3343015467526.9585,-4136516051125.579,5535792189795.071,1452201856318.2385,7914280514285.303,7864188628178.002,-13834657447745.367,-61295018644376.36,3508497616021.395,1520523568201.9282,-13505164622289.742,-9407669197903.36,5138488357525.969,-5953664174189.39,-3347698520301.862,609518290635.8053,2346854355666.9023,378515786780.66187,39777798277.578476,6985093856896.849,2319687569565.505,1365127324156.6274,-10127113445009.924
C27B7.7,5299634420669.776,-3570221706509.629,-535315990109.06305,153425721470.97406,-6002890300926.653,5712756258280.546,91899888864.6966,-1202162769147.6177,4298167172887.579,1183759132454.746,-527622619978.76587,-4925613221534.782,898886159728.7437,833673295067.9462,-1929864645186.5781,-3213035315309.9067,1018716187444.4995,-1893586883668.6003,-1295677008306.5076,2076741910201.0676,2091226248697.8916,1243669940747.4385,-1056154355205.4432,6072346885161.45,-139610121541.67343,-76102182696.73926,-2843036417496.442,-1895570935231.894,1555725245761.0708,-834390247229.7722,-990779186712.5875,-1518167191157.2573,-4428053872753.112,1042921571017.0365,-615558910053.4407,537772161148.626,558774672891.5648,461004170126.01,603571797071.2894,-1449462123015.0508,139773613182.947,991466940932.5709,1686097693231.118,-760162540105.8551,2706265590244.0347,1294217817703.5933,891168466896.5334,-3632841131387.404,465881669468.88965,1631457370194.2058,115696545420.78076,-2617380877797.603,-1227841285057.2502,1423964882299.919,-254131767088.50085,-295604249602.3146,467005468672.327,-52598545563.35254,-151073589868.41565,-135832969878.95702,1921846554344.8794,-192196973161.93002,-289940660198.42944,37359973564.696045,88011731453.46484,-655509162186.6616,-176533553919.00974,532890887085.03217,583419817973.0892,-906685557811.3474,590529838571.0396,1981250249505.079,784791623448.5271,1378709153415.669,58836235463.02107,146266542175.09344,323678151761.75903,128795872418.39178,-1367794861966.4927,780791559090.0767,371370807617.2549,-1327964745845.4639,-1431125643962.6604,-2242699836041.4307,-170484991507.41504,46400275772.77745,426169809589.62354,415070660641.99414,-2076071364664.3064,1386912119742.9517,1635296308562.9482,1060072923288.6437,3989087952627.0347,-965385593492.1135,-146304855941.14258,-32472363966.030273,-785645811005.7598,3230191560023.7725,3095527429119.385,-552433669265.9114,-40110836347.72186,156222798951.02597,-1469457194011.4636,-1088936504455.2764,-158244211288.47583,-625379658296.0916,-705083522902.7102,4447890245235.895
cam-1,-2550478799994.7095,-228268884639.32556,836623575984.054,694935412314.4015,1507819720130.742,-613427936036.478,-1260835726796.9844,-3036141436309.793,2564273947374.3643,2995436540854.1313,-1734632770545.65,-911331727212.9471,-1803328653512.2793,247529509145.68512,2195445332172.1206,879127338657.6991,-229906153960.5019,85461109799.03008,1227755447640.2688,466140553262.89136,640050016018.2114,673476109414.148,1874591409991.801,-232914790986.87543,3528552944844.221,951785331375.8787,-65378961379321.79,-478624112999.07935,69393426139823.4,-54591046801007.56,48539946955662.46,-20232567675410.246,5313640017063.419,-2557463773913.366,-1078267884082.4907,-2951855516872.3237,-211793483756.31458,-1289869176676.3364,1961049126131.5256,-22932839475.668007,3052885624439.457,244970223168.66052,57766965963.34509,1521194481939.3442,411451528467.5149,24595544527.352264,-71602045117.37274,541472606361.9557,549061852402.3798,196372811953.11746,990055080626.476,78488284218.96425,224942656284.39792,548948919491.728,526478726365.0665,308634794692.18567,224541569723.40118,923494447491.0239,1691758176240.8232,-552632664384.9526,592015378471.203,770061543217.3887,428708896073.75977,462135369258.8346,-62208140679.57587,599574502098.633,218395541243.98065,906058177486.7054,822908211468.7292,-95337575674.4427,189126521645.82788,344908343152.62476,550947605793.3109,-79939402926.56918,-214890469429.9592,1713210555625.8237,-550799773919.8555,-270154636167.06192,491499113924.322,106831182925.22052,174112087216.945,26424749243.65813,120065295087.43109,24937095095.720875,335131130656.5576,-195304709892.56082,475900332857.25977,38485237423.233826,798871286998.6627,-150000278095.82138,168178087562.95197,-7885793714862.788,3851431331375.1587,2616034193934.559,-1475755668003.7407,-4879050703345.949,239884707825.52386,292280478241.7908,875594177941.1371,309812068930.1692,758365059581.3488,-57324869285.45769,102561124060.71088,130135982293.50409,214252930771.77643,-55800064628.322464,-195056941912.97403,-256717949672.6182
casy-1,-438359689997.0882,-372613382872.6958,278624083777.51215,-489975412928.41077,-287032290500.79803,-411233767231.95874,-5120393412.973418,50973665305.373,93375563100.56732,175845869237.21167,-178944908599.47104,-184689296466.13147,-114956527395.85995,4829321977.327851,659741282019.304,-86726829121.4518,-143419296252.3475,-323875341321.06415,-9895251584.786316,-201539247287.2477,94209391829.2149,266562255402.0402,-685609886498.9141,256593898928.44827,26517298216.251465,100890251534.49469,-40719867667.10336,-44538964515.51868,-573331047331.3999,192788536269.50818,-419616575235.02313,-93842613771.61896,362370817062.73083,-421743845474.28424,241867129427.51892,-352667470130.56494,189484180843.48926,118174098909.53766,-103140665438.61125,-512735972424.03894,-60944817829.68159,-400121996685.0545,-256278654991.53528,118131512929.91605,-292566563608.16235,-59984146855.88867,-356372376471.2136,42431791249.426605,-10635951561940.596,2862779851110.5635,9741664202169.922,1944579928889.4048,-105413868100.20511,-1115696253943.5015,342295070012.89026,-75864288561.10117,56127181383.94859,-754674221047.9998,-6602884162416.914,2467870573803.498,28314457175.860966,22935822934.845642,-24890727436.599483,107501249892.31421,-48785397714.0907,-433030914019.4967,213478092969.6971,-43238000330.52002,160137978764.15118,-195291863055.12512,-91115888480.39954,-58110280694.192184,132923008520.48169,127179546383.82791,-319145847664.29016,-132655940618.72977,-26912503903.35465,-335315519606.4916,-90668617285.09766,78658735779.93155,380453119211.1366,30753977130.75574,98702967691.8009,-75734745660.54065,-112591258906.45032,23771051241.13715,-35041912362.35989,-85052570849.8053,-115834547167.44019,-221607022052.19763,-292814481108.11475,26328624781.45319,18693441139.132298,132666823191.13239,-142377422577.7275,85364628852.09723,-68434869196.2944,346437316113.05505,-360307502328.14,-29205343489.56027,-12053732982.372162,-39097246503.24832,112978302496.16388,-251523284579.54773,72103964644.51028,-186425597411.3127,-35943754445.72385,-78402206193.05173
cdh-12,-120774722175.32407,102720686540.479,-117184074144.01471,-103934861111.78679,193184769604.69955,-74143664971.89946,-55313703512.55713,-79238484545.2351,-80352710788.15854,-106692855046.59492,77868054150.863,-55097962248.31616,4504582231.251587,-19321335445.61566,-81888824951.6767,152483010881.29297,-64467719556.95068,-37894030496.48045,-36580404449.409546,-86963826319.18217,31020249678.23584,-26659525551.59253,-72789014831.04094,451397366408.5084,-406532132520.7655,-139384478070.60907,-174882421748.43774,211758038452.43817,-55150935887.70288,18734309729.560913,2626959895254.7915,-288061876814.3413,-1422660068119.6387,-211921124471.64813,-30973473471.43839,52671644474.07385,-192112686243.88657,236131658553.1137,-117326840796.08186,340778259226.5996,3012235306.2392907,-118474100921.71555,-209206213190.9479,585531772610.8422,-59430497191.54492,-242160906306.732,-32176007328.838135,-30248054959.058586,220194762192.2827,-46740274559.49668,-316043759243.9385,113369111826.9506,-83807295669.40692,-38147806489.30609,-70754664114.78674,-2930566634.4404297,-304799060207.0883,-11062804516.228516,-5612669198.679932,-38964933294.49754,562012239128.384,280470103456.06067,-156804641166.1642,64269438433.670166,3297121666.229065,196445703435.5553,-50050921655.052216,-11871710121.575302,625118570825.3021,396118439881.3108,367636917046.0409,10926270779.07808,-79715551726.67773,-97842845540.33118,-186084551235.8019,-37947600563.61542,134878907352.35341,29437449172.97278,210784713705.42993,-252760394564.97852,-144854717949.67776,-119783323553.56152,-63422407074.82417,1203933097890.4507,134700440731.64148,-274103156088.10217,-1374273902498.8406,357827036721.6239,-485506648366.28766,-391947942794.2968,581498218359.4215,2372195836891.458,-562109893706.0769,561883621470.1013,-469189482664.42334,1017648670557.1118,676472091375.8661,1070052666791.3616,-959820354493.1415,-1279899760351.0083,484486275709.7648,936894274282.1836,-42589984338.506836,-1021918533280.2285,178627074865.44797,387954142091.0616,58901722813.66705,307498904653.67487
cdh-3,-1842233607533.395,-703465309579.1326,-8945670955735.834,9463238079585.396,154085637314.27258,214014595611.51678,198480578659.7325,334640709038.0354,205104475907.5831,-382696771577.85205,663837129403.9961,-122097368765.95676,223595447198.97372,352817741085.7351,273217307105.38885,138712828687.41458,160010121028.65903,418902766457.84265,403249800020.05273,-594700489919.4701,301730774643.12976,-234660025075.6011,271102944962.87305,268339235862.9188,128221222544.71324,147889481506.58163,136890654444.44173,222617986354.9803,-371193249345.6378,180103572222.5145,-327744481832.592,-3150552625.6364136,251133465935.72787,278724739679.9369,-78626025250.66995,240449471803.98077,215432718306.34143,250531380151.5367,-186512380265.4812,46583327579.64695,449094374588.67053,-550245365650.9509,454143339241.13196,-978125464552.1073,435564631934.49805,39395696899.108185,502386002788.9239,-46558270591.73199,274900453109.58923,306098730596.57446,698762464904.0,-165230039722.66147,164708167943.0991,-315003653120.8815,21114141892.98429,85734104897.43774,-44276267099.76589,-345610809079.9167,477703248830.1039,57941203206.98477,240363651977.51987,211841776362.67175,309671065195.4525,716638989674.2113,-65818857586.56445,296079863336.13635,421718355139.6438,683351313943.824,15677445182.743042,260905573337.0201,-485228812018.902,33241469051.906555,-402960639052.6555,948924557063.6179,-32856961711.459625,446899152644.5056,369815220359.22266,-111913884404.93347,385942799883.0698,273348492907.26456,357764438092.04346,325786397057.83765,214562649850.2972,197299843838.4398,262144314702.7894,454151370992.96484,253030767695.60043,112810475662.0821,431142321243.16626,338328956442.7322,256258823925.65976,-7245306192533.121,-292808113410.604,-2756175038498.776,160712059014.48178,226572139607.41562,290501619749.14856,113206159828.95906,368230895239.6272,62678318105.924644,238735242659.9847,273043083355.05533,279160419834.0609,206806746808.67538,225131069157.35605,238688379145.0914,81540928740.98567,370725385680.1736
cdh-4,-9250685411.866547,151275320018.25195,45509881647.5647,-106901960086.85356,116566233463.59225,-137775238951.12848,36091451005.6043,-71503094883.35107,146685736.52792358,-236202748954.67636,7554695850.082092,70537893758.08502,27720906225.499634,-94600857695.44118,-78653063487.1723,65028828027.29566,174667022765.48053,-79130043831.37402,32705205638.98764,-118255954387.39375,-25452967109.280807,-23770656093.973083,-96497223915.04436,86461114164.82422,-32395390844.5083,53365981032.50699,36879940511.213615,-209323745465.13217,-630157843677.7256,-3763587691.5069427,-506303264574.0652,138834870558.9122,117015674995.43533,29200867468.883774,152682942727.2596,-36589132835.46118,-28793475959.781128,47138835498.355484,-36235938077.14461,25377221044.26693,-45877955332.82242,-84730567131.47113,-39152684153.10489,14137076474.598856,47510645086.95845,-56583925738.185074,-61079190026.77356,-73251676819.7431,104727614199.89362,-8205619721.6467905,-217642222696.41068,-82327117554.03621,-32691544726.754456,-105105116569.92664,-127695375411.48596,-105583803449.44019,-56741055583.60977,-45598627790.67627,108633349901.8772,-22140044419.549732,-35384263113.71597,-70113927994.35275,-10669397059.729645,86458856919.13037,124294968602.2937,96471174296.42139,4543611533.824951,78988147445.8908,99050540226.86133,-10613605328.468933,70098681523.70718,10240590446.47322,-150867988216.1156,-37890098490.90617,-16237742486.233797,-5664868829.148071,-5654200600.163606,-20717920149.805817,-11690842388.413528,-5978120211.946411,-10351873424.101501,2245966512.454941,6946509344.010522,3701570464.0107956,6672583516.602509,16167537225.575027,-701482359.1121979,-23620620693.80226,39313153665.44277,-31822517768.09424,-3680866809381.703,-127664602280.20801,-6610475207445.809,-921161676405.5107,-2470269863647.812,2267442062715.8135,47383993257.650024,-18510422482.137207,800568174895.3928,-119451015118.97754,212065507743.74194,-1380212425525.8179,-725565820861.4861,93533601295.00032,-187036197222.20404,175559879894.54327,-122055542800.38844,-222029679104.69714
cdh-5,-190212372611.78256,-120748481837.1947,92109413986.17102,245981622485.7126,98723390597.55002,-41161312853.464905,-606368402349.1289,-70932262473.51569,7090271426.054298,-78607467238.8037,-10323540840.349998,192374628831.74255,304657095092.88574,66259852321.62387,-18640033334.545837,-10004442333.57348,-95211985794.90692,-114608807593.52441,-113327407609.12186,-144921495949.58582,-3108563441.0505753,91015062944.93,116462328021.56258,60669840273.61961,-76253060217.82443,15675634573.81018,-4244888817.57959,-89070038115.82213,-550234636123.4539,66093540512.02356,-527450944007.7591,128628490611.83762,-27020074806.19763,24622476902.16942,30399203707.184216,42502506261.47046,-80247613603.66196,-3371379757.209717,-75726352898.53816,28483249466.314537,-4415188843.127591,-23279296984.733986,-2794921821.524933,-8107338599.605001,5989367361.216797,-2277001109.194107,-87382740418.56256,-36298556400.59893,-9785498492.486267,136054887113.0079,-111780417313.55093,-122895642778.51595,-4137598198.5233765,-50827259064.87787,-55535912094.88854,-13526131695.449463,-59395034612.97781,31839261345.480103,20607754849.1933,-40811232217.67726,-25885748877.761223,-98682142915.3016,-102098148515.15106,-38186478787.39868,91121541285.83008,115903828682.5498,19247505651.878662,-31345219572.677002,192511654633.59406,57628448835.31714,40015204772.75574,-21520642875.02002,-163698421546.4757,-49512660971.24803,5530946333.214201,21605110279.703217,-124913858997.63612,-38967994792.42154,106714654837.58566,-53220656500.55908,2807990551.6506042,-56052591787.04016,-15628181081.23944,-120814722073.36176,-508793344467.66223,-5893250137.610718,37415807383.466484,17901676956.63318,23026223296.26184,-20722877485.850372,41998605921.94452,-1205158708.2131805,294438269.00634766,-32588065661.775368,-84603781508.43538,-48609921199.63091,33097805393.633728,-23926328585.68445,94153477449.09335,-6618046174.06842,-38183998327.789314,-223087001506.68878,-29585543598.20468,-96851580691.65588,85401989023.37793,-102724728105.7869,-95490145745.38751,90073948735.12231
clr-1,91108686952.81583,86974415392.8175,-36374109829.905334,-309045206526.83966,86623732883.51816,-128091558049.52269,28758827201.389313,-224892660148.66425,53348973322.34909,-130031100822.14351,3298135000.842331,63988198946.90137,2114181238.1721344,-3322738455.2726936,-21176856084.026306,-63316790833.67553,-480186623870.6687,-156668180624.58008,-60043773505.98641,-147409615429.37903,-30574840302.711853,388640611202.2136,-1271409889661.8472,-425125282940.5065,-358133924874.37085,247966861758.03387,91958998007.19043,135645760913.67502,-561957297785.4614,14691161813.697632,-640223028920.3579,184677714182.8486,111870230246.89673,87711786779.69298,6584450045.238484,106451045091.26257,-26603179408.882935,122825861267.2774,-71513034740.54158,32280508329.44851,92441993176.02641,-19259940140.637062,-214306480194.55936,-12332655576.193686,-642561433.503046,-52354969742.60707,-76093291344.35657,-62688412930.51775,15140517248.694397,-42561057003.96931,-160039514036.70145,-8638759104.858599,4369576239.136047,-66959000130.93646,-29750721507.854492,-15386134913.478638,-42757864793.32803,29581613931.63977,56003898258.66962,-53430798879.425735,-72497093231.03935,-2503357819.4217224,3245286771.703705,59732746531.01758,116955129838.79834,-66047445891.11035,-21377004316.645996,-13200268258.925587,148601851084.9635,-14753160324.720215,53664368704.80716,2425658911.2767334,-112401665253.6261,-53928189278.86412,7322825629.479765,-18046407889.558838,1082601932.9018235,12800216024.229004,-1833448556.4040527,878319250.7080517,1742375861.706768,512127757.0407729,-990528742.1634827,3917906321.4770813,841344846.749495,5329393198.774292,16021532196.039783,-4304076372.925198,-146890564.23433208,3888570480.363083,-248794294.32318115,8544071367.283539,11212203382.274551,-3787600100.9512177,-891670802.638916,1558365260.297545,-4003548387.676156,-74596253.69010574,-9514742562.87944,-68181689241.607025,3074745520.664917,-12811476863.900146,86071982379.15286,52004558809.4234,27784270860.26877,-31209484435.121807,14511840729.510315,3288114507.1529675
dma-1,-69402410319.66513,136929813423.56445,-96815771534.88702,-41576170880.59772,164529315689.28433,-13694067760.651413,-32655944069.677185,12214476572.21283,11349030242.124405,-135411107847.9186,7224219147.555962,55429096657.74603,39172791989.51094,-49726046006.544586,-23884852882.265076,12570417790.015142,5777005887.415283,-100646241572.26819,113780516.78518677,-142251681673.17712,1154733508.8743973,37691180927.77661,-87668666311.41594,-10961184841.53254,-117414250528.70175,-1579195238.924347,-11654017975.577332,-60899654686.870285,-567722179386.1477,0.0,-484995389892.51904,153416395839.26254,0.0,28946036667.163498,26317640003.23573,59922706973.62085,-62650202357.61606,0.0,-12468014799.328377,35380249457.95788,-41048094594.92984,-46697550711.154884,-41779731101.93271,-8699619837.102865,0.0,-9796885615.748672,-59601009888.1853,-28548781567.2091,49694948697.49884,-46394939497.27268,-154091233860.89102,-1528622362.222735,-19185331344.888245,-48818330152.98456,-15301198646.404417,-19047486351.17041,-48000517172.76999,37415648332.30908,50906206704.61456,-54277745595.35213,0.0,-57021842391.78366,0.0,-3857969897.402832,114788690516.97217,8845026547.013916,0.0,0.0,148999122857.34766,0.0,63036012359.78201,-18127770077.510864,-138494517358.82263,-55817873237.21745,1851990905.939787,-12487164652.238037,5314342777.69699,19084645817.51587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
