,AS10,AS11,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVFL,AVFR,AVG,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CA04,CA05,CA06,CA07,CA08,CA09,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,DA07,DA08,DA09,DB05,DB06,DB07,DD06,DVA,DVB,DVC,DVE,DVF,DX1,DX2,DX3,EF1,EF2,EF3,HOA,HOB,LUAL,LUAR,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,PDA,PDB,PDC,PDEL,PDER,PGA,PHAL,PHAR,PHBL,PHBR,PHCL,PHCR,PHDL,PHDR,PQR,PVCL,PVCR,PVDL,PVDR,PVNL,PVNR,PVQL,PVQR,PVR,PVPL,PVPR,PVT,PVV,PVWL,PVWR,PVX,PVY,PVZ,R1AL,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,VA10,VA11,VA12,VB06,VB07,VB08,VB09,VB10,VB11,VD11,VD12,VD13
AS10,0.0,811811.2014590382,1345296.2935645573,1346098.0623909098,559417.7773996397,558726.2155579787,634060.5140439905,668916.2972549642,1489392.5204410162,1501085.0241152355,3498132.3238977585,715890.060432421,714824.262896508,265304.2632011403,324473.8870870093,738773.605561978,356012.570520703,879653.3518916782,1389618.6508879324,2644783.2721064785,1703575.3155223434,1016098.8261857197,575791.9256124971,787256.340360352,965565.6990161364,1075865.969807333,1266787.9599909666,1349184.542881187,1596108.091314229,1268633.199415992,2382587.9689910943,2237992.157556478,2692579.7147272974,417860.40153047175,1285811.1373558952,1343647.5130296561,247066.89874920546,532808.0629502218,893037.5157430699,1210798.273800614,1333731.0025639902,1090250.7666461028,1337476.5562463822,2430600.8224587305,2009679.8630313755,523279.214683133,599388.07239226,1262851.801351928,2144684.6790890987,2805964.1875616284,2485480.21298318,2305487.131062697,1638589.2183119028,641427.014316397,637630.2130424307,1794734.4617389855,1796625.503656533,1271352.0028251666,1248111.9596354046,964587.4430017704,936314.036200514,1085260.9942953927,3455807.146427418,1930041.50027,599113.4995479045,456676.71496560803,1273980.8609559473,1066718.6790582004,1185755.45986563,831559.0054495046,829266.7850577936,2218332.960585933,2062341.6898938653,795758.3834662139,766488.7375776744,1235761.6272614403,1040442.0275900487,1069428.8924939036,474468.3467952288,633315.9859605695,1779067.4420552698,1773657.1164682633,914657.7447477896,1095618.9412843976,938512.7580210991,1305524.2276992095,1504533.4080079203,883170.4810120212,4822070.213895548,845525.5186504993,762809.8340958459,4575354.777261105,3945231.8983524865,2953589.856560532,980810.9213308555,437719.9679993887,1992103.0868445365,1136291.567282144,967635.6691056403,1350327.9478675046,1477555.5580819556,1453548.9221736107,1337527.7749909537,1317957.3467418635,1583287.8461751433,1360926.1915296512,1186232.6439654573,802618.6187996175,916785.167764529,534844.2088968704,731642.3971423772,365827.49088081386,933250.9200119842,777870.349660294,1212904.8239767032,664698.071026993,958661.0430936167,870952.4068955205,1461239.5999170109,1863026.8460164145,2174263.786483597,1461477.2482439002,1553364.1360616211,723224.1899459107,960783.8992320374,1069914.148048596,1301074.8415541383,1565597.1097313857,875472.3655590985,734337.4410884585,957740.1256656653,1188754.786351865,1159310.9604465775,1550604.5565835948,1305601.0411616985,494035.52897959435,1230334.5126978452,1508364.6643575248,800486.2271486894,296481.3229881579,294993.3433330188,605853.1751157708,976465.7438161677,1382008.0822346862,903311.6468525543,876440.4652978211,940703.0034673712
AS11,811811.2014590382,0.0,1553395.8907482591,1541454.5185582035,919191.1211271902,997524.2207283609,847181.4616141288,858040.1792149073,1561364.2474004154,1415118.278777549,3734917.837312846,1076208.3984623733,1103311.1655357182,762397.9795839328,808108.595145098,1129160.933371426,827220.96329837,1280290.226083746,1422864.0481379188,2880583.653076201,2151625.9896620484,1381502.175687619,1158509.3441512554,1255318.099169115,1359378.0243850555,1523593.1662548103,1711832.7063925003,1770939.4334215843,1946963.684170349,1732667.71795915,2362859.7019640957,2262511.280535402,2786998.937129848,962905.9848157972,1542113.931240596,1726738.055137644,734693.8340428028,1136071.3590818245,1224334.869799349,1631828.4769851274,1802135.5742916102,1439523.2173871484,1683530.3344160477,2703761.0081707095,2314563.179510911,890422.1082570587,980890.2098665361,1498133.302145414,2327065.6180961896,2750405.527081911,2543396.3438296565,2713222.4247438447,2017187.871223831,931090.31477795,1058736.8317357365,2033707.9878143987,2072505.7895651425,1612733.5155857264,1507304.0037270815,1449859.2955730187,1397763.1995133716,1589172.963871245,3226768.89801504,1980095.7972284025,1132463.8004740276,926866.1298015207,1269812.1450762523,1217122.145598124,1522002.6097418517,1207105.1583308575,1202260.6654354287,2510889.860244921,2473667.9397514462,1057368.2232198555,985117.8176504101,1355056.8730837496,1354454.0601626048,1615812.3052037635,774740.61476606,897530.8083112856,1823347.9866369958,1773898.5406462732,1311114.2066250574,1504917.8994904768,1461613.1368059295,1658596.5956334956,1798350.1925670337,1316693.201918092,4400290.087233301,1112287.070222587,1093605.597023632,4511129.773032512,3899740.692413865,3162756.625474948,1305774.1555537859,788543.7791282744,2115373.3431810983,1503671.817262081,1329995.349197576,1539280.7917386938,1634706.8365478464,1593512.6851270078,1484647.8361957734,1382880.220314245,1547600.3921430665,1515928.1836424393,1262223.163230382,1011090.8542510316,1102875.7261000122,801841.0360498257,865678.197966731,759993.9279368503,1007648.2149894886,879429.1690596002,1159583.2437657393,963927.4134766633,1320860.3684203383,870748.3187225036,1242336.111323036,1549039.9338676713,1969647.8872682007,1781119.3957377058,1828950.387011413,1083928.4104696994,1316933.8003437843,1291300.7895732133,1475011.8040385176,1761391.604997838,1069247.782591673,1204470.8946846426,1407623.3116434074,1536878.8327665005,1636642.8829768263,1934420.865763195,1618827.2883542853,915193.3518833639,1237954.7472636076,1661847.574186442,1195263.2850185365,812877.4849056071,819138.174156435,1061299.0400603095,1394479.655110612,1711292.1081226203,1296506.2160245322,1186335.2352260482,1362093.9348313652
AVAL,1345296.2935645573,1553395.8907482591,0.0,1379249.405617534,1431023.5010936132,1513153.9392049175,1272376.9011458082,1289458.3669973267,1988756.78162254,1830393.3508985273,4324207.648850006,1767551.431382062,1666089.9917141646,1387458.6965044327,1454221.2569710864,1711850.1446787615,1498454.7339943345,1982157.4077071222,2361511.7978984476,3608766.7580747,2810658.0415434884,2154707.2320670425,1644522.561394839,1872750.008282966,2075565.0263766176,2182432.5147172604,2369114.891008348,2473070.601078692,2730473.527491898,2400490.2576766163,3159429.516319776,3093131.24259659,3556594.391141529,1389612.1990390387,1588859.7197178556,2007273.401832319,1359799.4995532318,1306902.3551839706,1621981.6641794504,2270858.991318885,2233441.603734947,2157212.533941175,2320290.5226592687,3386652.89109965,3005036.425572409,1448998.664879674,1635208.6863762964,2223885.3123590155,3162373.7048099567,3607124.965616819,3160642.7544948827,3312532.52187665,2679968.0453448077,1459408.969006661,1539060.065960411,2777162.0712028584,2674310.1970025385,2296013.3847167618,2215495.1606118167,2081232.8438570634,2049235.8290636563,2204100.3087359206,4195816.093529509,2517641.8345777066,1613911.432194562,1558286.1524770951,2220769.9645911003,1844975.9109089137,2059336.6841919296,1737104.7192662978,1850549.5672121346,3172608.4367061784,2926327.97076994,1777344.7388783582,1787810.3975998652,1771568.6665123757,1564792.5378813904,1617650.2930767527,1387224.5359187827,1357992.5134903758,2472552.9691260997,2493774.3419954143,1838142.5958626403,2197847.7184324856,1739689.6761121866,2214056.0248640846,2436624.900602363,2014512.5334878105,5009777.80434117,1506947.5886947047,1496273.0219315467,5123871.1516817715,4516291.109062599,3997373.103724609,1661648.0841377946,1460235.9795278003,2682049.785419882,2267258.184451365,2132318.8423697124,2331466.520658857,2487049.3444776447,1908113.5239422915,1713664.9797524428,2187115.847519746,2261968.4576284937,2265275.4865461164,2007624.4635815967,1877830.3969215932,1820935.5016707694,1438156.0960347746,1515472.7106954912,1482521.4536981531,1649728.3728371956,1784586.1973294728,2139847.401032937,1582691.1669097897,1963364.6838638189,1881124.264614229,2375975.064142574,2550619.4649141403,2842425.8570992257,2539917.8023966774,2560439.733715473,1807667.1684862464,2055971.2669610535,1952338.7336249426,2151951.9430137747,2452673.8254911443,1865274.350122902,1842437.1354761487,2069834.1538817952,2296729.636034174,2298814.9035166805,2619814.1237140642,2378701.5850085504,1224781.1198967597,1636870.1168046542,1832725.3980408555,1398466.684829015,1397508.7133245107,1396768.7105584557,1476343.7513094097,1595927.8886401916,2223041.6459483397,1731049.1436200403,1661871.3168783768,1906161.4578621648
AVAR,1346098.0623909098,1541454.5185582035,1379249.405617534,0.0,1465632.8986377758,1554850.8382501008,1094816.2871189164,1108757.2070197733,1742970.7794971394,1694509.0264687836,4323849.669663173,1743194.6265668639,1713640.581697705,1289522.024300061,1356284.5847667144,1758263.1547223884,1401983.4113828067,1874301.8025856575,2387023.213321271,3637044.5621959423,2747026.022188191,2065082.1555779264,1632681.7537842637,1813604.8994145908,1985039.5953435935,2092434.493863207,2285142.0619461653,2390779.2489311793,2639380.118724006,2304889.6384441303,3301014.785950221,3270157.8882162496,3710622.562261012,1265144.6695821483,1827550.4150460905,1910050.7358952558,1265338.1283921658,1274973.493971856,1578912.7133515226,2324400.1734192967,2235514.7391362726,2133519.000420567,2346251.425116726,3464135.333033633,3085702.0221807184,1512891.749291439,1593545.684755087,2237630.7516020243,3152565.487459503,3628370.1648436976,3220908.1704999325,3391731.5308516556,2665777.9102705,1251022.2320001663,1299120.2156766332,2848899.7784338603,2756284.135734763,2342768.529356428,2274011.629011064,1986378.6056235787,1954381.5908301722,2130410.3569135787,4278713.78846536,2751237.704106282,1604128.7400279997,1502753.1646352275,2266021.552395847,1755359.0757107278,2098248.39317842,1845352.0944548377,1839576.3619883535,3261217.39560056,3101152.2275948995,1811988.663930994,1769887.2079917772,1478844.3177409943,1361118.4584266953,1527257.2876976598,1189588.490194079,1291442.6568162218,2393878.3309259126,2557523.6082825507,1889105.2553616092,2149429.6186701967,1658655.6574895626,2102918.416150981,2346798.282979388,1938704.4187318084,5313590.276026772,1154662.1346185391,1234861.0389077154,5302548.44570636,4321604.526695114,3920420.900645249,1660724.721570312,1387127.4230705185,2588136.8029827042,2275630.682158232,2088234.5573423237,2358006.0402110848,2479082.101036302,2201351.449076729,2042540.021936232,2263113.84571352,2471698.2820167197,2267514.6363896406,2018800.3847614867,1800762.150353864,1847630.4836441572,1460381.1636552145,1543444.3562535816,1378201.0645643792,1642568.4850103983,1776302.3339222083,2195911.253297795,1507437.4526343502,1792655.3746713754,1887077.8390351108,2421826.171029128,2681490.0236125803,2829070.451493631,2549023.159523375,2547348.2816999713,1739051.578120289,2005538.8224047476,1979191.0135838713,2209243.0430343146,2448871.888561944,1873793.087305486,1752376.2808813148,1975973.0103637532,2236326.9265700816,2233099.4699040703,2605962.11006603,2354864.4298948236,1210892.3852038581,1725373.834105987,1722507.8319767055,1388621.287958141,1305800.264679751,1317974.9009696115,1492069.903840117,1826724.0464238254,2064863.9987471406,1711157.8311303547,1637627.2566970445,1872019.4637379912
AVBL,559417.7773996397,919191.1211271902,1431023.5010936132,1465632.8986377758,0.0,420534.2887022784,733697.1725961297,734254.4659269775,1478358.2348583422,1517477.7264643724,3269895.4149264637,882599.2051927514,830505.6434745145,479818.10873168614,550843.5485139674,979038.2731246114,616026.764911062,1059167.2741097375,1593121.9529950665,2786846.064859421,1934969.434298195,1172709.236213586,847712.1798585189,1083907.5001985978,1176683.9423638044,1224551.2974273777,1411315.762980674,1532264.906287143,1845054.3933456484,1501585.4097190893,2353612.8094274676,2211941.871524506,2776280.2606952004,679120.2071212905,1360229.0391220415,1681796.8866422789,466394.0737384562,799853.4595367367,1077148.9396336523,1413120.7280091671,1516166.9116173454,1256090.5379181951,1422164.1209918475,2660022.713399465,2105274.2501649554,579261.6982396262,817673.404888772,1376306.255218085,2389924.736715497,2904645.27490515,2445809.2646416277,2286368.3706787005,1812173.696925496,801742.8262438681,837675.3540384582,1845701.57760721,1907874.940724933,1356819.0319395044,1346819.5574462537,1186924.2932963,1154659.169825232,1296183.671524104,3516769.4014726253,2174671.9481102144,817578.2115483911,723382.725008354,1444202.2746602462,1136108.8705147402,1299937.6408155954,851673.4064979362,962457.0073515364,2072773.9463923515,1935087.9369620255,927226.5457103457,908792.3157611677,1324720.5972257874,1202672.8324144573,1321789.367490629,553755.725770225,728968.3937515165,1693193.419119333,1692230.7408471084,973909.4906037657,1275065.689828249,1213115.4836070884,1317525.0902710361,1476335.317296847,1079277.1332537348,4732941.901023164,928960.3887812434,942474.1062600662,4379456.72222584,3829149.474670158,3144057.2031424427,1203576.9251266166,656182.0401637242,2094141.553719157,1075274.140914287,960119.9592701186,1336393.031078355,1558900.0620994223,1647330.8650659572,1510322.4317400465,1468553.866079921,1542542.1219844946,1590863.9207077464,1394158.5365210806,974013.3374801008,1009294.9936993262,756625.8916512466,930474.1207357914,589608.8499281876,1073282.2200495075,1034485.2779591164,1458320.2857648362,849213.2270857645,1184531.9544075974,1108966.5653591696,1645983.9175843492,1958559.7571912734,2226765.2666458525,1488745.752027993,1528531.2249599313,859172.1327525681,1128965.8347608207,1142153.6322771693,1353803.7744262926,1743991.2770107226,1121580.9185614926,950720.7716507298,1176250.5893588136,1399017.3223044602,1390439.1834031364,1694663.8088047542,1499792.4669368123,739959.1352670847,1395410.144083101,1666785.0063448965,1034355.9675749098,523906.22816912096,534776.8151688422,843745.2721832386,1202436.8994255878,1613497.893115278,1070165.1323245838,1067145.7420172517,1100469.4315272118
AVBR,558726.2155579787,997524.2207283609,1513153.9392049175,1554850.8382501008,420534.2887022784,0.0,834000.9375806103,883412.5580180997,1475553.9297441533,1406667.7852132309,3321713.0552321253,783624.2606168492,773219.8189464766,432844.6447531964,503870.0845354775,933863.0425256877,569078.7926066199,1021865.5730401097,1547300.8650163729,2776531.676068332,1893199.2671015158,1069146.262910245,812490.8982368466,1100987.5976038354,1129563.0967186154,1218725.1303051012,1407905.4734783566,1517251.254658272,1800661.6166274396,1459810.01059434,2184038.579959887,2023075.08846761,2624955.85915708,665205.077581885,1382478.7256150355,1605928.0883045627,419159.9079348433,781813.3569111977,1077465.747162823,1325410.941226394,1447057.9258198,1212839.3859343068,1449559.1927092068,2499132.2140435944,2107167.768035085,605985.5090151848,712309.2497852198,1164652.2245950622,2280664.2057769033,2903374.2881015204,2438592.758082458,2336895.8571927478,1791355.2783372398,840583.0033072492,856970.9020217005,1678932.25774286,1649097.4848754208,1350813.9085310127,1392281.364029596,1139414.9438465445,1107149.8203754763,1197272.37164943,3339006.0322149615,2075412.6092961002,770056.7499905705,688405.4167362119,1363406.1553035588,1074816.0902371854,1298051.7416726314,797799.1554398655,935693.1652086092,2005101.7720718249,1808226.486985279,851663.3270907653,841633.6774946239,1332191.089451955,1285314.1198377912,1293452.0204142402,678802.4839457076,812174.4465083724,1625790.423987062,1761486.8427069343,1016591.9603783989,1197467.2032872238,1155599.731000508,1358579.6650402325,1512351.631775256,997592.713697279,4741788.395208866,969336.6372791672,1011426.712666978,4431375.954001323,3732652.1255881935,3162010.2387255696,1240783.1530217566,536195.7527169825,2094110.1499691003,1120201.3876273416,1039458.4813476041,1406693.22327983,1596677.3985627491,1600987.3226734968,1513404.390857574,1399714.053565952,1483066.764919101,1473835.9673574166,1307802.248076621,949950.8017963388,996253.3009313395,677182.3600796151,898834.161975549,542099.5004784318,1018355.6686950182,915630.1911232045,1347343.2162901314,822883.1423115078,1183762.8823315708,990111.4785232579,1560446.6042107644,1938410.6327348868,2234105.538023154,1461447.7798549184,1551290.8950465673,853099.3569629989,1122077.5262336296,972584.0727541051,1249685.6948651762,1710045.2877358678,1050614.1159369631,903211.4222009743,1128741.239909058,1379949.1314784156,1371697.707351141,1730681.1847145907,1514679.7392269454,747354.9798669224,1499290.7836547638,1636504.803172369,1010787.9917854536,481307.37337223993,490753.0619549723,813258.9767048386,1171804.7741246636,1561089.27943741,1011268.4474763412,1017858.563481302,949739.2742166164
AVDL,634060.5140439905,847181.4616141288,1272376.9011458082,1094816.2871189164,733697.1725961297,834000.9375806103,0.0,353186.99691964925,1494716.9888489884,1416365.045995757,3729747.832039456,953355.5214913129,947507.4784906359,504566.7867480131,571329.3472146667,1054229.934735646,632797.3672177745,1126417.451476908,1627345.353596391,2860555.9377586357,1958292.8768446154,1281343.69713525,947980.0697703438,1191183.0767452973,1196705.9325342698,1305919.444190652,1497581.8463137632,1602045.0208957444,1861290.322556612,1516345.308126101,2653777.2014235603,2607160.386970674,3113465.3713292084,625522.4525000444,1471538.533060099,1679054.3517739407,477758.69098438876,896471.0519977987,1207377.82848336,1654005.7374684494,1638404.4675781466,1348923.9364387237,1582206.4905494202,2727380.0674453536,2299859.2369135134,707835.5358745554,825708.262450465,1493532.7969565087,2438092.8415838894,3003226.855203699,2622141.2807721654,2601255.5313519277,1860847.8233549965,596771.8191890199,749709.9029523502,2065839.7172028555,2049694.9594493797,1538031.9182805992,1497590.0402283838,1198119.0065866837,1165853.8831156157,1356694.853605241,3731490.2896668883,2216261.9165735613,879297.2491232166,785657.0543230602,1548227.8107448197,1161083.5272191959,1426093.9544500113,1040295.8810379535,1041912.6113023403,2477582.896592606,2363218.578493234,1021769.182527068,992280.1260392604,1160452.6812562938,971846.1044364613,1217141.4608028098,473991.03900891833,585342.1539377678,1843220.181570265,1932405.9059431953,1184538.2093628678,1368345.745666006,1278540.452906533,1528962.6518651894,1597441.2902112615,1160440.1422393878,4945933.987141739,858426.678308122,878210.2192392717,4830083.516874292,3934724.429726608,3255727.625672479,1041188.0937212153,662283.525401185,2140617.220816919,1565992.242614783,1371309.3743137738,1563910.5539845896,1678174.8322977666,1609083.4668109417,1582492.7370645488,1557045.624561759,1818931.027721319,1557372.0328195032,1353605.4074269054,1020591.1558700975,1071660.41472304,750208.9060676597,894222.2550351653,598731.8215093412,1047047.462316612,1017278.6176630277,1459528.6069988743,814215.9242001217,1167157.1445422196,1127282.2119011604,1686119.3329370685,1995242.4912440034,2224835.7277786774,1746128.697271376,1775952.2030200413,948677.8746319169,1227587.7913399537,1263663.616835299,1527475.7819587945,1774387.0247646114,1177369.6767951301,964212.5220275394,1187445.3026491976,1450673.8689909535,1445516.0230424532,1817789.5733719307,1569100.4845987349,559979.3217521561,1208783.3104544661,1543403.4859522022,939809.1672635839,550544.5932295914,571950.8088940753,926452.0033869642,1298219.8044408413,1735981.5647915234,1122376.6466940662,1104195.6643547497,1206798.1258945551
AVDR,668916.2972549642,858040.1792149073,1289458.3669973267,1108757.2070197733,734254.4659269775,883412.5580180997,353186.99691964925,0.0,1432763.9083650708,1326683.4386359283,3659183.5173588325,1004503.0476684807,971725.5235619728,560693.9060232395,626814.3446214809,1101515.2131399957,687411.3700741221,1183975.2053762844,1642110.9348178988,2859630.7395716417,2014795.3377044108,1340557.7372462198,1013537.5961478036,1258280.0875021254,1250541.3424788672,1352143.8192791957,1550489.2228753336,1656139.0049463054,1916945.2239189746,1572016.8320919373,2669061.0425168313,2617938.8994108755,3103225.0417244933,746057.3242936542,1513949.8614235218,1746518.6088387233,533885.8102596154,993457.8890056971,1245018.2322332086,1694793.7938789888,1703502.6158841338,1386280.5925141845,1588006.227701017,2739817.282469279,2297440.5839337897,705377.7014680651,865977.4503858301,1530759.8724630175,2461484.178235922,2949165.7567492137,2592779.1971541997,2601407.216134521,1895980.1032341078,648030.4649350279,791878.5655938659,2093708.7084745546,2057779.0288416974,1531245.4871384103,1487054.5043368365,1254147.921139799,1222150.906346392,1404228.6575373155,3714036.2736791447,2242162.3300465676,945319.8704908584,820676.6848418929,1575075.1823872242,1189000.0875573577,1397700.3385083168,1040011.3481604799,1080796.6746346639,2461400.952773712,2344104.1114901956,1026619.0141471595,1007013.3411525812,1114700.909756859,1038090.0439096837,1298407.901169751,495520.7561436292,569571.4282870183,1767748.6591407757,1901351.2822828642,1194356.0049599812,1425434.783854694,1336904.0139182473,1521764.4715802632,1571483.0819254701,1214941.8125778798,4890232.670582353,822922.6719710884,840931.4491700528,4765060.853600876,3893611.486375592,3301174.9285442247,1062411.4661711925,705481.9501263183,2098911.1899017324,1619257.3329599297,1407948.3888255293,1540230.5882070432,1673900.5570775329,1636841.9769281219,1601073.452411477,1557415.9682711808,1752477.8320737365,1608237.627752926,1402642.992167098,1052378.042187346,1078531.7347094256,805825.9484701538,928352.9579741495,648931.729172715,1045657.7403024158,1055696.1680015961,1492865.4061076683,832472.2543251247,1159850.8833877237,1152802.428935719,1717084.3239154804,1983808.4708457638,2151758.709418453,1772364.2181940794,1771295.783230639,981477.7435787122,1249423.7915880773,1277605.647026545,1524603.2377625536,1742147.4579610329,1168775.9725066957,1016424.585424444,1243742.325879973,1490920.4821669392,1498389.4890212175,1809644.9821608462,1591977.793472637,619924.1243347457,1203392.0133706862,1544689.0167356897,986530.5713787309,614787.02187496,643516.826217525,1000467.4437084314,1379507.1086874118,1817221.3831318875,1212329.8365053744,1166327.031170828,1265778.3590851126
AVFL,1489392.5204410162,1561364.2474004154,1988756.78162254,1742970.7794971394,1478358.2348583422,1475553.9297441533,1494716.9888489884,1432763.9083650708,0.0,1666599.959628561,3632736.318276325,1590818.1703490163,1623177.3208463779,1412089.0917580503,1461855.9686362052,1944596.6910477995,1545401.90199371,1875536.8779680554,2345723.0019316883,3611961.0855662646,2794917.1339433566,1981704.2896056615,1824587.81572062,1845476.116728904,2032762.454218535,2183221.799084643,2368275.3028907455,2470573.6255661673,2638591.158403944,2369259.542830238,2992698.4748899373,3031134.0479840073,3493485.381438518,1570241.513224767,1975366.6022715485,1808191.4135345668,1408537.6049777772,1771151.4929460096,1846613.722243495,2328717.027386076,2054107.585692755,2091178.7702940297,2289610.111666276,3052709.267484247,2823070.953744787,1503153.924011456,1626958.3679252402,2111747.0315737417,2784366.921228175,3008476.8284013076,2872195.9309993316,3038390.5170369307,2626729.729858333,1237540.566637599,1314816.8037447222,2437784.4148360165,2394432.4423117405,2161408.3058495736,2090659.6773598446,2127778.72478153,2095781.7099881223,1982366.52995969,3781961.1205597823,2674355.7583366465,1798260.1431575848,1683272.9247833216,2038216.1114705969,1710018.9312196344,1720746.197712381,1589051.3533214468,1638897.771079235,2684429.993515225,2638019.0523471558,1641163.1419555491,1661249.4242771163,1411139.9597304445,1703290.3081158532,1804336.1355315042,1234411.4257188446,1182737.2733659614,1906151.504057937,1972510.1200363392,1695906.4761856908,2025313.0092593816,1835450.4573325927,1903712.5064021605,1966209.5285202477,1804850.3956713744,4674140.854770124,1423478.9976298683,1209908.4401973418,4908834.3144084,4037525.17394583,3899140.078881441,2018875.3700352088,1487903.4424862994,1790286.9445105433,2260116.289459613,2121506.73617373,2195894.3926549866,2302532.727892244,2412214.74341705,2238211.6851847293,1866058.033178156,2018450.3129448397,2430208.9627357144,2201689.5421805875,1799826.9321847055,1723351.6976602585,1619242.3352995575,1669737.0832762292,1522712.3067695985,1454584.3589267295,1834374.180261439,2159683.6979109715,1528412.1337528469,1443259.816924934,1902234.8579368105,2320022.6274886336,2358572.8396655144,2367314.594600419,2410090.430104718,2460028.874054411,1673084.3009835542,1912188.9579723692,1852436.3687026456,1862453.7361910834,1947789.0456411315,1618583.546752922,1875137.5305523695,2081456.750737749,2291413.121535742,2325778.8087051027,2572221.2719222433,2354836.323572952,1635140.0657797733,1940811.4005874745,2023566.9149519284,1838716.8141734877,1470922.2204847045,1482573.3105085345,1729929.2101201988,2073648.3408164068,2447104.0801297217,1860673.7804992045,1747798.6933245407,1718954.958119016
AVFR,1501085.0241152355,1415118.278777549,1830393.3508985273,1694509.0264687836,1517477.7264643724,1406667.7852132309,1416365.045995757,1326683.4386359283,1666599.959628561,0.0,3951114.5896615246,1716208.6865943803,1640126.4229495758,1431711.2856561043,1477421.9012172697,1855534.5649693953,1473402.5633779631,1844534.0340117633,2247846.187263883,3518458.4973709625,2765626.616483925,2075166.6976932166,1784331.3123432042,1957530.3298137668,2052081.284332662,2172830.905687003,2374945.491653876,2484013.83340098,2685611.015024313,2381623.1950106244,2915758.866693737,2805460.4862249563,3215881.0432361434,1526555.7574406127,1848996.6679142534,2335291.781832294,1408437.6394815631,1801924.809361568,1877578.3838202932,2264058.1589013543,2449509.4247694425,2112920.1200055396,2225342.24527045,3332198.387601207,2795887.923520589,1457042.6750284228,1659871.095072007,1888113.5101131115,2899969.28621497,3241068.0730201257,2592286.762971266,3149320.209820405,2617828.390782374,1254727.2460572775,1448782.1386305182,2527641.8763840985,2336905.5329427044,2268017.2138478854,2056336.937328509,2104848.512568637,2058575.644342641,2188274.213266709,3761651.9641704424,2529469.378912581,1783800.0288844767,1697276.5115682057,2070692.3315388737,1694863.9537135346,1996609.3087608193,1468808.4799823763,1866561.652262753,2846587.9686115263,2602402.9730762695,1669218.9646834054,1595748.1966234464,1070162.0910115824,1614199.3934878493,1879276.372457457,1262115.271680526,1087813.522997469,1465374.798133011,2064319.0955918143,1756770.1516950182,2214643.747415503,2014318.450966736,2168211.936891832,2202657.9594280585,1942694.4983839544,4412656.166480345,1165224.5757049697,1421676.258987354,4717169.845156168,3788940.2037619473,3951823.4874610147,1998960.5549457793,1439323.3955346246,2398205.1687588426,2323639.976469904,2153633.7176525285,2032142.331461996,2079522.7559889413,2204991.9533593426,2141975.0530744824,2068761.3968197103,1849527.5649569752,2059880.9824663252,1878097.024113574,1719146.1580766432,1543859.823163706,1503183.5251814513,1607722.1333776494,1464632.3686194785,1412281.5848393012,1687118.25015778,1973133.2613389606,1566599.4381708961,1853430.026380152,1777013.409706954,2258309.8701285454,2131048.3520764722,2409373.830919605,2423721.5009617326,2398654.170774555,1769637.4873637678,1991935.2856430449,1584632.5926881535,1891935.0691299515,2315162.1710749874,1733315.888865782,1860988.9673078177,2066008.8070880512,2265232.909505217,2298708.342026497,2543342.1811849508,2308455.92685134,1572531.9125980705,1806674.5768977841,1850432.8214433629,1853460.668060053,1473039.4647928996,1485242.5944072057,1676482.6321279176,2012181.7606977997,2318129.1756081553,1740424.0265542935,1611270.0351278642,1915814.9009991551
