,PHAL,PHAR,PHBL,PHBR,PHCL,PHCR,PHDL,PHDR,R1AL,R1AR,R2AL,R2AR,R3AL,R3AR,R4AL,R4AR,R5AL,R5AR,R6AL,R6AR,R7AL,R7AR,R8AL,R8AR,R9AL,R9AR,R1BL,R1BR,R2BL,R2BR,R3BL,R3BR,R4BL,R4BR,R5BL,R5BR,R6BL,R6BR,R7BL,R7BR,R8BL,R8BR,R9BL,R9BR,HOA,HOB,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,PVY,PVX,PVZ,PVV,PDC,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,CA02,CA03,CA04,CA05,CA06,CA07,CA08,CA09,PGA,DX1,DX2,DX3,DVE,DVF,EF1,EF2,EF3,AVG,PVPL,PVPR,PVT,LUAL,LUAR,PVQL,PVQR,PVNL,PVNR,AVL,ALNL,ALNR,PLNL,PLNR,PQR,PLML,PLMR,PVM,PVDL,PVDR,PDEL,PDER,PVR,AVKL,AVKR,DVA,DVB,DVC,PVWL,PVWR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,PVCL,PVCR,DA04,DA05,DA06,DA07,DA08,DA09,PDA,DB03,DB04,DB05,DB06,DB07,DD03,DD04,DD05,DD06,AS08,AS09,AS10,AS11,PDB,VA08,VA09,VA10,VA11,VA12,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD09,VD10,VD11,VD12,VD13,dBWML21,dBWMR21,dBWML22,dBWMR22,dBWML23,dBWMR23,dBWML24,dBWMR24,vBWML17,vBWMR18,vBWML19,vBWMR19,vBWML20,vBWMR20,vBWML21,vBWMR21,vBWML22,vBWMR22,vBWML23,vBWMR23,vBWMR24,cdlL,cdlR,polL,polR,dglR8,dglL7,dglR7,dglL6,dglR6,dglL5,dglR5,dglL4,dglR4,dglL3,dglR3,dglL2,dglR2,dglL1,dglR1,gecL,gecR,grtL,grtR,aobL,aobR,pobL,pobR,adp,dspL,dspR,dsrL,dsrR,vspL,vspR,vsrL,vsrR,ailL,ailR,pilL,pilR,intL,intR,sph
PHAL,0.0,0.0,10.0,10.0,19.0,19.0,11.0,11.0,9.0,9.0,15.0,15.0,22.0,22.0,16.0,16.0,14.0,14.0,15.0,15.0,11.0,11.0,16.0,16.0,13.0,13.0,10.0,10.0,12.0,12.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,16.0,15.0,14.0,14.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,15.0,14.0,18.0,11.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,10.0,10.0,15.0,10.0,10.0,9.0,9.0,9.0,16.0,16.0,16.0,8.0,6.0,6.0,15.0,10.0,10.0,22.0,22.0,8.0,8.0,9.0,26.0,26.0,13.0,13.0,28.0,19.0,19.0,9.0,11.0,11.0,9.0,9.0,12.0,9.0,9.0,26.0,14.0,17.0,10.0,10.0,13.0,13.0,13.0,13.0,9.0,9.0,18.0,18.0,33.0,33.0,33.0,33.0,33.0,33.0,19.0,25.0,25.0,25.0,25.0,25.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,16.0,15.0,32.0,32.0,32.0,32.0,32.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,19.0,19.0,19.0,20.0,21.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,17.0,17.0,9.0,9.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,11.0,11.0,9.0,9.0,42.0,42.0,43.0,43.0,23.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,9.0,9.0,9.0,9.0,17.0,17.0,19.0
PHAR,0.0,0.0,10.0,10.0,19.0,19.0,11.0,11.0,9.0,9.0,15.0,15.0,22.0,22.0,16.0,16.0,14.0,14.0,15.0,15.0,11.0,11.0,16.0,16.0,13.0,13.0,10.0,10.0,12.0,12.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,16.0,15.0,14.0,14.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,15.0,14.0,18.0,11.0,12.0,11.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,10.0,10.0,15.0,10.0,10.0,9.0,9.0,9.0,16.0,16.0,16.0,8.0,6.0,6.0,15.0,10.0,10.0,22.0,22.0,8.0,8.0,9.0,26.0,26.0,13.0,13.0,28.0,19.0,19.0,9.0,11.0,11.0,9.0,9.0,12.0,9.0,9.0,26.0,14.0,17.0,10.0,10.0,13.0,13.0,13.0,13.0,9.0,9.0,18.0,18.0,33.0,33.0,33.0,33.0,33.0,33.0,19.0,25.0,25.0,25.0,25.0,25.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,16.0,15.0,32.0,32.0,32.0,32.0,32.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,19.0,19.0,19.0,20.0,21.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,17.0,17.0,9.0,9.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,11.0,11.0,9.0,9.0,42.0,42.0,43.0,43.0,23.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,9.0,9.0,9.0,9.0,17.0,17.0,19.0
PHBL,10.0,10.0,0.0,0.0,15.0,15.0,11.0,11.0,9.0,9.0,17.0,17.0,22.0,22.0,16.0,16.0,14.0,14.0,13.0,13.0,11.0,11.0,14.0,14.0,11.0,11.0,10.0,10.0,14.0,14.0,17.0,17.0,15.0,15.0,15.0,15.0,13.0,13.0,14.0,14.0,13.0,13.0,15.0,15.0,18.0,17.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,14.0,14.0,12.0,12.0,15.0,14.0,14.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,16.0,16.0,16.0,13.0,13.0,13.0,16.0,16.0,14.0,14.0,14.0,11.0,14.0,14.0,15.0,9.0,9.0,16.0,16.0,16.0,12.0,8.0,8.0,15.0,12.0,12.0,24.0,24.0,10.0,10.0,11.0,28.0,28.0,13.0,13.0,26.0,19.0,19.0,11.0,13.0,13.0,11.0,11.0,10.0,11.0,11.0,26.0,14.0,15.0,12.0,12.0,13.0,13.0,13.0,13.0,9.0,9.0,24.0,24.0,31.0,31.0,31.0,31.0,31.0,31.0,21.0,25.0,25.0,25.0,25.0,25.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,16.0,15.0,26.0,26.0,26.0,26.0,26.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,21.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,19.0,19.0,11.0,11.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,13.0,13.0,11.0,11.0,40.0,40.0,41.0,41.0,27.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,9.0,9.0,11.0,11.0,19.0,19.0,21.0
PHBR,10.0,10.0,0.0,0.0,15.0,15.0,11.0,11.0,9.0,9.0,17.0,17.0,22.0,22.0,16.0,16.0,14.0,14.0,13.0,13.0,11.0,11.0,14.0,14.0,11.0,11.0,10.0,10.0,14.0,14.0,17.0,17.0,15.0,15.0,15.0,15.0,13.0,13.0,14.0,14.0,13.0,13.0,15.0,15.0,18.0,17.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,14.0,14.0,12.0,12.0,15.0,14.0,14.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,16.0,16.0,16.0,13.0,13.0,13.0,16.0,16.0,14.0,14.0,14.0,11.0,14.0,14.0,15.0,9.0,9.0,16.0,16.0,16.0,12.0,8.0,8.0,15.0,12.0,12.0,24.0,24.0,10.0,10.0,11.0,28.0,28.0,13.0,13.0,26.0,19.0,19.0,11.0,13.0,13.0,11.0,11.0,10.0,11.0,11.0,26.0,14.0,15.0,12.0,12.0,13.0,13.0,13.0,13.0,9.0,9.0,24.0,24.0,31.0,31.0,31.0,31.0,31.0,31.0,21.0,25.0,25.0,25.0,25.0,25.0,15.0,15.0,15.0,17.0,15.0,15.0,15.0,16.0,15.0,26.0,26.0,26.0,26.0,26.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,20.0,21.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,19.0,19.0,11.0,11.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,13.0,13.0,11.0,11.0,40.0,40.0,41.0,41.0,27.0,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,9.0,9.0,11.0,11.0,19.0,19.0,21.0
PHCL,19.0,19.0,15.0,15.0,0.0,0.0,14.0,14.0,14.0,14.0,18.0,18.0,23.0,23.0,17.0,17.0,15.0,15.0,18.0,18.0,12.0,12.0,19.0,19.0,12.0,12.0,13.0,13.0,17.0,17.0,20.0,20.0,18.0,18.0,18.0,18.0,16.0,16.0,17.0,17.0,16.0,16.0,18.0,18.0,19.0,20.0,13.0,13.0,15.0,15.0,14.0,14.0,14.0,14.0,21.0,21.0,15.0,15.0,18.0,11.0,15.0,18.0,15.0,16.0,16.0,16.0,16.0,18.0,18.0,21.0,21.0,19.0,16.0,16.0,16.0,19.0,19.0,17.0,17.0,17.0,14.0,15.0,15.0,16.0,12.0,12.0,19.0,19.0,19.0,19.0,17.0,17.0,26.0,15.0,15.0,25.0,25.0,13.0,13.0,14.0,27.0,27.0,16.0,16.0,25.0,22.0,22.0,14.0,12.0,12.0,14.0,14.0,13.0,14.0,14.0,19.0,13.0,18.0,15.0,15.0,16.0,16.0,16.0,16.0,12.0,12.0,23.0,23.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,24.0,24.0,24.0,24.0,24.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,19.0,18.0,29.0,29.0,29.0,29.0,29.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,21.0,22.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,18.0,18.0,14.0,14.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,16.0,16.0,14.0,14.0,47.0,47.0,44.0,44.0,30.0,28.0,28.0,22.0,22.0,30.0,30.0,22.0,22.0,16.0,16.0,14.0,14.0,18.0,18.0,24.0
PHCR,19.0,19.0,15.0,15.0,0.0,0.0,14.0,14.0,14.0,14.0,18.0,18.0,23.0,23.0,17.0,17.0,15.0,15.0,18.0,18.0,12.0,12.0,19.0,19.0,12.0,12.0,13.0,13.0,17.0,17.0,20.0,20.0,18.0,18.0,18.0,18.0,16.0,16.0,17.0,17.0,16.0,16.0,18.0,18.0,19.0,20.0,13.0,13.0,15.0,15.0,14.0,14.0,14.0,14.0,21.0,21.0,15.0,15.0,18.0,11.0,15.0,18.0,15.0,16.0,16.0,16.0,16.0,18.0,18.0,21.0,21.0,19.0,16.0,16.0,16.0,19.0,19.0,17.0,17.0,17.0,14.0,15.0,15.0,16.0,12.0,12.0,19.0,19.0,19.0,19.0,17.0,17.0,26.0,15.0,15.0,25.0,25.0,13.0,13.0,14.0,27.0,27.0,16.0,16.0,25.0,22.0,22.0,14.0,12.0,12.0,14.0,14.0,13.0,14.0,14.0,19.0,13.0,18.0,15.0,15.0,16.0,16.0,16.0,16.0,12.0,12.0,23.0,23.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,24.0,24.0,24.0,24.0,24.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,19.0,18.0,29.0,29.0,29.0,29.0,29.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,21.0,22.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,18.0,18.0,14.0,14.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,16.0,16.0,14.0,14.0,47.0,47.0,44.0,44.0,30.0,28.0,28.0,22.0,22.0,30.0,30.0,22.0,22.0,16.0,16.0,14.0,14.0,18.0,18.0,24.0
PHDL,11.0,11.0,11.0,11.0,14.0,14.0,0.0,0.0,4.0,4.0,12.0,12.0,17.0,17.0,11.0,11.0,9.0,9.0,12.0,12.0,6.0,6.0,11.0,11.0,10.0,10.0,3.0,3.0,7.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,9.0,10.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,11.0,11.0,5.0,5.0,12.0,11.0,11.0,10.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,11.0,11.0,9.0,6.0,6.0,6.0,9.0,9.0,7.0,7.0,7.0,10.0,11.0,11.0,10.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,16.0,9.0,9.0,19.0,19.0,3.0,3.0,4.0,21.0,21.0,8.0,8.0,21.0,18.0,18.0,4.0,6.0,6.0,4.0,4.0,9.0,4.0,4.0,21.0,7.0,14.0,5.0,5.0,6.0,6.0,6.0,6.0,2.0,2.0,17.0,17.0,28.0,28.0,28.0,28.0,28.0,28.0,14.0,22.0,22.0,22.0,22.0,22.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,25.0,25.0,25.0,25.0,25.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,12.0,12.0,12.0,13.0,14.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,12.0,12.0,4.0,4.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,6.0,6.0,4.0,4.0,37.0,37.0,38.0,38.0,20.0,18.0,18.0,16.0,16.0,20.0,20.0,16.0,16.0,8.0,8.0,4.0,4.0,12.0,12.0,14.0
PHDR,11.0,11.0,11.0,11.0,14.0,14.0,0.0,0.0,4.0,4.0,12.0,12.0,17.0,17.0,11.0,11.0,9.0,9.0,12.0,12.0,6.0,6.0,11.0,11.0,10.0,10.0,3.0,3.0,7.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,9.0,10.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,11.0,11.0,5.0,5.0,12.0,11.0,11.0,10.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,11.0,11.0,9.0,6.0,6.0,6.0,9.0,9.0,7.0,7.0,7.0,10.0,11.0,11.0,10.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,16.0,9.0,9.0,19.0,19.0,3.0,3.0,4.0,21.0,21.0,8.0,8.0,21.0,18.0,18.0,4.0,6.0,6.0,4.0,4.0,9.0,4.0,4.0,21.0,7.0,14.0,5.0,5.0,6.0,6.0,6.0,6.0,2.0,2.0,17.0,17.0,28.0,28.0,28.0,28.0,28.0,28.0,14.0,22.0,22.0,22.0,22.0,22.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,25.0,25.0,25.0,25.0,25.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,12.0,12.0,12.0,13.0,14.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,12.0,12.0,4.0,4.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,6.0,6.0,4.0,4.0,37.0,37.0,38.0,38.0,20.0,18.0,18.0,16.0,16.0,20.0,20.0,16.0,16.0,8.0,8.0,4.0,4.0,12.0,12.0,14.0
R1AL,9.0,9.0,9.0,9.0,14.0,14.0,4.0,4.0,0.0,0.0,8.0,8.0,15.0,15.0,7.0,7.0,5.0,5.0,8.0,8.0,2.0,2.0,9.0,9.0,8.0,8.0,3.0,3.0,7.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,11.0,10.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,9.0,9.0,5.0,5.0,10.0,11.0,11.0,10.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,11.0,11.0,9.0,6.0,6.0,6.0,9.0,9.0,7.0,7.0,7.0,10.0,11.0,11.0,10.0,2.0,2.0,9.0,9.0,9.0,7.0,7.0,7.0,14.0,7.0,7.0,19.0,19.0,3.0,3.0,4.0,21.0,21.0,8.0,8.0,21.0,18.0,18.0,4.0,6.0,6.0,4.0,4.0,9.0,4.0,4.0,21.0,7.0,14.0,5.0,5.0,6.0,6.0,6.0,6.0,2.0,2.0,17.0,17.0,28.0,28.0,28.0,28.0,28.0,28.0,12.0,22.0,22.0,22.0,22.0,22.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,6.0,23.0,23.0,23.0,23.0,23.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,12.0,12.0,12.0,13.0,14.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,12.0,12.0,4.0,4.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,6.0,4.0,4.0,35.0,35.0,36.0,36.0,20.0,18.0,18.0,16.0,16.0,20.0,20.0,16.0,16.0,8.0,8.0,4.0,4.0,12.0,12.0,14.0
R1AR,9.0,9.0,9.0,9.0,14.0,14.0,4.0,4.0,0.0,0.0,8.0,8.0,15.0,15.0,7.0,7.0,5.0,5.0,8.0,8.0,2.0,2.0,9.0,9.0,8.0,8.0,3.0,3.0,7.0,7.0,10.0,10.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,11.0,10.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,9.0,9.0,5.0,5.0,10.0,11.0,11.0,10.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,11.0,11.0,9.0,6.0,6.0,6.0,9.0,9.0,7.0,7.0,7.0,10.0,11.0,11.0,10.0,2.0,2.0,9.0,9.0,9.0,7.0,7.0,7.0,14.0,7.0,7.0,19.0,19.0,3.0,3.0,4.0,21.0,21.0,8.0,8.0,21.0,18.0,18.0,4.0,6.0,6.0,4.0,4.0,9.0,4.0,4.0,21.0,7.0,14.0,5.0,5.0,6.0,6.0,6.0,6.0,2.0,2.0,17.0,17.0,28.0,28.0,28.0,28.0,28.0,28.0,12.0,22.0,22.0,22.0,22.0,22.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0,6.0,23.0,23.0,23.0,23.0,23.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,12.0,12.0,12.0,13.0,14.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,12.0,12.0,4.0,4.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,6.0,4.0,4.0,35.0,35.0,36.0,36.0,20.0,18.0,18.0,16.0,16.0,20.0,20.0,16.0,16.0,8.0,8.0,4.0,4.0,12.0,12.0,14.0
