,pre,post,pixels
0,ADAL,ADAR,718
1,ADAL,ADEL,9581
2,ADAL,ADER,263
3,ADAL,AIML,258
4,ADAL,ALNL,314
5,ADAL,AVFL,2404
6,ADAL,AVFR,1010
7,ADAL,AVHR,2846
8,ADAL,AVJR,4595
9,ADAL,AVM,114
10,ADAL,BDUL,3295
11,ADAL,PVNL,2790
12,ADAL,PVNR,370
13,ADAL,PVPL,2427
14,ADAL,PVQL,596
15,ADAL,PVR,616
16,ADAL,RICL,14366
17,ADAL,RICR,9787
18,ADAL,RID,3811
19,ADAL,RIFL,1135
20,ADAL,RIPL,3530
21,ADAL,URBL,4178
22,ADAL,VB01,5268
23,ADAR,ADEL,91
24,ADAR,ADER,6139
25,ADAR,AVFL,84
26,ADAR,AVHL,1030
27,ADAR,AVJL,1567
28,ADAR,AVKL,1438
29,ADAR,BDUR,122
30,ADAR,PLNL,124
31,ADAR,PVNR,61
32,ADAR,PVPR,1044
33,ADAR,PVQR,44
34,ADAR,PVR,2215
35,ADAR,RICL,10490
36,ADAR,RICR,6106
37,ADAR,RIFR,3331
38,ADAR,RIPR,6711
39,ADAR,RIR,35
40,ADAR,URBR,2263
41,ADEL,ADER,37158
42,ADEL,AINL,3652
43,ADEL,AINR,789
44,ADEL,ALA,1688
45,ADEL,ALNL,9707
46,ADEL,AVFL,739
47,ADEL,AVFR,516
48,ADEL,AVHL,1765
49,ADEL,AVKL,73
50,ADEL,AVKR,3240
51,ADEL,AVL,1641
52,ADEL,BDUL,6983
53,ADEL,PVNL,1130
54,ADEL,PVR,1584
55,ADEL,RIFL,2681
56,ADEL,RIGL,7905
57,ADEL,RIGR,8857
58,ADEL,RIR,37
59,ADEL,RMER,11842
60,ADEL,URBL,6655
61,ADEL,VB01,3531
62,ADEL,VB02,594
63,ADER,AIMR,130
64,ADER,AINR,9012
65,ADER,ALA,4034
66,ADER,ALNR,15680
67,ADER,AVHR,902
68,ADER,AVJR,3747
69,ADER,AVKL,1473
70,ADER,AVKR,198
71,ADER,AVL,1183
72,ADER,BDUR,4708
73,ADER,DVC,213
74,ADER,PVNL,539
75,ADER,PVNR,1431
