,pre,post,sections
0,ADAL,ADAR,4
1,ADAL,ADEL,95
2,ADAL,ADER,5
3,ADAL,AIML,2
4,ADAL,ALNL,4
5,ADAL,AVFL,25
6,ADAL,AVFR,15
7,ADAL,AVHR,46
8,ADAL,AVJR,20
9,ADAL,AVM,4
10,ADAL,BDUL,57
11,ADAL,PVNL,49
12,ADAL,PVNR,2
13,ADAL,PVPL,25
14,ADAL,PVQL,7
15,ADAL,PVR,2
16,ADAL,RICL,47
17,ADAL,RICR,40
18,ADAL,RID,22
19,ADAL,RIFL,13
20,ADAL,RIPL,13
21,ADAL,URBL,17
22,ADAL,VB01,36
23,ADAR,ADEL,1
24,ADAR,ADER,59
25,ADAR,AVFL,1
26,ADAR,AVHL,20
27,ADAR,AVJL,9
28,ADAR,AVKL,22
29,ADAR,BDUR,3
30,ADAR,PLNL,2
31,ADAR,PVNR,1
32,ADAR,PVPR,12
33,ADAR,PVQR,1
34,ADAR,PVR,29
35,ADAR,RICL,73
36,ADAR,RICR,30
37,ADAR,RIFR,21
38,ADAR,RIPR,12
39,ADAR,RIR,2
40,ADAR,URBR,16
41,ADEL,ADER,99
42,ADEL,AINL,32
43,ADEL,AINR,2
44,ADEL,ALA,6
45,ADEL,ALNL,38
46,ADEL,AVFL,9
47,ADEL,AVFR,11
48,ADEL,AVHL,11
49,ADEL,AVKL,1
50,ADEL,AVKR,23
51,ADEL,AVL,12
52,ADEL,BDUL,49
53,ADEL,PVNL,15
54,ADEL,PVR,10
55,ADEL,RIFL,7
56,ADEL,RIGL,38
57,ADEL,RIGR,37
58,ADEL,RIR,3
59,ADEL,RMER,49
60,ADEL,URBL,19
61,ADEL,VB01,43
62,ADEL,VB02,9
63,ADER,AIMR,2
64,ADER,AINR,51
65,ADER,ALA,10
66,ADER,ALNR,50
67,ADER,AVHR,9
68,ADER,AVJR,31
69,ADER,AVKL,14
70,ADER,AVKR,3
71,ADER,AVL,10
72,ADER,BDUR,14
73,ADER,DVC,4
74,ADER,PVNL,7
75,ADER,PVNR,5
76,ADER,PVR,13
77,ADER,RIFR,10
78,ADER,RIGL,53
79,ADER,RIGR,21
80,ADER,RIR,15
81,ADER,RMEL,22
82,ADER,URBR,20
83,ADER,VB01,28
84,ADFL,ADAL,10
85,ADFL,AFDL,44
86,ADFL,AIML,14
87,ADFL,AQR,3
88,ADFL,ASEL,23
89,ADFL,ASER,2
90,ADFL,ASGL,9
91,ADFL,AUAL,88
92,ADFL,AUAR,1
93,ADFL,AVHR,26
94,ADFL,AWAL,97
95,ADFL,BAGL,1
96,ADFL,OLQVL,4
97,ADFL,PVPR,3
98,ADFL,RID,6
