,AS10,AS11,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVFL,AVFR,AVG,AVHL,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CA04,CA05,CA06,CA07,CA08,CA09,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,DA07,DA08,DA09,DB05,DB06,DB07,DD06,DVA,DVB,DVC,DVE,DVF,DX1,DX2,DX3,EF1,EF2,EF3,HOA,HOB,LUAL,LUAR,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,PDA,PDB,PDC,PDEL,PDER,PGA,PHAL,PHAR,PHBL,PHBR,PHCL,PHCR,PHDL,PHDR,PQR,PVCL,PVCR,PVDL,PVDR,PVNL,PVNR,PVQL,PVQR,PVR,PVPL,PVT,PVPR,PVV,PVWL,PVWR,PVX,PVY,PVZ,R1AL,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,VA10,VA11,VA12,VB10,VB11,VB06,VB07,VB08,VB09,VD11,VD12,VD13
AS10,,,14998.1568042244,11105.1245218866,6828.37611565586,6538.46279986726,2991.64928064053,205.261826325928,,,,,,,,1168.02909372262,2635.44767711258,,,,,0,0,8490.18959428817,,,,,,,395.335676449765,12365.6543992535,16155.582829382,9021.34589276202,,,,6300.67209021228,27058.1284378343,,8430.1903281734,,,,,,,,,,,,,,,,,,,,,,,,3280.23299395831,7143.72980024095,,,,,,,9414.13287041336,,,,,,1196.73024784942,0,,,4465.19776105258,,4861.53087140884,7253.11287294394,,,,1670.90052126774,773.492609534323,150.13668492372,138.456730196441,,20712.9039046928,,11817.9971297511,,5365.16135530984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2561.99051344051,1873.12725528938,4113.55240070425,,,15354.2893716536,,,,10704.1646371032,,0
AS11,,1730.91577455444,56606.4442400348,20026.7333788443,,,15615.532633367,17810.2756719291,5351.35526155726,26356.3118195237,,,,,,,,,210.790703576381,,,0,0,0,,,,,,,32915.0152983975,2177.64154759502,39481.676383821,,5518.49449132993,1245.79063773171,,,,3881.01321221165,,,,,,,,,8875.2904326624,10826.3689763813,13080.1574942758,9915.49335064805,,2597.85953360559,,,,,,,,,10981.7872650635,57323.8253564811,,,2336.71756525626,1406.96356837084,,,,1091.26114043925,33265.0749985828,,,12607.8551352602,2733.35345563973,,0,2477.7145864955,13621.8385729813,,,,,,,,22227.2405884361,2346.08695307781,757.433646748993,23253.2972682278,14367.6124334631,,18273.0226280417,,,,,1006.41989829973,,,1007.41989829973,,,29128.8769249438,13310.3648714993,,18399.8546653993,3849.25837061825,20893.2042421527,,1639.22511624054,16503.4791543116,35878.1910603862,12327.4449370171,,3467.40578947998,10045.6654057071,21910.5397058132,15421.3803166945,,,,,,,,,,,,,,,69.4698468798193,15099.5887080241,11398.3656822368,2854.91928136482,,996.998986537176,,,871.351466151206,0,5871.05134185648,0
AVAL,14998.1568042244,56606.4442400348,584.174556222965,80493.2948535745,3748.90995555458,2480.95236486232,112662.140282643,121727.682367133,4485.7363171182,20974.7914136047,160.066118035827,,,,,7626.95011976796,,,,,,0,0,0,,,,,,,,,5808.34607809606,28407.5833381788,19116.7357649439,11550.1227990689,,,38478.2172611204,3966.68818521281,,,,,,,,,,,,92.6617222047533,,13093.4865579907,,,11772.4981671663,,,,,,857.247266986252,18993.8578632238,,6690.84375333276,,28337.3018306237,12145.333946341,,,,,,,16529.9742244135,24615.8878729821,8598.31583875558,2680.42762270241,2915.10001633758,5979.97502286345,4757.07044445611,,,,207.519452489384,,55.4196544227137,24016.1732962138,1798.28372894928,1894.61866327198,23262.6709656578,41085.2815907024,,111899.770896134,,19760.3879954977,,,,,44535.8998582186,22147.6694524326,,10813.3668227432,,,,,1190.2403560337,3266.50674445238,,8847.32184670973,,2735.86736730889,,7073.48828657446,,,495.361350462589,3505.70346116383,,,,,,1894.67402119698,,,,,,,,,46473.5922501649,80718.3433147075,62496.7681037836,3164.47649453004,37948.4253923461,102248.181466641,,,4971.53370745792,0,,181.049321054468
AVAR,11105.1245218866,20026.7333788443,80493.2948535745,,6288.40579603875,,105279.318922889,76224.0021010997,20918.2596090447,46753.1362830654,,,,,,,,,,,,0,0,1701.28310347971,,,,,,,,,,45294.1891152003,38598.7250376206,15735.7055131158,,,,,,,,,,,,,,,,,,58599.5060467167,37761.4992335715,,,,,,,,,,,,,1339.65101146582,,,,,,,,34714.1353132254,118769.262498889,138500.545790023,23305.4470566278,44855.8517102204,3149.26661959047,,,,,,,,11110.5627625107,1067.34141298525,28280.5234019911,,2626.43924142082,,10815.2553771479,,10505.5204308425,,,,,19075.7612484054,7860.3783563955,,97.0224526157683,,,,,,438.493897106646,,10304.2228786326,,,,10604.5111466877,,,5410.96651410083,5942.15137717245,,,,,,927.073405119952,,,,,,,,,80154.0622310339,30243.7149592335,29824.6620343296,389.183175615376,14119.3007946957,41576.5613441128,,,,0,11038.9410678819,3945.3395713868
AVBL,6828.37611565586,,3748.90995555458,6288.40579603875,,49936.9160629389,2153.78509804346,,10781.5678075253,16924.2446586949,15026.8021411732,,166.497922709515,,,,,891.241247434588,,,,101.444812923447,0,0,,,,,,,336.237954431865,,229.362350983099,9782.43127478442,,,,,10585.9058946386,12368.8905204139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34224.792664999,32781.8945671379,,,21009.7066679971,,3579.73251576685,0,12797.0761984941,14830.1688312295,1172.51394298619,,,,,,222.627649947377,112.56559831845,,1467.43539364445,57207.3304589803,30511.8059601892,,,,1247.26867542626,36891.6736967335,20127.0535013805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.091315765429,,,,23755.3338041185,22219.4748448778,,,,5193.34569073732,,0
AVBR,6538.46279986726,,2480.95236486232,,49936.9160629389,,,,,445.483111985752,43088.9149264406,,,,,,,,,,,0,0,0,,,,,,,,,,3388.99011984921,,,,,12200.0578924543,2164.9709810095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13506.5058349056,8704.06129242557,,,162.459947838984,,,0,0,23794.9978197914,10102.3127791872,,,,,,,36351.0345968114,,,105533.896523896,2981.46728979811,,,,,35094.2685852543,19449.1448308603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28194.9596961863,14419.7046865553,,,,0,,0
AVDL,2991.64928064053,15615.532633367,112662.140282643,105279.318922889,2153.78509804346,,,66780.1777281289,11160.7550726363,30527.3684470018,,,,,,,,,,,,0,0,0,,,,,,,,,,,2113.68534139952,,,,,,,,,,,,,,,,,,,299.423238903958,75.2633983244886,,,,,,,,,,,,,1127.87098651449,,,,,,,,29096.226340423,3537.38190845726,5444.15289566602,13110.1624853941,8496.67135069778,9490.87851198184,,,,,,,102.718814510194,1777.44544043817,1543.43230772729,9865.02777194422,1799.31106985469,9485.13547807158,,311.23478783151,,1340.29961974954,,,,,,,,,,,,,,,,,,,,,,,966.686162116008,4141.14075240696,,,,,,,,,,,,,,84.951977774489,17066.0711377318,,2157.28856825099,,,6692.64458501337,,,,117.696442073374,,0
AVDR,205.261826325928,17810.2756719291,121727.682367133,76224.0021010997,,,66780.1777281289,281.039633760547,26383.2792177154,34865.6922723955,,,,,,,,,,,,0,0,0,,,,,,,,,,69.0015840263123,,,,,,,,,,,,,,,,,321.060934206254,,,9021.48059644501,9337.79959560937,,,,,,,,,,,,,,,,,,,,,42450.5419451642,311.877706292273,1107.23544058113,13704.3949050662,13473.414269385,12982.0477745576,,,,515.861402950213,,,,3230.68135044599,181.693346391771,411.684599852269,10197.194796465,30506.2230230783,,11149.1584732999,,8649.52714972918,,,,,167.304352101208,,,1666.22274161151,,,,,,,,1862.72439112449,,,1405.00360253171,1661.98818929083,,,4084.4286383158,,,,,,,6475.72975992312,,,,,,,,,2366.98496963702,372.69568424362,,,,1579.27607302011,,,,0,,0
AVFL,,5351.35526155726,4485.7363171182,20918.2596090447,10781.5678075253,,11160.7550726363,26383.2792177154,2440.69553489667,36159.7668039483,55082.9777197291,,,,,,,7137.60127633287,,,,0,0,4984.88562635184,,,,,,,,,,2484.9556816703,,46521.2906917977,,,,,5489.84520961958,,,,,,,,8654.67514742918,36746.2197292548,14819.4747563442,1049.84201668655,,,39825.1211905944,,6681.62329510987,,,,,,20818.4105883111,,,,,2534.22199160051,34473.204792111,,,14438.4663489088,3524.57946537429,,,41179.4410401804,2342.56964531081,52051.1090090543,32052.7684661025,68274.7772619106,29950.9092170048,9611.26842130027,,,256.800208571519,97115.9648179106,,3738.95964388888,19657.3125225126,35558.7860639226,27858.6990682993,42558.0768831589,67553.1360915009,,11313.968901362,,157108.605464601,,,,,5885.01361865908,575.554403458539,518.212950202056,45148.5272725708,,,,,,,,11828.0259215017,,,3438.97584552404,26818.3608164903,,,3789.65713218902,29425.8810711333,312.250800769559,38406.9533884346,,,,24161.9621190544,34939.8122434125,954.152337926384,,,,,,,,20888.6720919874,38402.7990002153,138.314675877636,,,,,92.5011710570639,0,313.861016840042,0
AVFR,,26356.3118195237,20974.7914136047,46753.1362830654,16924.2446586949,445.483111985752,30527.3684470018,34865.6922723955,36159.7668039483,,,,,,,,,4045.23045931897,29551.2553569991,5853.27830824445,,0,0,1118.41458044838,,,,,,,5726.95249588372,,,,11623.4564915626,,,,,,,,,,,10535.6557545088,,,,10483.0276747218,19087.4976653072,,,46611.560971028,6554.90100618579,783.922424115484,,,,,,,291.926635628758,14555.7230037994,,,,56365.867611282,,838.018432478155,,6618.53922101016,4383.41171675044,,12270.176127362,83697.0883064484,61241.5673256623,910.848416194866,38574.453516994,17822.5806183983,28810.4599881392,32527.3268789026,4964.68690035303,,,7215.27522304123,,21088.6794976453,42082.6996311076,51588.8356449532,26923.5907226756,141781.493417009,103713.202773183,3371.81172520889,,,11594.9781389669,,,,,1454.01281892116,5819.12907629291,14532.2057466207,10852.0623042034,1924.65016019159,24950.4083722674,,1947.89294498053,2301.71601637734,26570.0783472935,,38571.7752333802,,4129.57679014251,2110.43319399221,669.112157535907,,18132.4455896602,21042.0401344417,15878.2971440335,,,,,11420.4845109931,,,,,,1606.41144644803,,,,961.079138748851,24838.5946795444,25763.2568860132,,,,,,,0,10589.7629860641,2514.24175770923
AVG,,,160.066118035827,,15026.8021411732,43088.9149264406,,,55082.9777197291,,6593.37990471263,49178.7837864016,58796.4825915145,6424.08764956422,4104.79266861342,,,20179.9081794713,,,,94752.7277155306,0,2315.17313954789,,,,2293.51591730458,285.614890225399,,6211.511835268,4265.28321439596,2214.56930729182,,,80810.803767866,,,,,137648.476606432,31381.6851458425,13659.7675547108,136176.856913423,,,,1010.6038219017,23108.1255816886,6938.27102244543,6424.19402881127,240665.570066753,,,6012.45324639654,68476.3053385927,63169.9049399333,113113.446940039,,,,263690.154243978,79630.9082539749,,,,1167.92096205286,2903.16048427075,191508.586636703,41652.0376216521,19064.248606578,197942.347967342,107354.513749558,,,19570.9771065771,,42670.9315137321,0,0,41465.8638619083,86615.1676145728,10507.0794129473,108050.004527098,,44818.5178284633,155284.090916255,194655.213047355,22949.9015066191,,412.378868014415,104577.320372574,32094.1724344492,,,,103537.336732679,28877.2179511448,6437.72946832997,,,,,9171.66384642557,12580.5871886144,,,,,,,,5432.63258132198,,,417.971634318837,4168.03142916803,,,3716.9984682611,5932.80159022057,113.809049821812,,,,,3781.19816639232,4405.88985500438,,,,,2235.81681463487,12572.2323372782,1837.8779732272,,,,,,,,,,0,,117545.588638704
