,pre,num_post_types
0,AS11,16
1,AVAL,40
2,AVAR,45
3,AVBL,9
4,AVBR,10
5,AVDL,10
6,AVDR,12
7,AVFL,28
8,AVFR,29
9,AVG,22
10,AVHR,2
11,AVJL,7
12,AVJR,7
13,AVKL,11
14,AVKR,8
15,AVL,8
16,CA02,1
17,CA03,11
18,CA04,10
19,CA05,18
20,CA06,13
21,CA07,9
22,CA08,15
23,CA09,8
24,CP01,8
25,CP02,14
26,CP03,10
27,CP04,26
28,CP05,35
29,CP06,37
30,CP07,27
31,CP08,18
32,CP09,48
33,DA07,1
34,DA08,4
35,DA09,13
36,DB05,2
37,DD03,2
38,DD06,5
39,DVA,5
40,DVB,17
41,DVC,13
42,DVE,28
43,DVF,33
44,DX1,5
45,DX2,13
46,DX3,8
47,EF1,2
48,EF2,8
49,HOA,47
50,HOB,84
51,LUAL,10
52,LUAR,11
53,PCAL,44
54,PCAR,36
55,PCBL,31
56,PCBR,38
57,PCCL,19
58,PCCR,15
59,PDA,14
60,PDB,42
61,PDC,16
62,PDEL,12
63,PDER,15
64,PGA,16
65,PHAL,20
66,PHAR,28
67,PHBL,25
68,PHBR,29
69,PHCL,46
70,PHCR,47
71,PHDL,18
72,PHDR,24
73,PLML,6
74,PLMR,12
75,PQR,26
76,PVCL,9
77,PVCR,12
78,PVDL,18
79,PVDR,19
80,PVM,9
81,PVNL,33
82,PVNR,23
83,PVPL,1
84,PVQL,2
85,PVQR,2
86,PVR,5
87,PVV,53
88,PVX,29
89,PVY,8
90,PVZ,61
91,R1AL,8
92,R1AR,7
93,R1BL,7
94,R1BR,84
95,R2AL,23
96,R2AR,11
97,R2BL,44
98,R2BR,42
99,R2shR,1
100,R3AL,13
101,R3AR,11
102,R3BL,39
103,R3BR,45
104,R4AL,30
105,R4AR,35
106,R4BL,30
107,R4BR,33
108,R5AL,15
109,R5AR,21
110,R5BL,23
111,R5BR,41
112,R6AL,26
113,R6AR,30
114,R6BL,14
115,R6BR,13
116,R7AL,32
117,R7AR,40
118,R7BL,52
119,R7BR,65
120,R8AL,16
121,R8AR,11
122,R8BL,25
123,R8BR,33
124,R9AL,26
125,R9AR,38
126,R9BL,41
127,R9BR,35
128,SDQL,22
129,SPCL,19
130,SPCR,20
131,SPDL,21
132,SPDR,18
133,SPVL,33
134,SPVR,28
135,VA09,2
136,VA10,38
137,VA11,17
138,VA12,56
139,VB05,1
140,VB06,2
141,VB07,20
142,VB08,27
143,VB09,30
144,VB10,21
145,VB11,14
146,VD08,9
147,VD09,15
148,VD10,12
149,VD11,19
150,VD12,13
151,VD13,15
