name,L,R
ASJ,ASJL,ASJR
ASK,ASKL,ASKR
ASG,ASGL,ASGR
ASI,ASIL,ASIR
AFD,AFDL,AFDR
AWA,AWAL,AWAR
AWB,AWBL,AWBR
AWC,AWCL,AWCR
ASE,ASEL,ASER
ADF,ADFL,ADFR
ASH,ASHL,ASHR
ADL,ADLL,ADLR
BAG,BAGL,BAGR
URX,URXL,URXR
ALN,ALNL,ALNR
PLN,PLNL,PLNR
SDQ,SDQL,SDQR
ADE,ADEL,ADER
PDE,PDEL,PDER
ALM,ALML,ALMR
PLM,PLML,PLMR
FLP,FLPL,FLPR
PVD,PVDL,PVDR
PHA,PHAL,PHAR
PHB,PHBL,PHBR
PHC,PHCL,PHCR
IL2D,IL2DL,IL2DR
IL2,IL2L,IL2R
IL2V,IL2VL,IL2VR
CEPD,CEPDL,CEPDR
CEPV,CEPVL,CEPVR
OLQD,OLQDL,OLQDR
OLQV,OLQVL,OLQVR
URYD,URYDL,URYDR
URYV,URYVL,URYVR
OLL,OLLL,OLLR
IL1D,IL1DL,IL1DR
IL1,IL1L,IL1R
IL1V,IL1VL,IL1VR
AIM,AIML,AIMR
AIN,AINL,AINR
URB,URBL,URBR
PVQ,PVQL,PVQR
BDU,BDUL,BDUR
AIY,AIYL,AIYR
AIA,AIAL,AIAR
AUA,AUAL,AUAR
AIZ,AIZL,AIZR
ADA,ADAL,ADAR
RIF,RIFL,RIFR
AVF,AVFL,AVFR
AVH,AVHL,AVHR
PVP,PVPL,PVPR
PVN,PVNL,PVNR
LUA,LUAL,LUAR
RIB,RIBL,RIBR
AIB,AIBL,AIBR
RIG,RIGL,RIGR
RMG,RMGL,RMGR
RIC,RICL,RICR
SAAV,SAAVL,SAAVR
SAAD,SAADL,SAADR
RMF,RMFL,RMFR
AVK,AVKL,AVKR
AVJ,AVJL,AVJR
AVD,AVDL,AVDR
AV,AVL,AVR
PVW,PVWL,PVWR
RIA,RIAL,RIAR
RIM,RIML,RIMR
AVE,AVEL,AVER
AVB,AVBL,AVBR
AVA,AVAL,AVAR
PVC,PVCL,PVCR
RIP,RIPL,RIPR
RME,RMEL,RMER
URAD,URADL,URADR
URAV,URAVL,URAVR
RMDD,RMDDL,RMDDR
RMD,RMDL,RMDR
RMDV,RMDVL,RMDVR
RMH,RMHL,RMHR
RIV,RIVL,RIVR
SABV,SABVL,SABVR
SMDD,SMDDL,SMDDR
SMDV,SMDVL,SMDVR
SMBD,SMBDL,SMBDR
SMBV,SMBVL,SMBVR
SIBD,SIBDL,SIBDR
SIBV,SIBVL,SIBVR
SIAD,SIADL,SIADR
SIAV,SIAVL,SIAVR
dBWM1,dBWML1,dBWMR1
