,pre,count
0,AS11,3
1,AVAL,12
2,AVAR,16
3,AVBL,4
4,AVBR,2
5,AVDL,2
6,AVDR,1
7,AVFL,14
8,AVFR,12
9,AVG,9
10,AVKL,1
11,AVKR,1
12,CA05,4
13,CA06,2
14,CA07,1
15,CA09,1
16,CP05,18
17,CP06,15
18,CP07,15
19,CP08,8
20,CP09,28
21,DA09,2
22,DVA,1
23,DVB,6
24,DVC,2
25,DVE,13
26,DVF,12
27,DX1,2
28,DX2,5
29,DX3,3
30,EF2,1
31,HOA,21
32,HOB,45
33,LUAL,5
34,LUAR,5
35,PCAL,26
36,PCAR,20
37,PCBL,17
38,PCBR,23
39,PCCL,12
40,PCCR,6
41,PDA,1
42,PDB,14
43,PDEL,2
44,PDER,4
45,PGA,5
46,PHAL,16
47,PHAR,18
48,PHBL,14
49,PHBR,13
50,PHCL,19
51,PHCR,20
52,PHDL,9
53,PHDR,10
54,PLML,5
55,PLMR,4
56,PQR,14
57,PVCL,1
58,PVCR,3
59,PVDL,8
60,PVDR,7
61,PVM,2
62,PVNL,7
63,PVNR,7
64,PVR ,2
65,PVV,11
66,PVX,4
67,PVY,4
68,PVZ,12
69,R1AL,5
70,R1AR,4
71,R1BL,3
72,R1BR,34
73,R2AL,14
74,R2AR,6
75,R2BL,22
76,R2BR,27
77,R2shR,1
78,R3AL,5
79,R3AR,6
80,R3BL,27
81,R3BR,25
82,R4AL,15
83,R4AR,14
84,R4BL,10
85,R4BR,10
86,R5AL,6
87,R5AR,5
88,R5BL,3
89,R5BR,21
90,R6AL,9
91,R6AR,15
92,R6BL,6
93,R6BR,8
94,R7AL,10
95,R7AR,18
96,R7BL,11
97,R7BR,27
98,R8AL,11
99,R8AR,7
100,R8BL,7
101,R8BR,11
102,R9AL,15
103,R9AR,17
104,R9BL,22
105,R9BR,18
106,SPCL,5
107,SPCR,13
108,SPDL,9
109,SPDR,4
110,SPVL,17
111,SPVR,13
112,VA10,8
113,VA11,4
114,VA12,15
115,VB07,5
116,VB08,9
117,VB09,7
118,VB10,3
119,VB11,4
120,VD08,1
121,VD09,2
122,VD10,3
123,VD11,1
124,VD12,2
125,VD13,3
