,pre,num_post_types
0,AVAL,11
1,AVAR,15
2,AVBL,3
3,AVBR,1
4,AVDL,1
5,AVFL,15
6,AVFR,12
7,AVG,10
8,AVKR,1
9,CA04,2
10,CA05,3
11,CA06,2
12,CA07,1
13,CP01,4
14,CP02,4
15,CP03,2
16,CP04,8
17,CP05,16
18,CP06,13
19,CP07,15
20,CP08,5
21,CP09,25
22,DVB,3
23,DVE,11
24,DVF,8
25,DX1,2
26,DX2,5
27,DX3,2
28,HOA,16
29,HOB,43
30,LUAL,5
31,LUAR,4
32,PCAL,20
33,PCAR,17
34,PCBL,17
35,PCBR,20
36,PCCL,9
37,PCCR,6
38,PDA,1
39,PDB,10
40,PDEL,1
41,PDER,3
42,PGA,3
43,PHAL,15
44,PHAR,15
45,PHBL,10
46,PHBR,11
47,PHCL,17
48,PHCR,18
49,PHDL,8
50,PHDR,8
51,PLML,5
52,PLMR,2
53,PQR,14
54,PVCR,1
55,PVDL,7
56,PVDR,4
57,PVNL,8
58,PVNR,7
59,PVR,2
60,PVV,8
61,PVX,7
62,PVY,4
63,PVZ,4
64,R1AL,4
65,R1AR,2
66,R1BL,2
67,R1BR,28
68,R2AL,9
69,R2AR,6
70,R2BL,21
71,R2BR,26
72,R2shR,1
73,R3AL,4
74,R3AR,6
75,R3BL,25
76,R3BR,23
77,R4AL,15
78,R4AR,12
79,R4BL,9
80,R4BR,8
81,R5AL,4
82,R5AR,4
83,R5BL,1
84,R5BR,17
85,R6AL,4
86,R6AR,9
87,R6BL,7
88,R6BR,8
89,R7AL,5
90,R7AR,17
91,R7BL,24
92,R7BR,24
93,R8AL,8
94,R8AR,7
95,R8BL,6
96,R8BR,9
97,R9AL,14
98,R9AR,16
99,R9BL,22
100,R9BR,18
101,SDQL,2
102,SPCL,5
103,SPCR,13
104,SPDL,7
105,SPDR,6
106,SPVL,11
107,SPVR,9
108,VA10,3
109,VA11,4
110,VA12,6
111,VB07,2
112,VB08,4
113,VB09,3
114,VB10,4
115,VB11,2
116,VD10,1
117,VD11,1
118,VD12,2
119,VD13,3
