,pre,count
0,AS11,12
1,AVAL,39
2,AVAR,45
3,AVBL,8
4,AVBR,10
5,AVDL,9
6,AVDR,11
7,AVFL,26
8,AVFR,23
9,AVG,21
10,AVHR,2
11,AVJL,5
12,AVJR,5
13,AVKL,10
14,AVKR,8
15,CA05,14
16,CA06,10
17,CA07,7
18,CA08,9
19,CA09,6
20,CP05,31
21,CP06,31
22,CP07,27
23,CP08,18
24,CP09,47
25,DA07,1
26,DA08,4
27,DA09,11
28,DB05,2
29,DD06,3
30,DVA,4
31,DVB,19
32,DVC,13
33,DVE,25
34,DVF,31
35,DX1,5
36,DX2,13
37,DX3,8
38,EF1,2
39,EF2,8
40,HOA,41
41,HOB,74
42,LUAL,10
43,LUAR,11
44,PCAL,37
45,PCAR,36
46,PCBL,30
47,PCBR,37
48,PCCL,19
49,PCCR,14
50,PDA,11
51,PDB,36
52,PDC,15
53,PDEL,11
54,PDER,15
55,PGA,15
56,PHAL,20
57,PHAR,28
58,PHBL,25
59,PHBR,29
60,PHCL,38
61,PHCR,41
62,PHDL,17
63,PHDR,23
64,PLML,6
65,PLMR,12
66,PQR,25
67,PVCL,9
68,PVCR,12
69,PVDL,16
70,PVDR,13
71,PVM,9
72,PVNL,26
73,PVNR,22
74,PVQL,2
75,PVQR,1
76,PVR ,5
77,PVU,1
78,PVV,41
79,PVX,10
80,PVY,7
81,PVZ,44
82,R1AL,8
83,R1AR,7
84,R1BL,7
85,R1BR,83
86,R2AL,24
87,R2AR,11
88,R2BL,40
89,R2BR,36
90,R2shR,1
91,R3AL,13
92,R3AR,11
93,R3BL,39
94,R3BR,45
95,R4AL,24
96,R4AR,30
97,R4BL,26
98,R4BR,33
99,R5AL,13
100,R5AR,21
101,R5BL,22
102,R5BR,41
103,R6AL,26
104,R6AR,30
105,R6BL,13
106,R6BR,13
107,R7AL,32
108,R7AR,39
109,R7BL,31
110,R7BR,61
111,R8AL,15
112,R8AR,10
113,R8BL,24
114,R8BR,32
115,R9AL,26
116,R9AR,35
117,R9BL,41
118,R9BR,35
119,SPCL,19
120,SPCR,16
121,SPDL,20
122,SPDR,10
123,SPVL,32
124,SPVR,27
125,SPsoL,2
126,VA09,1
127,VA10,30
128,VA11,17
129,VA12,50
130,VB06,2
131,VB07,16
132,VB08,23
133,VB09,26
134,VB10,13
135,VB11,11
136,VD08,3
137,VD09,7
138,VD10,9
139,VD11,12
140,VD12,10
141,VD13,9
