pre,L1_dist
AS10,146845.7849917201
AS11,468675.1666379639
AV,698988.9308717482
AVA,1298804.1772800023
AVB,360050.59884823277
AVD,259291.8827957194
AVF,1370907.5034642187
AVG,2078605.9106642478
AVH,382488.56708363356
AVJ,82282.84816160433
AVK,728438.6627369575
CA04,755634.970878101
CA05,1013108.1239025603
CA06,273511.1684556721
CA07,247668.99711064048
CA08,32970.284388019565
CA09,319698.9624252419
CP01,94063.71082794596
CP02,348410.4888176067
CP03,588345.1763845958
CP04,568043.6844743036
CP05,112165.34473266736
CP06,136476.60673287397
CP07,1103233.8096221085
CP08,845867.3443951638
CP09,1075597.128532868
DA07,166632.5818626723
DA08,408561.2017286176
DA09,973340.747471942
DB05,275.183646142934
DB06,62437.054560964054
DB07,385409.41507038305
DD06,291324.0523286144
DVA,864104.6287206603
DVB,377377.30032789917
DVC,235156.82846000197
DVE,784194.9846338031
DVF,538275.1671761955
DX1,257018.76902272255
DX2,263076.4800311368
DX3,390581.91709640634
EF1,1187167.2261179467
EF2,1626444.4787243996
EF3,1312864.4486794113
HOA,550870.1172003191
HOB,334935.1490869808
LUA,522215.1831601277
PCA,966098.2237882337
PCB,1155909.3569894333
PCC,671373.6427938861
PDA,276341.7041935392
PDB,1356872.8812039727
PDC,1141096.7278048168
PDE,461649.64211183746
PGA,545558.1026749451
PHA,1078261.3333501283
PHB,587659.9753258799
PHC,1284749.4992306517
PHD,511730.6459161836
PQR,894859.4445608141
PVC,889218.5107444321
PVD,354113.4072313199
PVN,1928928.917033432
PVP,1584227.296447518
PVQ,874626.8741533861
PVR,382182.08936766884
PVT,246904.29093567212
PVV,1475314.5330008164
PVW,521780.52903699037
PVX,1697207.504756759
PVY,1811316.3497904313
PVZ,683151.3151857934
R1A,946077.6032937723
R1B,1864099.0200514537
R2A,425380.31287194113
R2B,1143602.7718808001
R3A,928837.7487148272
R3B,1491841.1365159864
R4A,546888.6879669416
R4B,583159.1669626553
R5A,339798.0832359195
R5B,836147.0970501308
R6A,606457.9294686683
R6B,961628.4235836274
R7A,704551.7814250308
R7B,1737108.9418669958
R8A,722144.8139910387
R8B,531350.1337610368
R9A,1076298.4629143728
R9B,1170975.1437607016
SPC,504001.01903744636
SPD,639872.3040248544
SPV,1028550.285820532
VA10,116612.60401536818
VA11,443678.9503365508
VA12,602441.9634654581
VB06,405794.7994277759
VB07,23539.934832108695
VB08,24249.397490140444
VB09,141154.6001775304
VB10,164918.33369133365
VB11,279668.4208210702
VD11,173851.20488719345
VD12,380778.46761076624
VD13,249744.9012734971
