pre,L1_dist
AS11,20.0
AV,12.0
AVA,151.0
AVB,29.0
AVD,21.0
AVF,304.0
AVG,74.0
AVH,4.0
AVJ,23.0
AVK,27.0
CA02,2.0
CA03,14.0
CA04,26.0
CA05,72.0
CA06,14.0
CA07,10.0
CA08,10.0
CA09,12.0
CP01,36.0
CP02,54.0
CP03,14.0
CP04,100.0
CP05,146.0
CP06,102.0
CP07,108.0
CP08,46.0
CP09,138.0
DA07,0.0
DA08,10.0
DA09,26.0
DB05,0.0
DD03,2.0
DD06,16.0
DVA,8.0
DVB,44.0
DVC,18.0
DVE,108.0
DVF,96.0
DX1,54.0
DX2,76.0
DX3,78.0
EF1,4.0
EF2,34.0
HOA,220.0
HOB,178.0
LUA,118.0
PCA,290.0
PCB,262.0
PCC,118.0
PDA,22.0
PDB,96.0
PDC,28.0
PDE,66.0
PGA,44.0
PHA,466.0
PHB,232.0
PHC,312.0
PHD,265.0
PLM,49.0
PQR,46.0
PVC,32.0
PVD,114.0
PVM,32.0
PVN,207.0
PVP,1.0
PVQ,3.0
PVR,12.0
PVV,160.0
PVX,68.0
PVY,70.0
PVZ,156.0
R1A,134.0
R1B,582.0
R2A,137.0
R2B,476.0
R2sh,10.0
R3A,104.0
R3B,500.0
R4A,175.0
R4B,185.0
R5A,45.0
R5B,248.0
R6A,134.0
R6B,243.0
R7A,187.0
R7B,396.0
R8A,86.0
R8B,170.0
R9A,249.0
R9B,350.0
SDQ,61.0
SPC,148.0
SPD,123.0
SPV,150.0
VA09,0.0
VA10,88.0
VA11,20.0
VA12,74.0
VB05,4.0
VB06,0.0
VB07,52.0
VB08,46.0
VB09,110.0
VB10,62.0
VB11,88.0
VD08,52.0
VD09,66.0
VD10,62.0
VD11,38.0
VD12,76.0
VD13,70.0
