pre,AS11,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVFL,AVFR,AVG,AVHR,AVJL,AVJR,AVKL,AVKR,AVL,CA02,CA03,CA04,CA05,CA06,CA07,CA08,CA09,CP01,CP02,CP03,CP04,CP05,CP06,CP07,CP08,CP09,DA07,DA08,DA09,DB05,DD03,DD06,DVA,DVB,DVC,DVE,DVF,DX1,DX2,DX3,EF1,EF2,HOA,HOB,LUAL,LUAR,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,PDA,PDB,PDC,PDEL,PDER,PGA,PHAL,PHAR,PHBL,PHBR,PHCL,PHCR,PHDL,PHDR,PLML,PLMR,PQR,PVCL,PVCR,PVDL,PVDR,PVM,PVNL,PVNR,PVPL,PVQL,PVQR,PVR,PVV,PVX,PVY,PVZ,R1AL,R1AR,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R2shR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,SDQL,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,VA09,VA10,VA11,VA12,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD08,VD09,VD10,VD11,VD12,VD13
AS11,44.78359834953603,-141.75909580878582,-160.28243273522875,-36.33939720585721,-35.15545748527149,-37.575156088200096,-37.36273413230015,-144.0,-97.63892069663754,-50.287678254304794,-25.0,-30.5,-29.0,-32.68393972058572,-33.0,-29.0,-23.5,-34.0,-41.5,-57.0,-45.0,-32.5,-36.0,-29.5,-48.0,-52.0,-42.0,-81.0,-153.5,-132.5,-110.05081441962166,-69.05453254788665,-195.71837348115494,-24.0,-6.217104098177576,0.11118978745757069,-24.0,-24.5,-19.94303552937154,-26.68393972058572,-54.0,-34.0,-114.10363832351433,-94.0,-43.5,-62.5,-46.90600584970984,-24.5,-31.603638323514325,-319.38399133031976,-461.033463154385,-63.86787944117144,-52.0,-248.6493612051036,-287.7875780441001,-167.0,-200.97151776468576,-154.5,-124.5,9.87362888824485,-41.11651981285527,3.156505886410042,-45.86787944117144,-56.86787944117144,-50.0549469166662,-151.3342518969859,-180.73575888234288,-106.5,-84.51239376088333,-214.5,-215.10363832351433,-84.64936120510359,-138.5,-56.735758882342886,-55.551819161757166,-111.38092574987178,-35.5,-40.919698602928605,-79.28243273522875,-70.4897093822574,-41.0,-98.65884516180688,-65.37531569770144,-23.5,-24.0,-19.207276647028653,-34.36787944117144,-83.81099484530358,-98.07001077932881,-50.01819161757163,-132.50547129179333,-53.767868395312426,-39.0,-27.93581049207694,-299.76662198647864,-124.0,-86.5,-257.62697524995724,-244.011154384795,-28.0,-95.23575888234288,-67.3121991104878,-187.66537249397817,-223.0751560882001,-153.18393972058573,-139.0942192924693,-87.13441150648725,-140.5549469166662,-44.558581779221484,-49.877523614395606,-37.25096743522862,-130.58695598806662,-68.03630385054423,-102.37531569770144,-81.05181916175717,-116.0,-78.00022514217913,-110.14261404016435,-149.23222948894187,-177.57771739948166,-92.0,-83.0,-81.51611188914833,-112.97151776468577,-107.55925541828717,-144.5,-206.48886902992245,-153.00867563261835,-53.5,-78.20300292485491,-105.02021384099726,-98.5,-63.0,-144.5,-136.5,-24.5,-98.5,-67.5,-133.81638626233632,-20.367879441171443,-24.5,-61.5,-105.18393972058573,-94.0,-66.0,-42.10989383333241,-37.0,-48.5,-48.5,-50.5,-50.5,-41.9826621307929
AVAL,-141.75909580878582,251.91555110337032,153.16291808559805,-118.02158961990445,-121.27728742635745,-79.54703868986462,-56.74547504707249,-189.5886627669488,-136.34001103432658,-156.00003686527413,-128.5,-134.0,-132.5,-121.55525902834435,-136.5,-132.5,-127.0,-135.68393972058573,-134.32361594439112,-158.36787944117145,-148.5,-136.0,-128.9145532940573,-133.0,-151.5,-155.5,-145.5,-178.25909580878582,-257.0,-236.0,-185.5303725542318,-190.4480836153108,-284.2489247128273,-118.49485469112871,-117.96236160693088,-110.19184072041476,-120.94303552937154,-128.0,-133.0,-115.80326208263409,-157.5,-137.5,-221.0,-191.09957413673573,-147.0,-154.84850947857507,-156.0,-128.0,-130.80664124836926,-435.91969860292863,-565.009490535434,-106.08646795263701,-117.25840684494247,-351.67425473928756,-383.85257366535365,-262.36273413230015,-294.4378902205002,-258.0,-228.0,-120.2204989355292,-187.17989114463586,-132.06025069942555,-136.58801498583233,-151.77710001528936,-162.5,-233.03047414558932,-262.7776864501108,-205.65545748527148,-199.23575888234288,-268.3910249529266,-279.6526265387763,-186.8584604101264,-232.27382887602326,-132.40395732272668,-132.21301778707198,-123.38426722679495,-103.81325503129047,-98.83635146282458,-111.4665857402691,-84.72431655763249,-144.5,-168.87834095410614,-172.72810599443397,-127.0,-127.5,-128.0,-101.32070299207015,-165.9852628668018,-130.07453361419357,-156.75909580878582,-210.28420489064285,-105.70841571718992,-142.5,-116.87415054688427,-331.29941241861627,-222.33833820809153,-190.0,-333.8124616606132,-341.24880519104323,-131.5,-154.56413487811113,-140.1121129563155,-264.6601315584387,-304.31848624230383,-236.2718764895049,-215.48920844708988,-177.70737475582698,-195.1503121873949,-152.04835409387994,-149.62506678982103,-148.1742547392875,-178.39753048490752,-168.71076812522688,-184.86914438011627,-179.1742547392875,-219.5,-175.46240128305348,-225.4653242615858,-260.2405044959489,-271.37793846839054,-193.68393972058573,-182.20300292485493,-198.36787944117145,-220.5,-201.5461011443055,-228.38299077112512,-311.5531610122688,-250.02276421786257,-130.32844727773335,-186.0,-219.0,-202.0,-166.5,-240.2586203231375,-229.72810599443397,-128.0,-183.31329583936449,-158.98672631757148,-127.19880813462419,-123.47151776468577,-128.0,-123.1269786148828,-142.72032295921582,-189.36273413230015,-144.66853672183586,-149.6742547392875,-132.04667385288587,-138.5700107793288,-148.60363832351433,-132.96937456786438,-118.8433202846667,-145.80075450359647
AVAR,-160.28243273522875,153.16291808559805,299.0231226040454,-119.15434112708701,-114.47287575843859,-89.94553635398479,-67.65870125052787,-176.50110104059485,-193.1869566399665,-170.33839965021505,-152.0,-157.5,-150.83833820809153,-120.5567683104683,-154.83833820809153,-156.0,-150.5,-161.0,-163.33833820809153,-184.0,-172.0,-152.62446767091967,-147.35508124439127,-151.33833820809153,-175.0,-179.0,-169.0,-208.0,-280.5,-259.5,-229.53162663650832,-227.0,-361.1787944117144,-136.30576966167166,-145.3533528323661,-139.93274491162896,-140.96637245581445,-151.5,-156.5,-140.2694486173383,-177.9196986029286,-161.0,-244.5,-221.0,-168.68393972058573,-189.5,-179.5,-151.5,-148.49806941553675,-464.0,-610.5,-152.3375762245921,-147.83511314529002,-383.0,-411.86273413230015,-294.0,-332.0,-281.5,-251.5,-145.68791323136998,-213.72123229621025,-155.51288530795324,-156.33962234803633,-160.77572381706295,-186.0,-232.19835253563394,-250.00644696230594,-233.5,-225.5,-317.6127571431699,-316.54163238926435,-219.0,-265.5,-124.04101507727685,-138.1769613384341,-108.62011170031835,-111.69129255248224,-117.0039862819282,-109.98205544369033,-80.87343401547636,-158.01684486749772,-192.11445259502403,-204.36787944117145,-150.5,-147.9196986029286,-151.5,-112.97180477609126,-206.2782277731493,-109.19431196114432,-141.50000001137386,-243.53452811290208,-153.61955351650545,-166.0,-161.22955457570592,-302.1492071859513,-241.99234711209112,-213.5,-379.4145532940573,-376.31201169941966,-149.83833820809153,-173.7080042591437,-178.74498175322776,-308.3269885925833,-301.9011321451802,-251.83330486473815,-242.23209911870364,-223.67879441171442,-223.92102049562655,-185.36787944117145,-181.57088236602635,-173.97151776468579,-212.39696308594597,-206.68393972058573,-229.49787068367863,-208.05181916175715,-233.94734698265628,-210.1259162521916,-256.52021384099726,-298.5809259235313,-322.27266748787713,-219.0,-210.0,-224.0,-244.0,-238.2550316220072,-271.5,-330.2236124630662,-254.42058845025835,-143.10392595960698,-209.5,-242.5,-225.5,-190.0,-271.5,-263.5,-151.5,-203.95149399461394,-194.5,-132.20133636284677,-140.09849301464303,-151.5,-144.46637597369116,-184.2357588836256,-221.0,-179.4729771494947,-181.0,-155.2306135734716,-159.85758882342887,-175.5,-166.2856851907478,-150.19420942303228,-181.0
AVBL,-36.33939720585721,-118.02158961990445,-119.15434112708701,35.22107839316676,13.744265764824027,-2.047483428501936,2.633128067851324,-120.7864218234023,-92.62397466921027,-58.61543822338086,-20.0,-20.60363832351433,-13.563619061623704,-16.21907654689519,-19.37967934103798,-24.0,-18.5,-29.0,-27.87967934103798,-50.18393972058572,-40.0,-16.823615944391115,-20.323615944391115,-15.879679341037983,-43.0,-47.0,-37.0,-76.0,-148.5,-127.5,-116.24880519104322,-79.59334770577173,-224.7539504999145,-19.0,-25.0,-29.419698602928605,-19.0,-19.5,-24.5,-20.419698602928605,-43.391216367614376,-29.0,-112.5,-89.0,-38.5,-57.5,-47.5,-19.5,-30.0,-327.7030029248549,-470.6742547392875,-40.09096228448765,-33.540427681994515,-213.7851884261865,-223.9191137046762,-143.49428198254833,-177.21629169681444,-149.5,-119.5,-42.0,-132.2030029248549,-47.0,-34.379679341037985,-34.00080216372656,-51.86787944117144,-126.41108529832552,-152.89687237046707,-83.95465538112697,-83.38715218083577,-173.43363158785752,-155.4026504178677,-76.09192124882682,-129.78757804410003,-22.091873293987128,-28.15699657695141,-44.38945416553871,-24.891216367614376,-13.173841444449124,-25.103922563806293,-24.117798143155046,-22.043796655494056,-70.43720861972396,-63.51724064627503,-18.5,-13.391216367614376,-19.5,-31.5,-83.0326283503036,-29.550654139323292,-14.228786993380425,-144.0,-71.0,-34.0,-32.879679341037985,-266.66621471696334,-104.37543510614827,-81.5,-232.5348595552663,-228.5206349015412,-23.0,-79.01127679737228,-75.67667641618306,-191.37967934103798,-177.0224763809265,-116.5000316446117,-127.00218050708136,-89.84850947857504,-136.67425473928753,-55.5,-56.0,-41.891216367614376,-108.04446137339171,-76.5,-104.62697524995727,-78.5,-111.0,-77.74755878220942,-115.21911481400325,-168.34715764721074,-214.74351932369643,-76.41455329405731,-72.70727664702866,-87.70300292485491,-112.0,-101.66504524363762,-123.06594659255019,-212.87967934103798,-152.12697524995724,-24.868174540714897,-77.5,-110.5,-93.5,-58.0,-137.05181916175718,-131.5,-19.5,-82.82361594439112,-54.67425473928752,-136.35073196897486,-14.339397205857212,-19.5,-56.5,-102.0,-89.0,-54.599574136735725,-49.0,-32.0,-43.5,-43.5,-45.5,-45.5,-43.074680602551794
AVBR,-35.15545748527149,-121.27728742635745,-114.47287575843859,13.744265764824027,30.656605725967534,-11.05268303038577,-13.552991554895987,-122.13771615205812,-97.40944571629703,-49.171531107311765,-16.367879441171443,-17.287578044100048,-11.544555857354506,-16.332133901454554,-19.176676416183064,-22.5,-17.0,-27.5,-27.676676416183064,-48.68393972058572,-36.68393972058572,-13.984694224182206,-18.43287506242504,-13.860616136768785,-41.5,-45.5,-35.5,-74.5,-141.78757804410006,-115.73061357347159,-105.90426267631472,-70.66850379397184,-223.2539504999145,-17.5,-23.5,-31.0,-17.5,-18.0,-23.0,-22.0,-38.891216367614376,-27.5,-97.65031217640019,-79.12697524995727,-37.0,-56.0,-43.235758882342886,-16.18393972058572,-28.5,-293.92566901829434,-461.3364076236283,-56.735758882342886,-45.5,-201.69974172024382,-220.46333639338252,-138.151634047456,-178.5850631347144,-145.23575888234288,-116.18393972058573,-40.5,-124.26231053319387,-45.5,-32.36061613676878,-32.184556769606154,-48.235758882342886,-110.0042652727833,-150.7517957556687,-69.40963312736514,-79.84582665467332,-153.02552163510427,-148.2633110238313,-57.27751256853658,-120.78243273522874,-22.582647374648115,-38.0634390135126,-72.4493972037838,-21.891216367614373,-22.799197895855485,-44.4768793382401,-47.012949105001724,-22.033689734995427,-69.23151444188974,-60.29722221732421,-17.0,-12.839397205857212,-18.0,-30.0,-92.09832276131428,-45.788555794009646,-11.915345443352928,-137.05181916175715,-69.5,-27.83939720585721,-30.860616136768783,-251.9636702065746,-70.09108823865427,-49.50275569095774,-222.70795207356605,-227.8261924681077,-18.419698602928605,-78.95029981617074,-74.60900877456476,-163.20791434245504,-140.8034100568002,-114.20791224604532,-124.86955675431095,-87.36704558558489,-131.99701041777107,-54.0,-54.5,-39.20727664702865,-104.22978157535472,-75.0,-103.12697524995727,-62.85758882342885,-104.83939720585721,-77.54455585735451,-115.64772904411994,-165.13719304956388,-210.26931360839242,-73.4145532940573,-71.20727664702866,-79.13018997436532,-106.55181916175717,-94.63041511654444,-121.42098274287342,-205.64819418086884,-151.5751560882001,-16.57538308784891,-72.60363832351433,-105.28757804410004,-92.0,-56.5,-135.86787944117145,-127.23575888234288,-18.0,-82.74893534183931,-54.97367349132814,-131.50600907592369,-13.15545748527149,-18.0,-48.759095808785816,-91.09849301464303,-85.68393972058573,-52.95461028705894,-47.5,-28.68393972058572,-40.18393972058572,-42.0,-44.0,-44.0,-43.20300292485492
AVDL,-37.575156088200096,-79.54703868986462,-89.94553635398479,-2.047483428501936,-11.05268303038577,40.01758231268918,26.709193511268033,-129.68310586499916,-97.30626143777941,-70.28757804410006,-22.5,-26.18393972058572,-26.5,-26.075156088200096,-30.5,-26.5,-21.0,-31.5,-39.0,-54.5,-42.5,-30.0,-31.68393972058572,-27.0,-45.5,-49.5,-39.5,-78.5,-151.0,-130.0,-133.28757804410003,-97.5,-239.5,-19.367879441171443,-27.5,-27.259095808785816,-21.5,-22.0,-27.0,-14.913494296291628,-51.5,-31.5,-115.0,-91.5,-41.0,-60.0,-50.0,-22.0,-32.5,-334.5,-481.0,-26.235770107980592,-24.500043009486475,-253.5,-284.57515608820006,-164.5,-202.5,-152.0,-122.0,-44.5,-139.0,-47.36787944117144,-43.68393972058572,-54.36787944117144,-56.5,-137.97386600308107,-168.12820947222113,-102.18393972058573,-96.0,-212.0,-216.0,-89.5,-136.0,-44.12820947222114,-29.895675107568646,-17.95382050249451,-22.393372094256748,-0.742199372340135,-26.000027879472277,-26.50087634155939,-38.5,-83.87661085332564,-77.0,-21.0,-21.5,-22.0,-23.164042660729976,-84.50670097326721,-25.838585385781723,-22.500012472930784,-144.68393972058573,-73.5,-36.5,-44.0,-288.8580805995366,-121.5,-84.0,-262.0,-255.0,-25.5,-76.70336556042123,-76.44734698265628,-196.5751560882001,-195.10364414421537,-152.5,-148.0,-103.5,-147.0,-58.0,-58.5,-50.0,-136.0751560882001,-79.0,-114.0,-81.0,-113.5,-91.0,-137.5,-191.05181916175718,-236.5,-89.5,-80.5,-94.5,-114.5,-119.5,-142.0,-220.60363832351433,-163.0,-45.47151776468577,-80.0,-113.0,-96.0,-60.5,-142.0,-131.23575888234288,-22.0,-96.0,-65.0,-120.87925154195025,-15.575156088200096,-22.0,-52.759095808785816,-95.09849301464303,-91.5,-63.5,-51.5,-32.68393972058572,-44.18393972058572,-46.0,-48.0,-48.0,-51.5
AVDR,-37.36273413230015,-56.74547504707249,-67.65870125052787,2.633128067851324,-13.552991554895987,26.709193511268033,46.17107494902591,-134.131286703242,-89.64270679251872,-77.5,-26.0,-31.5,-30.0,-27.9948546911287,-34.0,-30.0,-24.5,-35.0,-42.5,-58.0,-46.0,-33.5,-35.18393972058572,-30.5,-49.0,-53.0,-43.0,-82.0,-154.5,-133.5,-133.3912163676144,-101.0,-241.18393972058573,-22.867879441171443,-28.867879441171443,-27.126975249957262,-25.0,-25.5,-30.5,-16.28137373746307,-55.0,-35.0,-118.5,-95.0,-44.5,-63.5,-53.5,-25.5,-36.0,-338.0,-484.5,-26.503225950045763,-28.000043009486475,-257.0,-286.4948546911287,-168.0,-206.0,-155.5,-125.5,-44.287578044100044,-134.04667385288587,-48.419698602928605,-43.319275003822334,-54.00321472440805,-60.0,-126.89572513363527,-169.17399856944297,-107.5,-99.5,-208.39121636761436,-216.10363832351433,-93.0,-139.5,-42.40975745178586,-29.204082499074026,-8.35980529109332,-22.976888215736196,1.997997673503594,-18.37971287133378,-11.963546473000491,-42.0,-83.92926867165257,-80.5,-24.5,-25.0,-25.5,-18.934713227203204,-77.15074541023382,-22.23493384745263,-18.500000084041947,-148.18393972058573,-71.47151776468577,-40.0,-43.47151776468577,-293.54202032012233,-122.86787944117144,-87.5,-263.36787944117145,-258.5,-29.0,-63.9228037604862,-67.43599736714802,-201.3393972058572,-199.5000078995228,-152.9196986029286,-149.05181916175718,-104.55181916175717,-142.36273413230015,-61.5,-62.0,-53.5,-129.25504722879123,-82.5,-115.05181916175717,-84.5,-117.0,-94.5,-141.0,-194.86787944117145,-237.23575888234288,-93.0,-84.0,-98.0,-118.0,-118.70300292485491,-145.5,-221.04134113294646,-166.5,-47.95461028705894,-83.5,-116.5,-99.5,-64.0,-145.5,-137.5,-25.5,-99.5,-68.5,-114.12979248019329,-15.362734132300144,-25.5,-56.259095808785816,-96.46637245581447,-95.0,-67.0,-55.0,-36.18393972058572,-47.68393972058572,-49.5,-51.5,-49.36787944117144,-55.0
AVFL,-144.0,-189.5886627669488,-176.50110104059485,-120.7864218234023,-122.13771615205812,-129.68310586499916,-134.131286703242,240.28924899137274,21.888986209490792,-113.51958897471451,-120.86787944117144,-125.73575888234288,-120.10900877456476,-124.04578909722184,-121.74893534183931,-127.0,-121.5,-132.0,-121.25187077149121,-143.86273413230012,-138.7030029248549,-130.5,-127.10900877456476,-123.47151776468577,-136.56410473611055,-127.12768780188436,-124.10544586905702,-150.1115711464719,-224.75885035054597,-210.56695203927336,-177.3806353295117,-165.79857424999986,-250.31235507294647,-122.0,-128.0,-131.55181916175715,-122.0,-122.5,-127.5,-124.36787944117144,-140.0303207614959,-132.0,-175.52424513551162,-177.129627519218,-135.81927500382233,-123.40117761823228,-142.04578909722184,-122.5,-42.88734781076062,-364.77992604515146,-436.4167642409349,-86.14298599748246,-65.08496585967293,-313.728458807631,-314.87729954573257,-217.5168450274125,-227.32325781813256,-252.5,-222.5,-142.23575888234288,-155.15135057204927,-150.0,-141.27067056647323,-119.41341132946451,-106.16412002093712,-222.96174385787236,-98.99039011667448,-152.49440135075176,-127.78413495384058,-251.67879471631403,-251.79872282903162,-131.02847938405594,-119.03665632984543,-146.28154797956472,-142.38412730531337,-143.9658906140787,-127.89121636761438,-133.41243529852596,-132.6981611752031,-123.80389089934884,-139.0,-63.3284535569421,-94.3859871586052,-121.5,-122.0,-122.5,-134.5,-83.51157599696711,-149.7474126998609,-138.53215928767753,-174.8507859459135,-170.60363832351433,-137.0,-120.25830022030733,32.09673174057093,-217.1036383235143,-184.5,-260.9398274693412,-259.4187884205702,-78.76951787996342,-180.04152854401457,-175.65031217640018,-97.92631540155224,-180.18669839007225,-223.68153356551377,-193.3115376535179,-127.85112803545621,-190.24276207724216,-147.12087896978935,-138.4283499294252,-143.70727664702864,-64.16903901985017,-162.02106939350165,-161.54299408272115,-144.94753838249733,-98.93822278083435,-143.19354813511006,-172.3664144244263,-85.82554078524653,-89.54035150332345,-169.84605179685246,-161.9432984026617,-147.43926228630892,-169.93741114063593,-161.03555055090376,-156.63884253431152,-104.15254352687872,-125.8062349423891,-138.3242093218775,-180.5,-213.5,-187.5549469166662,-142.62720069524,-207.88165209171467,-195.3327322486104,-122.5,-196.5,-113.78941779219437,-182.3712100476802,-122.0,-122.5,-154.52333692644294,-197.24434405780136,-169.6841894201994,-114.61864196190999,-96.2849197977749,-135.0,-146.5,-146.5,-119.67420771337208,-122.4078508941633,-82.24863889985987
AVFR,-97.63892069663754,-136.34001103432658,-193.1869566399665,-92.62397466921027,-97.40944571629703,-97.30626143777941,-89.64270679251872,21.888986209490792,196.35339798802679,-101.13759856459403,-101.0,-97.81091497054298,-96.20621764926298,-110.5,-109.0,-102.23575888234288,-97.68393972058573,-107.55181916175717,-85.91971894589327,-120.04667385288586,-121.0,-108.5,-106.83833820809153,-101.15545748527148,-118.83833820809153,-116.03032076149589,-111.10900877456476,-134.63595233225703,-210.01436910920305,-193.93654347042633,-99.17663137611733,-119.86401840931478,-181.21283065885038,-100.0,-89.99051835882585,-99.9948546911287,-100.0,-100.5,-105.5,-92.3342518969859,-110.19136555703841,-105.27067056647323,-170.68449368750333,-149.05178339543926,-119.5,-90.50202025952589,-123.77067056647323,-100.5,-58.105614083408696,-364.8558358719476,-451.0882111257512,-56.12246504884287,-102.9138306947535,-266.9925436373479,-275.45183328658493,-197.80985640747076,-219.2747805097099,-230.5,-200.5,-96.53688132187486,-97.00778287095538,-104.58256186245347,-110.62402339883936,-112.13903802311395,-99.23385732671291,-133.65882142291437,-194.4679909878968,-132.43084204384576,-132.29478690511655,-203.61626392078938,-207.53501743113608,-123.60196059791029,-112.14133984769428,-135.5,-120.30442291159775,-108.13349119653266,-109.68393972058573,-90.44529117793482,-110.96560679661107,-80.06852278344084,-117.0,-34.86230964227059,-81.40353266250652,-97.68393972058573,-100.0,-97.4196986029286,-96.04372200176796,-45.14398446289322,-110.30707711505676,-114.26454919652087,-177.93709426852777,-128.03853896178566,-115.0,-84.46106007883972,-103.27825429857532,-198.18393972058573,-162.5,-254.6571604638266,-266.8515893892786,-89.05053460249314,-170.9196986029286,-150.17364910284311,-150.13605376046567,-149.26232849032863,-195.05588686428425,-164.2889638888003,-121.57076639509992,-159.52419024054475,-116.9714205417537,-99.37910035342374,-113.96637245581447,-30.39317582595646,-121.18394009318013,-96.20207507932838,-82.69898913919857,-109.77042157509112,-100.66091188582311,-130.79184697725174,-74.77181036637262,-70.08626722609753,-149.90940798518602,-132.01687239060183,-137.63922543418207,-180.1902821999028,-113.09783227001488,-134.90879977287193,-154.60893080356666,-79.30887086830037,-114.49608891339258,-158.5,-191.5,-169.77067056647323,-130.0064294488161,-173.72356546091865,-174.16252448654106,-100.5,-174.5,-86.81176148832745,-148.41282038962044,-90.9145532940573,-100.5,-134.73575888234288,-169.18522386053053,-159.09157819444368,-91.44107355615193,-66.17386492270059,-113.0,-124.5,-124.5,-92.68439784177204,-95.88035809496046,-45.71344125539232
AVG,-50.287678254304794,-156.00003686527413,-170.33839965021505,-58.61543822338086,-49.171531107311765,-70.28757804410006,-77.5,-113.51958897471451,-101.13759856459403,104.79143712535836,-53.36787944117144,-40.73021517158735,-40.415650022934,-61.135335283236614,-59.635335283236614,-54.77067056647323,-51.235758882342886,-53.370244703208954,-68.13533528323661,-68.76222356369485,-64.17452068954069,-48.03833594393353,-57.04134113294645,-56.135335283236614,-75.73575888234288,-77.77067056647323,-72.5,-105.38694264544064,-129.9589808519911,-137.15776013717988,-112.99620506019299,-78.61788690492995,-235.77099414061541,-54.5,-45.40493814966641,-60.259095808785816,-54.5,-55.0,-58.18393972058572,-59.0,-59.69202615291985,-48.93490715581434,-85.42659456065499,-90.91398058547693,-62.848509478575046,-51.95819806130871,-80.55181916175717,-52.235758882342886,-60.603638323514325,-291.82183771182747,-314.6711993376735,-73.06729632299002,-77.83939720585721,-203.6614246820262,-230.6244639470435,-179.33204693195552,-201.3716425906719,-173.37340301275898,-148.59957413673573,-47.67904411132811,-90.89884191410968,-60.00010021020474,-69.90600584970984,-82.60900877456476,-49.949608573195704,-169.96152775134433,-107.54609091590444,-93.90798686122614,-64.78499639346666,-175.68853241992315,-165.0544420367952,-89.16912618597462,-84.28463210299421,-82.67667641618306,-86.36787944117144,-144.9024429442021,-63.86787944117144,-73.86787944117144,-102.74003358691317,-110.40600584970984,-66.33833820809153,-96.27139501485404,-55.12646249922801,-54.0,-52.36787944117144,-50.02333692644293,-67.0,-100.77102586126361,-87.81561568726327,-82.90600584970984,-160.42471395373917,-106.5,-60.24893534183932,-70.37109416557949,-218.27504820061526,-76.90296560652291,-64.19012316014906,-237.6510544371704,-237.82685739979183,-51.62446767091966,-121.63855000764467,-118.5,-146.35332743473953,-156.88594383207123,-152.91059364835482,-168.42828377838708,-103.67687279388517,-147.61791407248398,-86.70300292485491,-91.5,-69.24755878220942,-149.26663178725317,-107.70300292485491,-128.19613900473306,-103.02358281449679,-98.08012477164263,-102.42285071720755,-164.90600584970983,-181.65765385056656,-236.74817535925618,-96.27221757970818,-91.53324397295724,-94.95640253818337,-101.65198319875003,-119.4926136566768,-135.52475722946178,-141.89844498851113,-142.85079533811586,-44.08816432974754,-97.68068418810364,-130.57255128623044,-112.69231420833171,-74.44209909750198,-104.78181218544665,-83.70646895306115,-55.0,-118.30257706159064,-98.0,-142.10464171335127,-54.5,-55.0,-92.0,-132.77067056647323,-122.05181916175717,-96.5,-73.10073601388804,-67.5,-79.0,-70.54578909722184,-76.27067056647323,-78.23575888234288,-72.00958775836614
